frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
49171,16.540083,16.375330,16.322297,0.000000,0.000374,0.000000,0.000000,0.076583,0.015917,0.833376,641,8106990,128676,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49172,16.633833,16.517533,16.440807,0.000000,0.000459,0.000000,0.000000,0.071375,0.013750,0.784459,631,8107484,131437,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49173,15.700667,15.557980,15.573023,0.000000,0.000209,0.000000,0.000000,0.085708,0.015709,0.648333,632,8107017,129414,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49174,16.069125,15.947463,15.961779,0.000000,0.000375,0.000000,0.000000,0.072250,0.014833,0.657250,640,8122492,129299,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49175,16.537500,16.347330,16.348370,0.000000,0.000375,0.000000,0.000000,0.080000,0.021375,1.234583,630,8076421,130046,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49176,16.405458,16.258690,16.243915,0.000000,0.000417,0.000000,0.000000,0.084167,0.022250,1.278208,629,8107199,129823,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49177,15.522792,15.438177,15.422872,0.000000,0.000375,0.000000,0.000000,0.065583,0.060042,0.466750,641,8122626,129021,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49178,17.420250,17.258759,17.249588,0.000000,0.000335,0.000000,0.000000,0.073792,0.027416,0.955292,632,8091707,131551,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49179,15.474167,15.406171,15.413850,0.000000,0.000291,0.000000,0.000000,0.081083,0.036375,0.637417,633,8122719,130605,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49180,15.590250,15.460147,15.396767,0.000000,0.000542,0.000000,0.000000,0.071041,0.014584,0.968875,641,8122586,128701,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49181,15.713291,15.566797,15.542815,0.000000,0.000333,0.000000,0.000000,0.070500,0.040084,0.466667,633,8095575,130189,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49182,16.166125,16.128529,16.130061,0.000000,0.000709,0.000000,0.000000,0.132459,0.021375,0.611209,630,8108701,130290,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49183,17.044292,16.898796,16.880578,0.000000,0.000583,0.000000,0.000000,0.134667,0.027041,0.295417,640,8117156,128125,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49184,17.337083,17.342599,17.343914,0.000000,0.000792,0.000000,0.000000,0.289042,0.050417,0.606000,635,8138167,132170,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49185,17.174584,16.906115,16.871588,0.000000,0.000500,0.000000,0.000000,0.142458,0.019792,0.297417,630,8076339,127687,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49186,16.733500,16.539708,16.562134,0.000000,0.000376,0.000000,0.000000,0.069208,0.019667,0.903583,636,8099974,128027,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49187,15.686208,15.518835,15.505007,0.000000,0.000166,0.000000,0.000000,0.066958,0.038250,0.611042,630,8083510,129091,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49188,16.011708,15.880000,15.813992,0.000000,0.000625,0.000000,0.000000,0.084459,0.026041,0.594417,634,8107230,128634,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49189,15.700875,15.574210,15.545535,0.000000,0.000416,0.000000,0.000000,0.092709,0.016583,0.655791,639,8122535,128915,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49190,15.571875,15.495254,15.504480,0.000000,0.000458,0.000000,0.000000,0.074292,0.044667,0.965667,634,8122702,129720,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49191,15.228542,15.148725,15.145195,0.000000,0.000291,0.000000,0.000000,0.106542,0.021166,0.313042,631,8107321,127652,0,2,0,2,0,0,0,0,0,0,5918,0,3510,2408,0
49192,17.779750,17.658204,17.384033,0.000000,0.000332,0.000000,0.000000,0.142417,0.022416,0.629125,637,8107015,127847,0,2,0,2,0,0,0,0,0,0,6696,0,4680,2016,0
49193,15.228917,15.013334,15.001546,0.000000,0.000458,0.000000,0.000000,0.087250,0.027041,0.691250,632,8091879,126350,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49194,15.189291,15.089179,15.079380,0.000000,0.000291,0.000000,0.000000,0.073459,0.024791,0.985375,640,8107206,127393,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
49195,15.026125,14.911495,14.899423,0.000000,0.000416,0.000000,0.000000,0.084209,0.020041,0.643750,633,8122533,128631,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
49196,14.853584,14.721635,14.729783,0.000000,0.000208,0.000000,0.000000,0.069250,0.015291,0.954625,631,8091936,126106,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49197,15.492958,15.381255,15.334573,0.000000,0.000375,0.000000,0.000000,0.081583,0.019625,0.611125,640,8106907,125046,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49198,15.089292,14.951124,14.964711,0.000000,0.000291,0.000000,0.000000,0.080500,0.022541,1.071459,631,8107292,129086,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49199,16.884750,16.743997,16.577705,0.000000,0.000375,0.000000,0.000000,0.091333,0.030417,0.308167,634,8122827,127170,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49200,15.086916,14.938077,14.944922,0.000000,0.000417,0.000000,0.000000,0.065750,0.027667,0.310375,639,8091475,124371,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49201,16.080709,15.901996,15.895393,0.000000,0.000376,0.000000,0.000000,0.073666,0.019042,1.179458,628,8091871,127039,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49202,16.114500,16.022706,15.984194,0.000000,0.000334,0.000000,0.000000,0.061500,0.041375,0.352834,633,8122706,127429,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49203,14.943166,14.858506,14.830752,0.000000,0.000375,0.000000,0.000000,0.088834,0.029375,1.275416,642,8122477,124904,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49204,16.781667,16.604484,16.621330,0.000000,0.001041,0.000000,0.000000,0.073958,0.015042,0.475541,631,8091863,127175,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49205,15.479125,15.376472,15.397740,0.000000,0.000335,0.000000,0.000000,0.073875,0.019958,0.957751,631,8107386,126467,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49206,15.071917,14.921061,14.932535,0.000000,0.000166,0.000000,0.000000,0.057375,0.024333,0.608417,639,8107041,125255,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49207,15.090875,14.989883,14.969739,0.000000,0.000416,0.000000,0.000000,0.078000,0.021458,0.791375,633,8107345,127637,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49208,16.197541,16.085572,16.066287,0.000000,0.000416,0.000000,0.000000,0.097084,0.031583,0.338458,631,8107252,126300,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49209,15.057000,14.906538,14.905055,0.000000,0.000417,0.000000,0.000000,0.072959,0.028916,0.926833,640,8106853,124904,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49210,17.033542,16.913459,16.904139,0.000000,0.000249,0.000000,0.000000,0.098458,0.019459,0.477125,634,8122673,129586,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49211,15.219167,14.993843,15.008881,0.000000,0.000249,0.000000,0.000000,0.076500,0.029375,0.978542,629,8092051,125708,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49212,15.069250,14.967135,14.981514,0.000000,0.000250,0.000000,0.000000,0.071166,0.016000,0.660292,641,8106820,124344,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49213,15.604208,15.437853,15.427396,0.000000,0.000292,0.000000,0.000000,0.073208,0.020250,1.113250,632,8091802,127164,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49214,15.608250,15.483377,15.484784,0.000000,0.000501,0.000000,0.000000,0.074375,0.019833,0.311541,633,8122705,127867,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49215,15.548792,15.477970,15.482237,0.000000,0.000334,0.000000,0.000000,0.098875,0.019333,0.915792,642,8122488,125215,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49216,17.741458,17.541145,17.357168,0.000000,0.000417,0.000000,0.000000,0.100167,0.017000,0.291125,631,8092107,127906,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49217,16.444083,16.296383,16.268148,0.000000,0.000333,0.000000,0.000000,0.084167,0.019167,0.591000,630,8091681,125497,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49218,14.881375,14.789004,14.798429,0.000000,0.000166,0.000000,0.000000,0.071042,0.013292,0.608292,641,8122327,126038,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49219,14.760000,14.673672,14.679798,0.000000,0.000375,0.000000,0.000000,0.063875,0.035792,0.654333,633,8122787,128585,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49220,13.561875,13.451039,13.467411,0.000000,0.000126,0.000000,0.000000,0.075709,0.019833,1.218709,637,8122425,127081,0,4,0,4,0,0,0,0,0,0,5863,0,3510,2353,0
49221,18.895792,18.688233,18.692037,0.000000,0.000417,0.000000,0.000000,0.077417,0.023208,0.905958,635,8060757,181112,0,0,0,0,0,0,0,0,0,0,7208,0,4680,2528,0
