frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
16232,21.587250,21.407205,21.430092,0.000000,0.003125,0.000000,0.000000,0.088333,0.016292,0.770791,634,8082989,162186,0,5553,0,2,5551,0,3510,2041,0,0,0,0,0,0,0
16233,22.914625,22.825665,22.818685,0.000000,0.000332,0.000000,0.000000,0.109375,0.027625,0.951958,641,8067404,165245,0,7210,0,2,7208,0,4680,2528,0,0,0,0,0,0,0
16234,22.332833,22.175092,22.176956,0.000000,0.000334,0.000000,0.000000,0.096667,0.030500,0.604458,632,8080283,161693,0,5408,0,2,5406,0,3510,1896,0,0,0,0,0,0,0
16235,22.045542,21.804165,21.704391,0.000000,0.000542,0.000000,0.000000,0.085833,0.025375,0.847375,636,8079262,161266,0,5579,0,2,5577,0,3510,2067,0,0,0,0,0,0,0
16236,23.823625,23.715282,23.461948,0.000000,0.000292,0.000000,0.000000,0.109416,0.025375,0.937624,641,8070970,164992,0,7210,0,2,7208,0,4680,2528,0,0,0,0,0,0,0
16237,22.221958,22.090966,22.068339,0.000000,0.000458,0.000000,0.000000,0.119625,0.027708,0.829500,634,8095716,160549,0,5408,0,2,5406,0,3510,1896,0,0,0,0,0,0,0
16238,21.139417,20.961213,20.964827,0.000000,0.000208,0.000000,0.000000,0.087750,0.025125,1.147500,631,8064740,160729,0,5408,0,2,5406,0,3510,1896,0,0,0,0,0,0,0
16239,22.082416,21.920747,21.936915,0.000000,0.000416,0.000000,0.000000,0.095667,0.022500,0.956209,640,8070954,163569,0,7210,0,2,7208,0,4680,2528,0,0,0,0,0,0,0
16240,22.136417,21.958548,21.949495,0.000000,0.000542,0.000000,0.000000,0.094875,0.023333,1.189333,632,8080237,159944,0,5408,0,2,5406,0,3510,1896,0,0,0,0,0,0,0
16241,21.612125,21.437737,21.453958,0.000000,0.000250,0.000000,0.000000,0.076792,0.025666,1.303083,632,8067537,159320,0,5408,0,2,5406,0,3510,1896,0,0,0,0,0,0,0
