frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms
11951,16.676708,16.636547,0.000000,6.116667,5.923653,0.192930,0.049083,0.012334,1.218250
11952,16.690500,16.699548,0.000000,6.186001,5.977278,0.208598,0.048542,0.013250,0.606584
11953,16.657625,16.610441,0.000000,5.372791,5.311777,0.060639,0.056708,0.042750,0.804625
11954,16.663500,16.648589,0.000000,5.791043,5.648070,0.142514,0.047458,0.012875,0.615833
11955,16.543958,16.585849,0.000000,5.978874,5.978582,0.000292,0.050542,0.037250,0.801333
11956,16.362084,16.536092,0.000000,6.078999,5.892986,0.185930,0.042208,0.219667,0.452250
11957,16.971000,16.757465,0.000000,5.271459,5.236876,0.034375,0.050625,0.031333,0.641499
11958,16.933791,16.894503,0.000000,6.044083,5.844611,0.199389,0.052000,0.011792,0.918333
11959,16.543500,16.559503,0.000000,5.645083,5.630333,0.014542,0.060167,0.035167,0.466125
11960,16.458750,16.431625,0.000000,5.829751,5.827126,0.002375,0.044209,0.013208,0.720459
11961,16.906167,16.874628,0.000000,5.510917,5.424611,0.086014,0.043375,0.011458,0.445083
11962,16.496583,16.471701,0.000000,6.156125,5.958861,0.197180,0.051709,0.016250,0.754084
11963,16.856125,16.880404,0.000000,5.467624,5.396917,0.070416,0.058000,0.013375,0.609958
11964,16.771542,16.739167,0.000000,6.029999,6.018332,0.011667,0.047292,0.013541,0.771333
11965,16.706667,16.680820,0.000000,6.053082,5.875944,0.177055,0.042250,0.017708,1.078250
11966,16.819583,16.821794,0.000000,6.006333,5.820653,0.185264,0.046208,0.011792,0.468750
11967,16.243333,16.252793,0.000000,5.634541,5.522278,0.111722,0.043959,0.044583,1.127749
11968,17.003750,16.941878,0.000000,5.725750,5.579486,0.146056,0.057625,0.026334,0.308625
11969,16.702667,16.761277,0.000000,6.119124,5.924153,0.194888,0.066167,0.029625,0.971334
11970,16.676917,16.596286,0.000000,5.549834,5.455486,0.094097,0.070333,0.014542,0.347166
11971,16.659916,16.639494,0.000000,5.808375,5.805041,0.003334,0.054792,0.044667,0.958500
11972,16.663917,16.668879,0.000000,6.055458,5.864070,0.191347,0.047208,0.013584,0.633834
11973,16.679875,16.636784,0.000000,6.053125,5.877319,0.175723,0.047083,0.012125,1.106167
11974,16.658042,16.629969,0.000000,5.756751,5.620319,0.136098,0.054416,0.015917,0.899916
11975,16.739208,16.773455,0.000000,6.132916,5.934861,0.197972,0.044625,0.043083,0.302500
11976,16.626542,16.592056,0.000000,6.009584,5.993917,0.015667,0.059375,0.020083,1.235499
11977,16.869250,16.855710,0.000000,5.957834,5.798653,0.159056,0.059333,0.017083,0.289250
11978,16.494708,16.507006,0.000000,5.750542,5.615111,0.135014,0.048625,0.019167,0.937874
11979,16.737375,16.677793,0.000000,6.154000,5.955444,0.198515,0.049625,0.017833,0.290375
11980,16.392083,16.426710,0.000000,6.163665,5.990027,0.173555,0.045500,0.017917,0.953583
11981,16.829250,16.798128,0.000000,5.395958,5.338709,0.056999,0.048375,0.021000,1.248124
11982,16.805667,16.820714,0.000000,5.975667,5.972958,0.002709,0.056458,0.015625,0.608542
11983,16.717958,16.668003,0.000000,5.812334,5.663819,0.148223,0.055000,0.022042,1.130749
11984,16.204584,16.338597,0.000000,5.911043,5.743945,0.166722,0.043625,0.146833,0.632416
11985,17.191708,17.059801,0.000000,4.396667,4.393528,0.002597,0.050750,0.030542,1.093209
11986,17.248708,17.299919,0.000000,5.703624,5.570319,0.133014,0.127542,0.093458,0.305209
11987,16.497709,16.445823,0.000000,4.407291,4.406361,0.000055,0.108958,0.020708,0.597000
11988,16.571083,16.566456,0.000000,4.852041,4.851486,0.000097,0.086208,0.014542,0.962334
11989,16.561458,16.526582,0.000000,4.887084,4.886236,0.000223,0.082667,0.021917,0.304375
11990,16.371459,16.574253,0.000000,4.933001,4.917403,0.015139,0.084958,0.250750,0.601250
11991,16.750125,16.493655,0.000000,4.215834,4.215250,0.000250,0.056125,0.020916,0.351500
11992,16.814875,16.811862,0.000000,5.226085,5.190083,0.035793,0.048500,0.017750,0.611041
11993,16.527666,16.520041,0.000000,5.171751,5.166751,0.004750,0.056834,0.020875,0.609791
11994,16.788834,16.745704,0.000000,5.329458,5.311791,0.017500,0.072375,0.051625,1.085000
11995,16.597791,16.570763,0.000000,5.350083,5.304499,0.045376,0.056250,0.020417,0.520459
11996,16.790209,16.821729,0.000000,5.494000,5.418084,0.075666,0.072875,0.027041,0.789125
11997,16.665166,16.600124,0.000000,4.672000,4.671319,0.000181,0.071084,0.023500,0.934500
11998,16.699250,16.747376,0.000000,3.326917,3.326194,0.000264,0.069375,0.031125,0.309000
11999,16.510542,16.488873,0.000000,5.229334,5.191126,0.037999,0.055125,0.030167,0.906250
12000,16.557167,16.516824,0.000000,5.471291,5.400583,0.070583,0.048458,0.015958,0.652417
12001,16.916708,16.906360,0.000000,5.158291,5.143332,0.014584,0.055167,0.019541,0.948291
12002,16.636542,16.595540,0.000000,5.412374,5.344167,0.067999,0.058083,0.013167,0.607125
12003,16.857708,16.832262,0.000000,5.803418,5.658278,0.144806,0.055750,0.020750,0.950209
12004,16.552542,16.564635,0.000000,5.556667,5.460111,0.096223,0.051708,0.013333,1.249667
12005,16.748583,16.756265,0.000000,5.801666,5.655320,0.146055,0.054500,0.020333,0.472584
12006,16.703458,16.695457,0.000000,5.536251,5.432834,0.103125,0.052792,0.021042,1.269417
12007,16.792334,16.755200,0.000000,5.764251,5.626486,0.137348,0.053375,0.032208,0.649875
12008,16.449583,16.439255,0.000000,5.420499,5.327403,0.092805,0.050375,0.013000,0.947792
12009,16.716000,16.751532,0.000000,5.356708,5.301653,0.054847,0.060833,0.057709,0.309791
12010,16.693708,16.662494,0.000000,5.534334,5.438986,0.094973,0.050292,0.051083,0.951250
12011,16.728750,16.682039,0.000000,5.720376,5.589945,0.130180,0.047625,0.020084,0.639500
12012,16.582042,16.580993,0.000000,5.495334,5.407778,0.087139,0.046542,0.016000,1.216583
12013,16.753750,16.718119,0.000000,4.921584,4.913041,0.008126,0.063583,0.018750,0.955458
12014,16.681750,16.668496,0.000000,5.263250,5.226084,0.036999,0.053583,0.038125,0.639417
12015,16.673625,16.630794,0.000000,5.623376,5.513361,0.109639,0.054583,0.014542,0.929459
12016,16.731542,16.727793,0.000000,5.941125,5.749069,0.191681,0.049583,0.020208,0.305833
12017,16.652000,16.662915,0.000000,5.949374,5.773611,0.175472,0.050875,0.020291,1.247499
12018,16.769541,16.740787,0.000000,5.956458,5.787444,0.168931,0.057750,0.018125,0.610166
12019,16.709334,16.713422,0.000000,5.741166,5.605527,0.135181,0.043958,0.010917,0.935249
12020,16.540250,16.503625,0.000000,5.527708,5.436653,0.090764,0.045625,0.012791,0.949251
12021,16.849666,16.912746,0.000000,5.949500,5.773361,0.175764,0.085000,0.014834,0.626958
12022,16.524375,16.474930,0.000000,5.583625,5.481902,0.101306,0.046500,0.042875,1.008084
12023,16.701375,16.643289,0.000000,5.850083,5.693778,0.155972,0.053542,0.017500,0.607209
12024,16.653500,16.705464,0.000000,6.192750,6.013944,0.178723,0.040875,0.051250,1.319042
12025,16.724500,16.672141,0.000000,5.364793,5.301819,0.062598,0.063292,0.015708,0.308792
12026,16.474792,16.457886,0.000000,5.736000,5.604126,0.131666,0.044125,0.013000,1.257957
12027,16.787542,16.767278,0.000000,5.951749,5.743860,0.207806,0.043750,0.012916,0.610958
12028,16.907916,16.889804,0.000000,6.175876,5.984153,0.191639,0.050500,0.009834,0.902292
12029,16.550792,16.561366,0.000000,5.769001,5.628945,0.139639,0.051000,0.014083,1.250500
12030,16.291083,16.250796,0.000000,5.803542,5.654653,0.148264,0.060709,0.069083,0.306333
12031,16.948042,16.934458,0.000000,5.442459,5.361819,0.080348,0.048375,0.010958,1.254584
12032,16.962083,16.997617,0.000000,5.834708,5.770986,0.063180,0.077000,0.020875,0.610584
12033,16.200125,16.161381,0.000000,5.640541,5.639583,0.000416,0.038917,0.029250,0.940875
12034,16.972167,16.935793,0.000000,5.739417,5.600736,0.138389,0.047625,0.012208,0.652041
12035,16.294208,16.446043,0.000000,6.159459,5.965487,0.193888,0.038125,0.164500,1.073000
12036,17.067459,16.860921,0.000000,5.694667,5.566653,0.127764,0.041208,0.011958,1.134375
12037,16.687833,16.708581,0.000000,6.203417,6.189958,0.013459,0.053042,0.012166,0.315292
12038,16.761250,16.715339,0.000000,5.928458,5.776611,0.151764,0.050250,0.012500,0.977417
12039,16.656667,16.648383,0.000000,6.095832,5.906985,0.188764,0.039666,0.011167,0.303792
12040,16.631166,16.606171,0.000000,5.886959,5.877875,0.009084,0.056667,0.013542,0.992000
12041,16.866084,16.939295,0.000000,5.257293,5.221070,0.035972,0.046333,0.070542,0.290625
12042,16.612458,16.554458,0.000000,6.058250,6.052152,0.005973,0.051250,0.027000,0.943626
12043,17.082792,17.151755,0.000000,6.307875,6.115570,0.192222,0.106250,0.064958,1.253625
12044,16.236083,16.133548,0.000000,5.471416,5.365542,0.105457,0.050667,0.019416,0.648167
12045,16.582583,16.552694,0.000000,5.837500,5.685986,0.151264,0.045625,0.049459,1.268542
12046,16.754209,16.769883,0.000000,5.880749,5.871499,0.008959,0.051333,0.011250,0.662500
12047,16.693375,16.659248,0.000000,5.982334,5.800778,0.181055,0.055500,0.016416,0.980916
12048,16.799250,16.789201,0.000000,6.198458,6.005402,0.192973,0.045250,0.018375,0.306791
12049,16.656250,16.635177,0.000000,5.990416,5.808319,0.181681,0.049666,0.010459,0.974584
12050,16.767083,16.770181,0.000000,6.011791,5.826069,0.185639,0.047625,0.010958,0.305542
12051,16.679458,16.638759,0.000000,6.139291,5.938194,0.201014,0.039209,0.027500,1.011041
12052,16.554834,16.532761,0.000000,6.182166,5.984027,0.198056,0.053958,0.018583,1.309583
12053,16.774250,16.752432,0.000000,6.199126,6.011570,0.187472,0.044500,0.010916,0.622833
12054,16.701041,16.737286,0.000000,6.141042,5.938527,0.202473,0.044834,0.042458,0.967416
12055,16.549542,16.527740,0.000000,6.260416,6.057986,0.202347,0.041875,0.008417,0.292125
12056,16.800833,16.769997,0.000000,6.166499,6.165500,0.000999,0.050375,0.015792,1.302792
12057,16.604250,16.558321,0.000000,6.166958,5.963819,0.203056,0.048834,0.012291,0.607792
12058,16.698417,16.675967,0.000000,6.209959,6.008236,0.201639,0.044833,0.010250,0.950750
12059,16.637125,16.690864,0.000000,6.101000,6.100542,0.000458,0.048292,0.010250,0.912042
12060,16.141958,16.304779,0.000000,6.008376,5.845861,0.162390,0.040667,0.229458,0.661709
