frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,video_build_ms,present_ms,audio_mix_ms
15432,16.715334,16.715877,0.000000,5.033583,0.035166,0.036625,0.656417
15433,16.778500,16.742018,0.000000,4.692833,0.056291,0.018375,0.912584
15434,16.831875,16.849402,0.000000,4.566708,0.054833,0.030292,0.639541
15435,16.577500,16.542772,0.000000,4.562041,0.055250,0.019708,1.247709
15436,16.688333,16.662758,0.000000,4.679833,0.064333,0.014042,0.631291
15437,16.618208,16.589166,0.000000,4.573709,0.049417,0.010083,0.962042
15438,16.709792,16.671959,0.000000,5.557167,0.046792,0.016166,0.637041
15439,16.600667,16.641501,0.000000,5.435376,0.061500,0.016250,0.938001
15440,16.707125,16.685006,0.000000,5.371334,0.056250,0.013500,0.948166
15441,16.745250,16.726087,0.000000,5.673334,0.046750,0.011458,0.640542
15442,16.581916,16.570342,0.000000,5.417166,0.050167,0.047292,1.194334
15443,16.557250,16.558536,0.000000,5.263249,0.041709,0.033625,0.632209
15444,16.859834,16.830960,0.000000,5.045001,0.060416,0.036250,1.278833
15445,16.692083,16.680336,0.000000,5.525459,0.047000,0.022500,0.628208
15446,16.678708,16.659377,0.000000,5.337999,0.057750,0.012417,0.908167
15447,16.689750,16.657921,0.000000,5.407834,0.043917,0.011917,0.660125
15448,16.643667,16.677370,0.000000,4.837167,0.061375,0.023833,1.083417
15449,16.729208,16.683958,0.000000,5.586042,0.062667,0.014208,1.248375
15450,16.567917,16.540989,0.000000,5.679543,0.051000,0.009333,0.610458
15451,16.975708,17.053542,0.000000,5.143750,0.117000,0.017750,0.946583
15452,16.375792,16.312586,0.000000,4.352376,0.079458,0.013667,0.648125
15453,16.690000,16.653654,0.000000,4.958375,0.050958,0.019334,0.961666
15454,16.760208,16.718793,0.000000,5.376541,0.044542,0.010958,0.609708
15455,16.660709,16.622302,0.000000,4.944875,0.047708,0.012292,0.615708
15456,16.658708,16.700923,0.000000,5.321791,0.043458,0.021959,1.088083
15457,16.697125,16.682828,0.000000,5.172334,0.047250,0.017792,0.617375
15458,16.707208,16.720734,0.000000,5.432334,0.069959,0.018583,0.918457
15459,16.623500,16.601945,0.000000,4.230584,0.061292,0.028708,0.387542
15460,16.748125,16.685371,0.000000,5.076792,0.080834,0.017083,0.942500
15461,16.635084,16.662120,0.000000,5.253459,0.057583,0.016125,0.446083
15462,16.680375,16.642750,0.000000,5.350459,0.051416,0.011834,0.930292
15463,16.649791,16.623009,0.000000,5.512918,0.044709,0.010375,0.655625
15464,16.707625,16.730917,0.000000,5.533917,0.055917,0.013167,1.273584
15465,16.659959,16.624464,0.000000,5.594083,0.050000,0.011375,1.305291
15466,16.661375,16.610949,0.000000,5.489166,0.049708,0.013208,0.642834
15467,16.721083,16.710885,0.000000,5.347041,0.047833,0.012042,0.955291
15468,16.703375,16.741083,0.000000,5.463251,0.056750,0.014875,0.648875
15469,16.687792,16.664454,0.000000,4.985000,0.060083,0.017875,0.919834
15470,16.636958,16.625337,0.000000,5.364166,0.055583,0.028042,0.612042
15471,16.897500,16.900670,0.000000,5.205126,0.062375,0.014083,0.600208
15472,16.681833,16.654531,0.000000,4.279167,0.085875,0.024250,0.596042
15473,16.673334,16.666502,0.000000,3.588498,0.075041,0.018292,0.320917
15474,16.654666,16.637000,0.000000,4.024417,0.072792,0.031542,0.631332
15475,16.486167,16.469962,0.000000,5.040791,0.052125,0.014542,0.293667
15476,16.743375,16.719287,0.000000,5.370001,0.050667,0.016875,0.640042
15477,16.555583,16.552501,0.000000,5.271417,0.063709,0.054208,0.289875
15478,16.641584,16.691963,0.000000,5.307584,0.051833,0.131083,0.921750
15479,16.804666,16.750884,0.000000,4.794542,0.086209,0.016291,0.606251
15480,16.852167,16.842557,0.000000,4.822542,0.050667,0.045583,0.647208
15481,16.601333,16.521174,0.000000,5.209958,0.048667,0.011292,1.275125
15482,16.684917,16.719763,0.000000,4.016250,0.063583,0.031875,0.628917
15483,16.695750,16.667880,0.000000,5.061750,0.056250,0.027792,1.250583
15484,16.737375,16.740952,0.000000,5.571457,0.046000,0.055500,0.607583
15485,16.667958,16.633744,0.000000,5.226916,0.057250,0.030875,1.106708
