frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other
17483,16.824625,16.717993,11.846821,0.000000,5.016292,5.015722,0.000278,0.053125,0.037083,0.740834,654,8100590,150882,0,7449,0,2,7447,0,3510,3937,0,0
17484,16.721500,16.593167,11.057412,0.000000,5.549708,5.454972,0.094487,0.061166,0.013667,1.062541,640,8055519,143835,0,7210,0,2,7208,0,4680,2528,0,0
17485,16.447458,16.315251,11.628085,0.000000,5.314626,5.314056,0.000278,0.054958,0.012125,0.607125,636,8094466,145935,0,5647,0,2,5645,0,3510,2135,0,0
17486,16.963750,16.845737,12.656209,0.000000,4.932917,4.932222,0.000236,0.071958,0.029875,1.223667,630,8064757,147820,0,5408,0,2,5406,0,3510,1896,0,0
17487,16.653542,16.527382,11.453875,0.000000,5.134167,5.131055,0.002945,0.063250,0.033166,0.609917,638,8070961,144520,0,7210,0,2,7208,0,4680,2528,0,0
17488,16.705916,16.605837,11.562049,0.000000,5.057541,5.039389,0.017944,0.065667,0.014667,0.854125,632,8080256,145110,0,5408,0,2,5406,0,3510,1896,0,0
17489,16.703417,16.547833,11.278082,0.000000,5.266250,5.205222,0.060695,0.063958,0.013584,0.609541,632,8080301,143440,0,5408,0,2,5406,0,3510,1896,0,0
17490,16.675292,16.554755,11.476501,0.000000,5.161374,5.160930,0.000278,0.064416,0.022500,0.737875,641,8070947,144745,0,7210,0,2,7208,0,4680,2528,0,0
17491,16.678666,16.578877,11.461622,0.000000,5.182834,5.182140,0.000402,0.057792,0.012208,0.857625,633,8080354,144198,0,5408,0,2,5406,0,3510,1896,0,0
17492,16.194167,16.260026,10.914291,0.000000,5.378000,5.290056,0.087694,0.069417,0.193625,0.451125,646,8200209,150789,0,6056,0,2,6054,0,3510,2544,0,0
17493,17.406917,17.147097,12.244962,0.000000,4.925709,4.924930,0.000320,0.121916,0.018209,0.650666,632,7963111,150395,0,7210,0,2,7208,0,4680,2528,0,0
17494,16.758500,16.654405,12.420252,0.000000,4.390042,4.389056,0.000236,0.154916,0.024417,0.298250,634,8095386,145001,0,5408,0,2,5406,0,3510,1896,0,0
17495,16.313708,16.107652,11.750137,0.000000,4.519208,4.504972,0.013528,0.230083,0.027750,0.741958,630,8032977,144213,0,5585,0,2,5583,0,3510,2073,0,0
17496,16.857458,16.799746,14.369353,0.000000,0.412707,0.411888,0.000153,0.111375,0.023292,0.327208,642,8087136,155921,0,7210,0,2,7208,0,4680,2528,0,0
17497,16.716459,16.604208,13.869236,0.000000,2.498667,2.497889,0.000319,0.113583,0.018333,0.653917,632,8094898,148644,0,5408,0,2,5406,0,3510,1896,0,0
17498,16.601333,16.437793,12.327955,0.000000,4.206125,4.191389,0.014486,0.073958,0.020500,0.372375,632,8080219,147150,0,5408,0,2,5406,0,3510,1896,0,0
17499,16.643708,16.476083,12.055099,0.000000,4.978126,4.971388,0.006446,0.069584,0.030833,1.327583,638,8055605,147304,0,7210,0,2,7208,0,4680,2528,0,0
17500,16.664292,16.568426,11.537702,0.000000,5.061666,5.061181,0.000152,0.065500,0.014667,0.908500,634,8095695,147965,0,5408,0,2,5406,0,3510,1896,0,0
17501,16.667625,16.563344,11.181466,0.000000,5.406584,5.331514,0.074612,0.069667,0.023375,0.612542,630,8069889,146491,0,5408,0,2,5406,0,3510,1896,0,0
17502,16.654708,16.511636,11.290366,0.000000,5.274208,5.249929,0.024029,0.066625,0.014084,1.223167,639,8065941,147716,0,7210,0,2,7208,0,4680,2528,0,0
17503,16.719000,16.606995,11.408493,0.000000,5.272916,5.243681,0.028902,0.060292,0.012542,0.610625,632,8080171,147480,0,5408,0,2,5406,0,3510,1896,0,0
17504,16.654417,16.543829,11.171996,0.000000,5.419042,5.357722,0.060945,0.060167,0.020791,1.226333,632,8080183,146335,0,5408,0,2,5406,0,3510,1896,0,0
17505,16.745667,16.652765,11.361125,0.000000,5.349626,5.233472,0.115862,0.080416,0.021459,0.292750,643,8077018,147212,0,7210,0,2,7208,0,4680,2528,0,0
17506,16.654375,16.501726,11.977473,0.000000,4.561042,4.552723,0.007903,0.068583,0.015042,0.581959,630,8058764,144747,0,5408,0,2,5406,0,3510,1896,0,0
17507,16.708500,16.603513,11.745246,0.000000,4.989584,4.965514,0.023695,0.066708,0.012625,0.901543,633,8095685,144081,0,5408,0,2,5406,0,3510,1896,0,0
17508,16.892583,16.760616,10.849122,0.000000,5.305543,5.262097,0.043154,0.053708,0.011209,0.609208,641,8101912,145579,0,7210,0,2,7208,0,4680,2528,0,0
17509,16.468250,16.349054,12.519461,0.000000,4.000001,3.998223,0.001569,0.063250,0.018208,0.904457,635,8094164,155209,0,5676,0,2,5674,0,3510,2164,0,0
17510,16.770792,16.651487,12.240967,0.000000,4.404084,4.403555,0.000070,0.070791,0.021417,0.612416,628,8022850,159243,0,5408,0,2,5406,0,3510,1896,0,0
17511,17.007416,16.913358,11.409782,0.000000,5.481625,5.395972,0.085070,0.096084,0.020958,0.585458,641,8082044,140743,0,7210,0,2,7208,0,4680,2528,0,0
17512,16.733792,16.614208,12.698965,0.000000,3.916916,3.915889,0.000319,0.095125,0.056458,0.291833,630,8080222,142533,0,5408,0,2,5406,0,3510,1896,0,0
17513,16.327792,16.150140,11.547075,0.000000,4.530376,4.529680,0.000195,0.068125,0.015458,0.592417,631,8064773,139697,0,5408,0,2,5406,0,3510,1896,0,0
17514,16.572875,16.440753,11.738092,0.000000,4.776292,4.775847,0.000112,0.053750,0.027833,0.621375,639,8055614,140649,0,7210,0,2,7208,0,4680,2528,0,0
17515,16.403250,16.282152,11.256144,0.000000,5.096958,5.096556,0.000152,0.047833,0.010625,1.220084,640,8172050,143055,0,5592,0,2,5590,0,3510,2080,0,0
17516,16.702583,16.590707,12.349449,0.000000,4.482001,4.481264,0.000320,0.060875,0.012958,1.223042,631,8035073,153429,0,5718,0,2,5716,0,3510,2206,0,0
17517,16.818042,16.686749,12.845059,0.000000,4.116458,4.116096,0.000195,0.057166,0.041084,0.290000,639,8052499,154174,0,7210,0,2,7208,0,4680,2528,0,0
17518,16.684833,16.535006,11.969374,0.000000,4.786292,4.785806,0.000319,0.050458,0.011292,1.059875,631,8064976,147908,0,5408,0,2,5406,0,3510,1896,0,0
17519,16.712500,16.606181,11.878406,0.000000,4.909625,4.908972,0.000278,0.050417,0.037208,0.448458,630,8080046,145944,0,5408,0,2,5406,0,3510,1896,0,0
17520,16.663417,16.527655,11.805452,0.000000,4.875167,4.874680,0.000196,0.056500,0.011375,0.741791,641,8071015,147049,0,7210,0,2,7208,0,4680,2528,0,0
17521,16.743583,16.650587,12.149564,0.000000,4.696625,4.696139,0.000278,0.062458,0.029209,0.444916,633,8095676,146081,0,5408,0,2,5406,0,3510,1896,0,0
17522,16.697833,16.557742,12.079954,0.000000,4.689709,4.689264,0.000153,0.066250,0.013667,0.893250,632,8080214,145681,0,5408,0,2,5406,0,3510,1896,0,0
17523,16.699167,16.563544,12.281902,0.000000,4.430791,4.430138,0.000278,0.070417,0.013708,0.597416,640,8055549,145983,0,7210,0,2,7208,0,4680,2528,0,0
17524,16.609667,16.486306,12.172386,0.000000,4.563124,4.562722,0.000152,0.055083,0.028458,0.294583,633,8095732,144752,0,5408,0,2,5406,0,3510,1896,0,0
17525,16.209416,16.327658,11.397087,0.000000,5.089459,5.088847,0.000320,0.042542,0.294625,0.894291,660,8252844,153011,0,7858,0,2,7856,0,4680,3176,0,0
17526,17.113375,16.721295,12.384051,0.000000,4.607626,4.607180,0.000279,0.048625,0.027750,0.447458,617,7879467,148273,0,5408,0,2,5406,0,3510,1896,0,0
17527,16.674084,16.583489,11.545014,0.000000,5.170666,5.170014,0.000361,0.060125,0.027208,0.898751,633,8095671,142295,0,5408,0,2,5406,0,3510,1896,0,0
17528,16.681791,16.532152,11.510599,0.000000,5.187501,5.186972,0.000320,0.045417,0.025667,0.608167,636,8056781,142721,0,7006,0,2,7004,0,4536,2468,0,0
17529,16.727584,16.588878,11.641661,0.000000,5.059667,5.059097,0.000320,0.048666,0.010459,0.740208,635,8078983,142939,0,5612,0,2,5610,0,3654,1956,0,0
17530,16.715916,16.617008,11.701399,0.000000,5.049832,5.049472,0.000152,0.059584,0.027875,0.923208,634,8102269,142578,0,5408,0,2,5406,0,3510,1896,0,0
17531,16.664000,16.498948,11.491412,0.000000,5.107668,5.107139,0.000237,0.054750,0.015750,0.452458,638,8048948,142102,0,7210,0,2,7208,0,4680,2528,0,0
17532,16.699042,16.595620,11.866895,0.000000,4.910708,4.910096,0.000279,0.045917,0.026833,0.996208,634,8095725,143495,0,5408,0,2,5406,0,3510,1896,0,0
