frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
12136,17.073333,17.008452,0.000000,1.287708,1.287136,0.000197,0.088709,0.023166,0.581083,626,8002959,166121,0,5408
12137,16.254917,16.240640,0.000000,3.900874,3.900305,0.000403,0.056375,0.029083,0.602542,636,8095037,156130,0,5537
12138,16.616625,16.580005,0.000000,4.521000,4.520471,0.000195,0.052042,0.012791,0.645541,647,8116449,168998,0,7362
12139,16.937833,16.878583,0.000000,4.990291,4.986762,0.003446,0.059584,0.018541,1.294375,628,8018383,164852,0,5408
12140,16.771250,16.817874,0.000000,5.032125,5.031721,0.000279,0.073792,0.041833,0.455708,633,8095670,159071,0,5408
12141,16.354792,16.315096,0.000000,3.466251,3.465805,0.000112,0.059458,0.017250,0.590750,640,8057442,159445,0,7431
12142,17.054333,17.033035,0.000000,4.897625,4.873720,0.020989,0.053334,0.041458,0.498458,632,8077196,157935,0,5408
12143,16.892709,16.945049,0.000000,5.393458,5.325847,0.067528,0.076750,0.050791,1.055667,634,8095647,154273,0,5408
12144,16.413083,16.325682,0.000000,4.669167,4.666095,0.002905,0.049333,0.013667,0.944375,640,8055575,155810,0,7210
12145,16.686000,16.643296,0.000000,6.081250,5.899165,0.182002,0.042208,0.013709,0.311291,631,8064793,143750,0,5408
12146,16.702958,16.721376,0.000000,5.344250,5.343930,0.000237,0.055167,0.035750,0.939208,633,8095668,156223,0,5408
12147,16.655417,16.647536,0.000000,5.312417,5.282929,0.029404,0.044875,0.039250,0.634292,640,8071024,157926,0,7210
12148,16.913625,16.889018,0.000000,5.761625,5.622013,0.139362,0.057917,0.013875,0.639125,633,8080221,147155,0,5408
12149,16.186333,16.143096,0.000000,5.132624,5.126263,0.006320,0.037792,0.010458,0.661833,639,8086573,158437,0,7229
12150,17.143250,17.156661,0.000000,4.838250,4.837888,0.000196,0.082750,0.018000,0.700792,634,8064091,166563,0,5492
12151,16.454584,16.460332,0.000000,5.015209,5.012388,0.002196,0.096000,0.022958,0.312291,640,8156310,149328,0,5623
12152,16.991958,16.964188,0.000000,3.854750,3.853888,0.000445,0.093458,0.020959,1.041417,633,7978366,165398,0,7210
12153,16.714083,16.657774,0.000000,3.083667,3.083055,0.000237,0.082584,0.015250,0.590750,633,8095617,158760,0,5408
12154,16.136500,16.167504,0.000000,3.941333,3.940638,0.000154,0.070250,0.025417,0.290916,644,8171380,150205,0,5720
12155,16.792167,16.694117,0.000000,3.203541,3.203096,0.000237,0.047750,0.020500,0.918959,635,7978073,176366,0,7210
12156,16.783208,16.806921,0.000000,5.063292,5.062929,0.000196,0.042917,0.028000,0.444000,632,8080277,163160,0,5408
12157,16.880250,16.879702,0.000000,4.322167,4.321386,0.000364,0.063625,0.014959,0.911750,633,8080193,153911,0,5408
12158,16.527167,16.497438,0.000000,4.436126,4.435763,0.000154,0.039375,0.038292,0.606125,641,8071049,162734,0,7210
12159,16.792625,16.769877,0.000000,4.400874,4.400471,0.000195,0.049042,0.041208,0.933625,631,8080134,163933,0,5408
12160,16.695708,16.677093,0.000000,4.962042,4.961762,0.000197,0.052875,0.014917,1.056709,632,8080417,152815,0,5408
12161,16.530834,16.495460,0.000000,4.598293,4.597972,0.000154,0.051458,0.017708,0.457500,637,8055380,158787,0,7210
12162,16.734291,16.731649,0.000000,4.589500,4.589179,0.000196,0.044917,0.022542,1.080583,634,8095696,163726,0,5408
12163,16.712709,16.702967,0.000000,5.102375,5.098595,0.003572,0.039458,0.036250,0.640500,634,8080232,150385,0,5408
12164,16.756666,16.752613,0.000000,4.283542,4.283138,0.000196,0.062500,0.023459,1.245209,640,8070970,159479,0,7210
12165,16.560375,16.518388,0.000000,4.941375,4.940971,0.000154,0.042625,0.026334,0.615667,634,8080293,157615,0,5408
12166,17.584084,17.555791,0.000000,5.404999,5.404596,0.000154,0.044583,0.011292,0.942333,631,8080162,148025,0,5408
12167,15.133000,15.332375,0.000000,3.927874,3.927638,0.000195,0.029208,0.304458,0.615958,647,8163911,154968,0,7210
12168,17.324875,17.049796,0.000000,4.643375,4.642804,0.000405,0.037875,0.008833,1.212834,624,7971878,168433,0,5408
12169,16.753083,16.777405,0.000000,5.535833,5.444554,0.091154,0.043542,0.033791,1.230543,634,8095683,148436,0,5408
12170,16.536083,16.470755,0.000000,4.676417,4.664430,0.011862,0.038000,0.029834,0.609792,640,8055672,153460,0,7210
12171,16.879667,16.906451,0.000000,4.360124,4.359846,0.000112,0.044000,0.029667,0.934292,633,8095790,163582,0,5408
12172,16.326667,16.290534,0.000000,5.253958,5.214763,0.039029,0.035958,0.031375,0.608875,636,8078467,145003,0,5689
12173,16.873416,16.845488,0.000000,4.577501,4.577180,0.000237,0.039750,0.018042,0.650750,641,8055566,163394,0,7210
12174,16.779667,16.789501,0.000000,4.780750,4.780304,0.000279,0.033000,0.040417,0.607708,631,8095655,159513,0,5408
12175,16.785125,16.769124,0.000000,5.378417,5.315888,0.062321,0.042875,0.032667,1.173292,632,8080211,146068,0,5408
12176,16.511208,16.495942,0.000000,4.678709,4.678347,0.000320,0.043834,0.025958,1.222708,641,8070973,155265,0,7210
12177,16.664959,16.639369,0.000000,4.905875,4.905596,0.000196,0.036125,0.031333,0.610375,631,8080243,155623,0,5408
12178,16.709750,16.683102,0.000000,5.408416,5.345011,0.063363,0.034833,0.031250,1.277000,634,8080221,148332,0,5408
12179,16.790416,16.801586,0.000000,4.245917,4.245388,0.000279,0.065334,0.011958,0.304167,642,8070965,156184,0,7210
12180,16.736709,16.691622,0.000000,4.773459,4.773096,0.000196,0.046666,0.014542,0.753916,631,8080349,157907,0,5408
12181,16.551666,16.539183,0.000000,5.268333,5.228763,0.039279,0.037042,0.034542,0.449958,632,8080169,146216,0,5408
12182,16.680625,16.664450,0.000000,4.739084,4.738430,0.000320,0.045250,0.011584,0.782291,642,8070905,156965,0,7210
12183,16.736125,16.712456,0.000000,4.863751,4.863388,0.000279,0.045250,0.010792,1.053751,632,8080213,157257,0,5408
12184,16.711417,16.681338,0.000000,5.453375,5.391220,0.062113,0.040292,0.019000,0.484000,630,8072667,146212,0,5408
12185,16.578208,16.526215,0.000000,4.820916,4.820346,0.000195,0.040042,0.012125,0.933041,642,8063097,152582,0,7210
12186,16.948625,16.993505,0.000000,4.784084,4.782763,0.001113,0.062542,0.014583,0.296292,632,8095660,157059,0,5408
12187,16.686917,16.650895,0.000000,5.014209,4.979345,0.034530,0.056458,0.013209,1.098791,633,8080275,143802,0,5408
12188,16.606792,16.564667,0.000000,4.382208,4.344721,0.037278,0.056375,0.013708,0.306667,640,8055479,152927,0,7210
12189,16.718416,16.728178,0.000000,4.261999,4.257387,0.004571,0.062000,0.014625,0.930291,635,8095681,157775,0,5408
12190,16.647750,16.629706,0.000000,5.115750,5.115220,0.000280,0.059584,0.019958,0.616417,630,8080252,147527,0,5408
12191,16.727584,16.747789,0.000000,4.559958,4.555180,0.001695,0.074000,0.020291,0.304709,641,8086401,155813,0,7210
12192,16.627750,16.560625,0.000000,5.205292,5.198721,0.006446,0.061625,0.015958,1.177167,630,8064758,156628,0,5408
12193,16.766625,16.760199,0.000000,6.065540,5.867179,0.198154,0.046333,0.012708,0.611958,654,8080235,145636,0,5408
12194,16.166500,16.143833,0.000000,5.378709,5.309972,0.068528,0.051541,0.011125,1.105000,642,8071778,156362,0,7314
12195,17.160833,17.147700,0.000000,5.162958,5.138179,0.024654,0.075042,0.014166,0.613875,631,8078897,164361,0,5408
12196,16.262458,16.224932,0.000000,5.873210,5.871554,0.001489,0.054209,0.015125,1.218958,633,8079675,142505,0,5513
12197,16.869084,16.860152,0.000000,5.246083,5.221013,0.025029,0.053125,0.035958,0.612958,640,8055546,162205,0,7210
12198,16.884166,16.899296,0.000000,5.147666,5.139387,0.008071,0.080084,0.018000,0.764916,634,8095728,157376,0,5408
12199,16.637459,16.568201,0.000000,5.351334,5.268887,0.082030,0.048041,0.011792,0.610792,631,8064741,145598,0,5408
12200,16.595333,16.616959,0.000000,5.155959,5.155513,0.000196,0.055875,0.012458,0.547625,643,8086456,159598,0,7210
12201,16.496792,16.438684,0.000000,5.432083,5.367887,0.064029,0.053291,0.011334,1.254375,629,8080216,154898,0,5408
12202,16.882833,16.880831,0.000000,5.758625,5.621554,0.136612,0.050833,0.018709,0.445542,638,8087097,150513,0,7126
12203,16.756250,16.774125,0.000000,5.123917,5.102513,0.021362,0.053583,0.013667,0.753416,636,8061540,161217,0,6005
12204,16.660250,16.600128,0.000000,5.165041,5.142595,0.022238,0.050125,0.013042,0.609500,647,8056861,159055,0,6936
12205,16.564292,16.567423,0.000000,5.737874,5.605179,0.132487,0.045250,0.035958,0.747083,640,8086455,148129,0,7210
12206,16.787666,16.754999,0.000000,5.001209,4.995513,0.005321,0.052459,0.015583,0.699792,632,8064790,160281,0,5408
12207,16.692209,16.670659,0.000000,5.423209,5.350263,0.072654,0.048458,0.012958,0.467375,632,8080192,155349,0,5408
12208,16.603041,16.618917,0.000000,5.914374,5.741554,0.172571,0.047750,0.010959,0.942708,639,8075878,146173,0,7210
12209,16.623917,16.545070,0.000000,5.124458,5.114929,0.009279,0.076625,0.039125,0.462292,632,8075376,155484,0,5408
12210,16.710042,16.740537,0.000000,5.208375,5.203637,0.004655,0.055041,0.015000,0.957542,633,8080282,156694,0,5408
12211,16.677083,16.665706,0.000000,5.736249,5.601929,0.133987,0.057125,0.013375,0.580125,641,8070924,149493,0,7210
12212,16.470500,16.431002,0.000000,5.321958,5.284888,0.036862,0.043792,0.016541,0.776249,636,8125410,159821,0,5623
12213,16.936792,16.953902,0.000000,4.190959,4.187637,0.003238,0.054625,0.022458,0.318875,630,8043186,169788,0,5408
12214,16.643583,16.664887,0.000000,4.881417,4.880970,0.000197,0.057875,0.052292,0.978000,642,8077250,151196,0,7210
12215,16.751875,16.707578,0.000000,4.789083,4.788804,0.000154,0.061542,0.032041,0.696417,632,8080173,159993,0,5408
12216,16.699542,16.664717,0.000000,5.030708,5.012304,0.018196,0.049083,0.012708,0.307500,634,8080268,158780,0,5408
12217,16.572083,16.520053,0.000000,5.316875,5.244429,0.072237,0.053750,0.018125,0.950750,640,8055513,147917,0,7210
12218,16.839625,16.817317,0.000000,5.211375,5.176305,0.034820,0.058208,0.013709,0.652500,633,8095651,157327,0,5408
12219,16.644333,16.679547,0.000000,4.457750,4.457470,0.000155,0.057209,0.047708,1.017624,632,8080231,163537,0,5408
12220,16.641334,16.587665,0.000000,5.076084,5.072720,0.003114,0.068500,0.036375,0.608500,640,8055570,151606,0,7210
12221,16.682208,16.696665,0.000000,4.589375,4.589013,0.000112,0.052958,0.012625,0.669208,633,8095693,163036,0,5408
12222,16.371958,16.318122,0.000000,4.748916,4.742929,0.005862,0.054750,0.014834,0.593292,634,8079529,161897,0,5534
12223,16.616209,16.624241,0.000000,4.955209,4.954887,0.000197,0.050875,0.053500,0.630625,642,8054911,158790,0,7336
12224,17.037708,17.027442,0.000000,4.532751,4.532430,0.000196,0.057083,0.046334,1.132125,631,8080198,170804,0,5408
12225,16.623125,16.591086,0.000000,4.924084,4.923804,0.000238,0.048917,0.013083,0.645834,633,8080261,162184,0,5408
12226,16.680500,16.638842,0.000000,5.336541,5.297095,0.039405,0.053917,0.019416,1.337500,643,8086434,154631,0,7210
12227,16.799083,16.839580,0.000000,4.888167,4.877638,0.010362,0.061542,0.014667,0.606334,629,8062177,164076,0,5408
12228,16.538625,16.475269,0.000000,4.779540,4.779220,0.000279,0.056250,0.013417,0.907459,633,8082829,159010,0,5408
12229,16.665750,16.695583,0.000000,5.406542,5.317845,0.088530,0.052250,0.020417,0.943375,642,8101776,150948,0,7210
12230,16.789834,16.791737,0.000000,4.895458,4.887971,0.007237,0.071708,0.024542,0.479375,632,8080228,162962,0,5408
12231,16.663041,16.587712,0.000000,4.475584,4.475096,0.000196,0.070834,0.027291,0.586417,630,8049418,160215,0,5408
12232,16.608292,16.597387,0.000000,5.403751,5.403387,0.000239,0.055875,0.015542,0.645791,645,8101829,153452,0,7210
12233,16.727750,16.670627,0.000000,5.035833,5.004804,0.030779,0.052167,0.014083,0.656708,629,8049298,162672,0,5408
12234,16.917167,16.939926,0.000000,4.826001,4.825596,0.000321,0.047916,0.012917,0.625792,633,8095727,164256,0,5408
12235,16.514250,16.500962,0.000000,5.034542,5.034095,0.000280,0.069250,0.029458,0.966209,642,8086355,154719,0,7210
12236,16.720125,16.719416,0.000000,4.735624,4.725971,0.009570,0.065833,0.047083,0.609208,630,8049377,163144,0,5408
12237,16.512791,16.501929,0.000000,4.662417,4.654346,0.007988,0.043917,0.012167,0.916208,634,8111141,160105,0,5408
12238,16.617334,16.576463,0.000000,5.286707,5.235595,0.050821,0.058250,0.014000,1.052251,640,8055556,154316,0,7210
12239,16.982416,16.905721,0.000000,3.980959,3.980597,0.000112,0.054334,0.017666,0.302917,631,8049273,162568,0,5408
12240,16.615500,16.686170,0.000000,4.970083,4.969804,0.000154,0.064584,0.013625,0.957208,633,8095684,160174,0,5408
12241,16.570917,16.547093,0.000000,5.429957,5.355428,0.074321,0.057583,0.020125,0.632083,643,8102018,150502,0,7210
12242,16.438667,16.413205,0.000000,4.871250,4.870888,0.000195,0.061208,0.018375,0.987333,631,8048618,163332,0,5511
12243,16.678708,16.662612,0.000000,4.707959,4.707471,0.000404,0.055667,0.016708,0.290292,640,8141446,172276,0,5547
12244,16.925250,16.848713,0.000000,5.134000,5.126095,0.007530,0.062125,0.013292,0.941125,636,8024526,160669,0,7210
12245,16.668292,16.682755,0.000000,4.859333,4.831263,0.027820,0.050666,0.013750,0.917875,634,8095537,162894,0,5408
