frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
11408,16.637917,16.619202,0.000000,6.139041,6.138707,0.000334,0.037541,0.033375,0.593250,632,8080246,128986,0,5408
11409,16.342416,16.360736,0.000000,6.158666,6.158291,0.000375,0.033750,0.079875,0.290541,644,8100778,130644,0,7421
11410,17.146709,17.098411,0.000000,5.698083,5.697514,0.000278,0.046875,0.019958,0.593375,630,8049314,137605,0,5408
11411,16.665791,16.630061,0.000000,6.066960,6.066500,0.000460,0.039667,0.018583,0.580125,632,8080260,128310,0,5408
11412,16.585459,16.580015,0.000000,6.139376,6.139000,0.000376,0.035500,0.028583,0.297875,640,8070983,129939,0,7210
11413,16.724416,16.702176,0.000000,6.280916,6.280500,0.000416,0.033042,0.037000,0.587167,631,8080246,130331,0,5408
11414,16.713875,16.654243,0.000000,6.314250,6.313874,0.000376,0.034000,0.016584,0.290667,631,8064785,128975,0,5408
11415,16.664042,16.681396,0.000000,6.203750,6.203458,0.000292,0.040500,0.017417,0.627125,641,8086478,128807,0,7210
11416,16.823875,16.811094,0.000000,6.150666,6.150083,0.000583,0.043583,0.018792,0.290416,630,8080174,130032,0,5408
11417,16.676500,16.611539,0.000000,5.716168,5.715722,0.000237,0.045958,0.013167,0.596000,632,8064786,127806,0,5408
11418,16.035333,16.229129,0.000000,5.989292,5.988916,0.000376,0.039667,0.189625,0.292792,654,8206479,133011,0,7870
11419,17.277750,17.095438,0.000000,5.700583,5.700181,0.000194,0.046459,0.018208,0.584792,625,7956664,140657,0,5408
11420,16.668959,16.648231,0.000000,6.146958,6.146708,0.000250,0.036333,0.033458,0.613125,631,8080228,128431,0,5408
11421,16.575375,16.532940,0.000000,6.196333,6.195833,0.000500,0.040416,0.017459,0.290083,640,8071049,126879,0,7210
11422,16.902375,16.908456,0.000000,5.973292,5.973001,0.000291,0.049333,0.028292,0.582417,632,8080232,132691,0,5408
11423,16.588041,16.528291,0.000000,5.964334,5.963874,0.000460,0.038125,0.018167,0.292167,633,8064837,128045,0,5408
11424,16.683917,16.676405,0.000000,6.083167,6.082875,0.000292,0.038958,0.018125,0.591875,639,8071178,129997,0,7210
11425,16.636667,16.657513,0.000000,6.037875,6.037417,0.000458,0.037916,0.026709,0.290208,633,8098720,129555,0,5408
11426,16.711916,16.683576,0.000000,6.117543,6.117250,0.000293,0.036084,0.028333,0.592209,632,8076999,129609,0,5408
11427,16.690584,16.676236,0.000000,6.166666,6.166374,0.000292,0.037083,0.028500,0.579042,637,8071064,129773,0,7210
11428,16.268166,16.238070,0.000000,6.178958,6.178459,0.000499,0.037084,0.028041,0.293875,636,8079199,126856,0,5593
11429,17.017667,17.010008,0.000000,5.831959,5.831625,0.000334,0.041625,0.026708,0.583709,638,8072220,137875,0,7006
11430,16.655667,16.636502,0.000000,6.156083,6.155666,0.000417,0.029750,0.029791,0.293458,634,8079050,130374,0,5612
11431,16.694375,16.674670,0.000000,6.376833,6.376500,0.000333,0.030875,0.030416,0.589125,632,8080227,128576,0,5408
11432,16.765166,16.746326,0.000000,6.389376,6.388833,0.000543,0.037334,0.028625,0.289750,642,8086489,128895,0,7210
11433,16.641625,16.616328,0.000000,6.151791,6.151457,0.000334,0.032959,0.020250,0.594541,629,8064775,129004,0,5408
11434,16.727750,16.715808,0.000000,6.234541,6.234292,0.000249,0.035500,0.029125,0.581750,634,8080298,129659,0,5408
11435,16.586917,16.547744,0.000000,6.299668,6.299250,0.000418,0.040125,0.028500,0.293291,636,8055492,127178,0,7210
11436,16.763833,16.725883,0.000000,6.202666,6.202416,0.000250,0.038250,0.017750,0.583583,633,8080348,130673,0,5408
11437,16.705959,16.722629,0.000000,6.185584,6.185167,0.000417,0.039541,0.019417,0.292500,634,8092853,128158,0,5408
11438,16.634208,16.616871,0.000000,6.190166,6.189707,0.000459,0.035417,0.017125,0.606750,641,8062911,128656,0,7210
11439,16.653625,16.633035,0.000000,6.139209,6.138750,0.000459,0.035042,0.031916,0.298500,631,8082526,130122,0,5410
11440,16.723167,16.691590,0.000000,6.406792,6.406334,0.000458,0.038833,0.029667,0.586042,631,8073318,127870,0,5408
11441,16.345416,16.304632,0.000000,6.468291,6.467874,0.000417,0.031125,0.015875,0.291334,642,8085620,128172,0,7367
11442,17.032959,17.059972,0.000000,5.371250,5.370763,0.000237,0.040708,0.038042,0.593958,632,8078898,146966,0,5661
11443,16.675958,16.645044,0.000000,6.229500,6.229084,0.000416,0.038833,0.026792,0.582333,632,8080069,129846,0,5408
11444,16.155917,16.303227,0.000000,6.162417,6.162083,0.000334,0.031958,0.186875,0.291042,643,8085822,132182,0,7333
11445,16.620791,16.662974,0.000000,5.676875,5.676555,0.000112,0.039500,0.235250,0.585458,648,8280347,145282,0,5531
11446,17.231792,17.014381,0.000000,5.255832,5.255222,0.000319,0.053708,0.030292,0.298333,617,7879447,141500,0,5408
11447,16.737458,16.689713,0.000000,5.558416,5.557930,0.000361,0.081459,0.024291,0.593083,641,8055558,133642,0,7210
11448,16.679959,16.752424,0.000000,4.880041,4.879305,0.000278,0.098125,0.040791,0.292292,643,8187071,138397,0,5644
11449,17.158833,17.100410,0.000000,4.287501,4.286681,0.000278,0.077292,0.030125,0.597000,627,7986671,152329,0,5574
11450,16.853958,16.844260,0.000000,5.426041,5.384472,0.040778,0.091584,0.024000,0.589417,638,8070995,131076,0,7210
11451,16.382584,16.351263,0.000000,4.943709,4.942763,0.000195,0.055125,0.044125,0.292541,632,8080230,131952,0,5408
11452,16.389250,16.333128,0.000000,5.812208,5.807916,0.004208,0.045500,0.026916,0.583208,631,8064779,129507,0,5408
11453,16.694666,16.688886,0.000000,5.705083,5.704749,0.000251,0.053417,0.042083,0.289917,641,8071014,131167,0,7210
11454,16.738750,16.658645,0.000000,5.540958,5.540555,0.000195,0.045750,0.020542,0.605542,630,8064792,133483,0,5408
11455,16.697584,16.678439,0.000000,5.658457,5.657958,0.000499,0.047083,0.012542,0.290583,634,8080212,132860,0,5408
11456,16.539375,16.525449,0.000000,5.722458,5.722013,0.000278,0.047875,0.026666,0.589334,642,8071003,132382,0,7210
11457,16.322666,16.340368,0.000000,5.679915,5.679429,0.000320,0.033292,0.032500,0.290333,638,8124822,134963,0,5733
11458,16.953542,16.916012,0.000000,5.091791,5.091306,0.000319,0.035458,0.037875,0.596750,628,8033895,146020,0,5408
11459,16.729417,16.755496,0.000000,5.711500,5.711222,0.000112,0.042958,0.032792,0.582666,642,8101919,135880,0,7210
11460,16.752958,16.693931,0.000000,5.692374,5.691999,0.000375,0.037000,0.020250,0.290333,631,8049316,135873,0,5408
11461,16.607375,16.623132,0.000000,5.714376,5.713931,0.000278,0.036625,0.037375,0.591417,633,8095699,135699,0,5408
11462,16.648458,16.572207,0.000000,5.996042,5.995791,0.000251,0.039584,0.035083,0.296334,639,8055670,132542,0,7210
11463,16.838459,16.862097,0.000000,5.828249,5.827999,0.000250,0.042791,0.033792,0.586624,634,8095540,136453,0,5408
11464,16.714458,16.698375,0.000000,5.790709,5.790042,0.000667,0.041167,0.034208,0.291083,630,8080337,133571,0,5408
11465,16.526292,16.526544,0.000000,5.756126,5.755792,0.000334,0.038958,0.033375,0.591833,642,8086388,133317,0,7210
11466,16.790375,16.754296,0.000000,5.718417,5.718041,0.000376,0.045250,0.036000,0.720917,633,8064739,135728,0,5408
11467,16.695333,16.668892,0.000000,5.809209,5.808876,0.000333,0.043625,0.019083,0.292000,632,8080222,133954,0,5408
11468,16.600917,16.599797,0.000000,5.773084,5.772708,0.000376,0.040875,0.025458,0.585917,640,8063776,133333,0,7210
11469,16.622541,16.567237,0.000000,5.776833,5.776415,0.000418,0.038500,0.027042,0.292542,631,8072117,134584,0,5408
11470,16.745167,16.751129,0.000000,5.905499,5.905125,0.000374,0.036000,0.034417,0.594209,633,8095632,135467,0,5408
11471,16.617958,16.561332,0.000000,6.012043,6.011708,0.000335,0.041084,0.026458,0.289750,640,8055604,131497,0,7210
11472,16.762709,16.766622,0.000000,5.933499,5.933082,0.000417,0.034458,0.016833,0.592667,632,8080149,134513,0,5408
11473,16.703083,16.697373,0.000000,5.785041,5.784708,0.000333,0.046583,0.018500,0.579666,651,8069703,135487,0,7449
11474,16.545625,16.481850,0.000000,5.687667,5.687097,0.000362,0.036250,0.017000,0.291792,639,8070998,133426,0,7210
11475,16.729417,16.767921,0.000000,5.977584,5.977083,0.000501,0.034500,0.031416,0.582166,635,8095670,134921,0,5408
11476,16.301458,16.320525,0.000000,6.061916,6.061542,0.000374,0.043042,0.099250,0.291542,637,8083832,132924,0,5730
11477,17.212708,17.144454,0.000000,4.789916,4.789180,0.000319,0.072834,0.034083,0.603541,640,8065687,142500,0,7210
11478,16.566250,16.517079,0.000000,5.678167,5.677763,0.000321,0.036709,0.017666,0.291000,630,8064793,136096,0,5408
11479,16.639542,16.599593,0.000000,5.907458,5.907083,0.000375,0.034542,0.029500,0.597042,632,8080222,133699,0,5408
11480,16.739542,16.767768,0.000000,5.960084,5.959833,0.000251,0.037833,0.020417,0.580084,640,8086494,134311,0,7210
11481,16.661125,16.633203,0.000000,5.970167,5.969875,0.000292,0.034833,0.016833,0.295417,633,8064782,131805,0,5408
11482,16.696291,16.674334,0.000000,6.061208,6.060750,0.000458,0.034250,0.016334,0.579208,633,8077834,131481,0,5877
11483,16.686084,16.658913,0.000000,6.076333,6.075958,0.000375,0.036583,0.010500,0.291000,637,8073434,132071,0,6741
11484,16.679750,16.677066,0.000000,6.235125,6.234874,0.000251,0.038291,0.026542,0.594209,632,8080220,129949,0,5408
11485,16.707750,16.693601,0.000000,6.175876,6.175334,0.000542,0.033333,0.017167,0.290584,642,8102079,130241,0,7210
11486,16.768041,16.760337,0.000000,5.884876,5.884375,0.000501,0.049292,0.033208,0.586583,629,8064683,133776,0,5408
11487,16.585709,16.570324,0.000000,6.224750,6.224333,0.000417,0.035333,0.029625,0.291750,633,8080203,129905,0,5408
11488,16.573458,16.551754,0.000000,6.292417,6.292084,0.000333,0.032000,0.029667,0.588541,641,8081544,129784,0,7210
11489,16.968917,16.960676,0.000000,6.150459,6.150000,0.000459,0.066916,0.025959,0.586625,629,8054286,131833,0,5408
11490,16.733875,16.709356,0.000000,5.652793,5.652417,0.000376,0.048875,0.028250,0.290292,634,8095658,131870,0,5408
11491,16.534625,16.474748,0.000000,5.853041,5.852667,0.000374,0.047625,0.019708,0.582666,640,8055657,129064,0,7210
11492,16.723750,16.745988,0.000000,5.752792,5.747583,0.005209,0.055291,0.019875,0.290708,631,8095613,133070,0,5408
11493,16.544000,16.544207,0.000000,5.999625,5.992124,0.007501,0.053083,0.018708,0.580333,631,8080259,130321,0,5408
11494,16.634833,16.614903,0.000000,6.664624,6.650166,0.014458,0.046958,0.045542,0.289792,640,8070975,131221,0,7210
11495,16.742542,16.702036,0.000000,6.660167,6.659791,0.000376,0.043416,0.011000,0.584376,630,8080265,132492,0,5408
11496,16.719000,16.721195,0.000000,6.590833,6.590416,0.000417,0.055125,0.019375,0.581125,632,8080291,130033,0,5408
11497,16.597041,16.569906,0.000000,6.609958,6.606000,0.003958,0.045334,0.018000,0.291209,642,8086380,130377,0,7210
11498,16.751709,16.742417,0.000000,6.501958,6.501707,0.000251,0.053625,0.021916,0.579750,632,8064806,133574,0,5408
11499,16.687833,16.709275,0.000000,6.676790,6.676415,0.000375,0.051417,0.047208,0.292208,633,8095693,130571,0,5408
11500,16.410958,16.354959,0.000000,6.714958,6.700750,0.014208,0.050834,0.035291,0.583792,643,8070003,131246,0,7388
11501,16.557750,16.616322,0.000000,5.789751,5.779972,0.009487,0.042292,0.097167,0.291875,646,8217926,145141,0,5653
11502,16.498125,16.610405,0.000000,5.963667,5.959291,0.004376,0.046417,0.245500,0.582125,628,7985132,139794,0,5865
11503,17.185542,16.933460,0.000000,6.355583,6.355084,0.000499,0.059292,0.014583,0.288917,636,8009224,136890,0,7210
11504,16.713125,16.750158,0.000000,6.515417,6.512041,0.003376,0.056125,0.029500,0.581667,634,8095807,130875,0,5408
11505,16.679792,16.667576,0.000000,6.193208,6.192374,0.000834,0.054916,0.067375,0.583083,631,8064645,137056,0,5408
11506,16.701250,16.663885,0.000000,6.349709,6.349167,0.000375,0.055708,0.018250,0.292125,642,8086560,134324,0,7210
11507,16.758916,16.740704,0.000000,6.370750,6.370499,0.000251,0.053709,0.013333,0.584417,633,8067746,135969,0,5408
11508,16.646417,16.609671,0.000000,6.468624,6.468249,0.000375,0.050833,0.018709,0.291500,630,8077170,133032,0,5408
11509,16.540417,16.494541,0.000000,6.679417,6.673334,0.006083,0.051958,0.018458,0.579709,641,8071244,129953,0,7210
11510,16.865708,16.899985,0.000000,6.639876,6.639542,0.000334,0.050292,0.030125,0.292500,632,8079970,134311,0,5408
11511,16.628167,16.604544,0.000000,6.516417,6.508208,0.008209,0.050166,0.026000,0.634084,633,8080270,133109,0,5408
11512,16.599000,16.586344,0.000000,6.575082,6.561625,0.013457,0.044625,0.043833,0.600833,639,8070995,132774,0,7210
11513,16.804916,16.777093,0.000000,6.175709,6.175458,0.000126,0.054875,0.038417,0.290750,634,8080205,136041,0,5408
11514,16.709292,16.706625,0.000000,6.430333,6.422499,0.007834,0.048708,0.037834,0.581126,631,8080247,134191,0,5408
11515,16.564667,16.582995,0.000000,6.499667,6.492667,0.007000,0.059250,0.058541,0.303750,639,8070988,130770,0,7210
