frame,total_ms,cpu_wall_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
11529,16.750709,16.754950,0.000000,5.902291,5.731486,0.170472,0.058208,0.041958,0.757375,642,8086274,141805,0,7210
11530,16.560875,16.541152,0.000000,5.718833,5.590444,0.127889,0.048750,0.046541,1.065500,632,8080335,141670,0,5408
11531,16.471666,16.438220,0.000000,6.083166,5.899403,0.183680,0.045667,0.036333,0.303584,634,8063863,141593,0,5560
11532,16.765917,16.761925,0.000000,5.250499,5.250042,0.000249,0.053917,0.044375,0.781375,642,8061623,154610,0,7463
11533,16.801208,16.782127,0.000000,5.870292,5.708361,0.161639,0.047250,0.045334,0.607125,633,8088220,142667,0,5408
11534,16.954625,16.926385,0.000000,5.827792,5.676277,0.151098,0.049667,0.021458,0.933417,633,8086410,141919,0,5408
11535,15.941125,16.114841,0.000000,5.455459,5.379653,0.075472,0.054834,0.216000,0.607916,641,8095728,144442,0,7210
11536,17.086875,16.881868,0.000000,5.163875,5.148583,0.015084,0.061584,0.047125,0.739750,632,8049326,146671,0,5408
11537,17.016375,17.021044,0.000000,5.448916,5.447652,0.000181,0.082584,0.014583,0.602876,632,8095723,141798,0,5408
11538,16.533375,16.541543,0.000000,4.986250,4.985445,0.000347,0.090542,0.023750,0.659917,641,8077105,142761,0,7210
11539,16.614834,16.549746,0.000000,5.117166,5.101694,0.014722,0.072583,0.014667,0.985375,629,8058653,141825,0,5408
11540,16.773166,16.759633,0.000000,5.209667,5.180027,0.028973,0.082417,0.018167,0.296208,631,8080194,141147,0,5408
11541,16.857500,16.882171,0.000000,5.272042,5.232028,0.039680,0.073625,0.046709,0.952583,642,8086386,142456,0,7210
11542,16.361500,16.282120,0.000000,5.027625,5.020292,0.006958,0.058709,0.023416,0.634708,633,8065730,142363,0,5408
11543,16.725459,16.700838,0.000000,5.907208,5.738819,0.167973,0.046333,0.015333,0.904458,631,8079359,141454,0,5408
11544,16.574291,16.550622,0.000000,4.851626,4.851001,0.000375,0.050209,0.013416,0.446208,639,8055483,162888,0,7210
11545,16.801625,16.819578,0.000000,5.850707,5.839874,0.010833,0.080709,0.017291,0.972750,633,8095779,142330,0,5408
11546,16.613417,16.595203,0.000000,5.567542,5.468944,0.098306,0.047292,0.043791,0.946208,633,8080141,140684,0,5408
11547,16.765542,16.721626,0.000000,6.264001,6.061737,0.202181,0.045375,0.012250,0.665333,638,8055531,140754,0,7210
11548,16.711500,16.698785,0.000000,5.896126,5.728153,0.167681,0.046541,0.013459,0.943958,632,8095621,140949,0,5408
11549,16.616458,16.589423,0.000000,6.033500,5.836111,0.197306,0.043875,0.009333,0.609208,630,8064764,139468,0,5408
11550,16.721250,16.734223,0.000000,6.095125,5.909819,0.185222,0.060125,0.018708,0.778083,641,8086559,140607,0,7210
11551,16.688375,16.647536,0.000000,5.914792,5.750819,0.163889,0.042583,0.017959,0.608792,632,8080125,140516,0,5408
