frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks
70530,16.662583,16.435381,10.474826,0.000000,6.166666,5.965696,0.200929,0.045417,0.016750,0.644959,640,8055495,137230,0,7210
70531,16.735792,16.648736,10.780743,0.000000,5.849168,5.692570,0.156305,0.045667,0.048000,1.159833,631,8080247,141816,0,5408
70532,16.341250,16.216127,10.837630,0.000000,5.969084,5.961836,0.007248,0.045000,0.010417,0.289708,635,8110308,142727,0,5555
70533,16.851083,16.731044,11.206157,0.000000,5.564875,5.468919,0.095873,0.050750,0.013084,1.272167,640,8055505,148079,0,7210
70534,16.804209,16.693045,10.828448,0.000000,5.945542,5.788946,0.156513,0.053125,0.012291,0.608708,632,8064786,141283,0,5408
70535,16.574833,16.448250,11.250292,0.000000,5.813875,5.813209,0.000332,0.048500,0.010958,0.997417,627,8064773,140303,0,5408
70536,16.730500,16.645643,10.687592,0.000000,6.066959,5.896779,0.170096,0.055375,0.018625,1.262792,642,8117336,141048,0,7210
70537,16.692708,16.547128,11.279711,0.000000,5.790250,5.753502,0.036748,0.049459,0.026958,0.323375,630,8049371,142297,0,5408
70538,17.233625,17.154613,10.844266,0.000000,6.054459,5.882279,0.172013,0.096042,0.019958,0.604667,637,8125590,138226,0,5585
70539,16.202250,16.061725,12.714031,0.000000,3.576041,3.569195,0.006346,0.088334,0.024875,0.292292,639,8040071,152854,0,7210
70540,16.732709,16.606117,11.786392,0.000000,4.821834,4.816112,0.005305,0.086416,0.019917,1.016625,631,8049341,143762,0,5408
70541,16.635875,16.532082,11.654296,0.000000,4.906001,4.905501,0.000208,0.075000,0.015500,0.754500,630,8080216,142482,0,5408
70542,16.558041,16.423326,10.940969,0.000000,5.466500,5.388695,0.077471,0.045834,0.046583,1.008750,644,8105850,142580,0,7210
70543,16.728584,16.554716,10.718589,0.000000,5.834250,5.681320,0.152597,0.042916,0.010459,0.619334,629,8045409,143629,0,5408
70544,16.689958,16.607391,10.718499,0.000000,5.956375,5.788529,0.167763,0.049083,0.049250,1.309042,631,8080222,141937,0,5408
70545,16.759542,16.627249,10.856665,0.000000,5.668959,5.532695,0.135930,0.067250,0.042791,1.127833,643,8101890,142827,0,7210
70546,16.578791,16.446603,11.129731,0.000000,5.324833,5.273278,0.051180,0.053959,0.014666,0.302416,630,8049339,143413,0,5408
70547,16.409917,16.298742,10.404763,0.000000,5.911625,5.739528,0.171847,0.041667,0.008583,1.348833,638,8125767,147057,0,5549
70548,16.869958,16.760510,11.618488,0.000000,5.228833,5.219210,0.009540,0.054334,0.013041,0.306542,637,8055529,155190,0,7210
70549,16.717000,16.587943,10.721720,0.000000,5.975501,5.818196,0.157222,0.041667,0.009792,0.752875,633,8064912,142652,0,5408
70550,16.795042,16.712867,10.778638,0.000000,5.994376,5.811321,0.182930,0.063250,0.031625,0.352041,631,8080093,140774,0,5408
70551,16.296333,16.153050,10.470335,0.000000,5.676001,5.551904,0.123680,0.061875,0.014834,0.974875,642,8117342,142702,0,7210
70552,17.089375,16.960677,11.927021,0.000000,5.061626,5.061293,0.000166,0.053209,0.014375,1.259042,627,8033903,149353,0,5408
70553,16.829084,16.718585,10.774373,0.000000,6.018915,5.825695,0.193137,0.052916,0.022834,0.663208,630,8080309,140172,0,5408
70554,16.730791,16.615701,10.800509,0.000000,5.796875,5.646737,0.149638,0.055750,0.034917,1.341291,637,8070962,141677,0,7210
70555,16.467375,16.340763,10.906104,0.000000,5.752334,5.751876,0.000249,0.046042,0.011750,0.608833,633,8080218,140121,0,5408
70556,16.515709,16.393416,10.443300,0.000000,6.061125,5.893820,0.167221,0.046958,0.011625,1.262582,634,8086062,137351,0,5689
