segment,frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
foreground_1,16131,16.280583,16.145043,8.847668,0.000000,7.895459,7.838986,0.056389,0.031167,0.012167,0.786833,630,8107324,68662,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16132,16.889292,16.796991,8.927884,0.000000,8.884750,8.884319,0.000348,0.040042,0.010750,0.472708,633,8107231,66955,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16133,17.159375,17.116693,8.770853,0.000000,8.719250,8.557861,0.161181,0.067792,0.034208,0.928958,639,8122745,67633,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
foreground_1,16134,16.672708,16.496691,8.814742,0.000000,8.147333,8.021819,0.125389,0.055959,0.023208,0.301750,629,8091693,66366,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16135,16.145125,16.024580,9.081534,0.000000,8.054209,8.053944,0.000181,0.046917,0.012667,0.602292,630,8107229,66955,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16136,16.666459,16.558377,8.284004,0.000000,8.670375,8.538694,0.131639,0.040708,0.009667,1.003083,641,8107080,67035,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
foreground_1,16137,16.692125,16.580746,8.226210,0.000000,8.760251,8.655403,0.104764,0.045500,0.011625,0.542333,630,8107376,66966,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16138,16.657041,16.552792,8.295429,0.000000,8.715083,8.680444,0.034556,0.038542,0.014375,0.781417,632,8107185,66871,0,2,0,2,0,0,0,0,0,0,6695,0,4287,2408,0
foreground_1,16139,16.715542,16.604815,8.260519,0.000000,8.775167,8.674278,0.100805,0.044042,0.020083,0.444584,639,8107109,67110,0,2,0,2,0,0,0,0,0,0,5919,0,3903,2016,0
foreground_1,16140,16.671375,16.556804,8.186216,0.000000,8.770376,8.645237,0.125055,0.038958,0.016334,0.749208,629,8107332,66964,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16141,17.291417,17.241365,8.750639,0.000000,8.855582,8.706277,0.149264,0.085625,0.020000,0.291792,640,8122567,65536,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
foreground_1,16142,16.279875,16.104952,8.736436,0.000000,7.985083,7.840444,0.144514,0.051833,0.011167,0.769625,629,8091855,68458,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16143,16.593333,16.488011,8.411387,0.000000,8.548542,8.417570,0.130888,0.041792,0.008500,0.289042,629,8107219,66955,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16144,16.617500,16.509662,8.257234,0.000000,8.708667,8.579944,0.128640,0.045958,0.008834,0.866208,638,8107134,64951,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
foreground_1,16145,16.628750,16.518250,8.383535,0.000000,8.553334,8.452278,0.100973,0.037708,0.033667,0.930084,631,8107272,69043,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16146,16.636458,16.531633,8.132283,0.000000,8.816876,8.715487,0.101305,0.035375,0.008209,0.320125,632,8107275,66966,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16147,16.669792,16.563508,8.051070,0.000000,8.948043,8.881153,0.066806,0.037750,0.020792,0.941792,639,8107079,64948,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
foreground_1,16148,16.732917,16.641998,8.326578,0.000000,8.715291,8.610819,0.104389,0.041000,0.016291,0.300709,633,8111078,69253,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16149,16.664208,16.542042,7.976629,0.000000,8.936458,8.823028,0.113347,0.042708,0.010625,0.779459,629,8103621,66754,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
foreground_1,16150,16.813125,16.766284,8.118506,0.000000,9.011624,8.861527,0.150014,0.073250,0.020125,0.464875,639,8122423,65555,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
foreground_1,16151,16.613667,16.444831,8.433296,0.000000,8.456250,8.384486,0.071639,0.044791,0.017334,0.749334,632,8091851,68435,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
