frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0,-1,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.477875,0.048458,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1464168420,0.117249,0.899166,121482,472,-1.408084,-0.646709,3218.026917,2977.932948,2266.229211,0.000000,841.823505,812.905917,28.907467,0.898250,0.026708,138.188378,124796,1465008124,101949420,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,1,3,1,1472276520,-0.607375,0.088958,490,2,-2.069153,-1.494458,17.407958,16.501613,5.138381,0.000000,11.381292,9.618250,1.762959,0.088583,0.018917,1.235667,508,6479910,91439,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,2,103,1,2274978420,0.155292,0.912375,60941,290,-1.306486,-1.306333,1650.887333,1641.357446,1174.024304,0.000000,522.024171,521.322706,0.700214,0.912084,0.031166,83.775120,62927,803129903,51014756,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,3,105,1,2283086520,-0.808750,0.050084,571,2,-2.270528,-1.292333,17.647375,16.663999,6.412376,0.000000,10.240167,8.860207,1.379793,0.049875,0.011250,0.966083,592,7559143,130758,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,4,107,1,2291194620,-6.735542,0.037167,615,0,-24.880653,-23.902458,22.610125,22.463543,22.426249,0.000000,0.000501,0.000000,0.000000,0.036917,0.027625,1.024708,640,8094755,181463,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,5,109,1,2299302720,0.129208,0.133916,616,2,-0.728792,-0.728667,9.818584,9.839550,7.705797,0.000000,2.376333,2.375680,0.000236,0.048958,0.113083,0.670250,643,8168809,171724,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,6,111,1,2307410820,-6.401542,0.042750,611,0,-23.942875,-23.942750,23.214083,22.989408,22.906381,0.000000,0.000542,0.000000,0.000000,0.042542,0.031666,0.986792,637,8040828,180194,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,7,113,1,2315518920,0.121541,0.121750,614,2,-0.736459,-0.736292,10.160250,10.149696,7.025790,0.000000,3.121916,3.103429,0.018404,0.032125,0.128625,0.374083,635,8168981,175000,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,8,115,1,2323627020,-5.411583,0.067250,617,0,-22.952917,-22.952750,22.216458,22.056669,22.049578,0.000000,0.000376,0.000000,0.000000,0.067000,0.038042,0.603500,649,8086981,174505,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,9,117,1,2331735120,-0.282209,0.049541,609,1,-1.743987,-1.280750,11.553959,11.408996,6.953045,0.000000,4.426750,3.963013,0.463237,0.049250,0.031333,0.307333,629,8076392,170549,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,10,119,1,2339843220,-6.255542,0.037084,624,0,-24.400653,-23.937416,22.656666,22.513825,22.516839,0.000000,0.000625,0.000000,0.000000,0.036875,0.014084,0.676042,649,8102627,179216,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11,121,1,2347951320,-0.034000,0.033792,613,1,-1.495778,-1.371000,10.461792,10.347474,6.917298,0.000000,3.419791,3.294514,0.124778,0.033625,0.007167,0.323416,640,8091602,165376,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,12,123,1,2356059420,-5.857709,0.037916,616,0,-24.002820,-23.878042,22.507042,22.414417,22.411619,0.000000,0.000458,0.000000,0.000000,0.037791,0.010625,1.460542,641,8118079,184857,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,13,125,1,2364167520,-0.029376,0.036500,611,1,-1.491154,-1.286334,10.855000,10.754890,7.057826,0.000000,3.655707,3.450471,0.204820,0.036333,0.007333,0.362084,632,8107236,165864,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,14,127,1,2372275620,-5.793500,0.041083,620,0,-23.938612,-23.733792,22.447458,22.340861,22.337457,0.000000,0.000333,0.000000,0.000000,0.040833,0.012959,1.288625,652,8102407,177155,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,15,129,1,2380383720,-0.086500,0.029542,610,1,-1.548278,-1.239083,10.976333,10.866055,6.848205,0.000000,3.977959,3.668597,0.309195,0.029334,0.015166,0.484083,629,8089772,167750,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,16,131,1,2388491820,-5.117459,0.036667,617,0,-23.262570,-22.953375,21.714292,21.577952,21.553968,0.000000,0.000291,0.000000,0.000000,0.036583,0.009875,0.950250,642,8089233,174550,0,302,0,302,0,0,0,0,0,0,21966,14400,3917,3648,0
18,17,133,1,2396599920,-0.551750,0.032292,615,1,-2.013528,-1.319250,12.117625,12.029793,6.904283,0.000000,5.130999,4.436305,0.694278,0.032125,0.008833,0.483500,642,8122491,165528,0,2,0,2,0,0,0,0,0,0,6288,0,4273,2016,0
19,18,135,1,2404708020,-6.148459,0.041583,618,0,-24.293570,-23.599292,22.280042,22.201486,22.154527,0.000000,0.000333,0.000000,0.000000,0.041333,0.042042,0.757709,643,8118097,180588,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,19,137,1,2412816120,-0.006667,0.036792,613,1,-1.468445,-1.285416,10.541541,10.408346,6.804788,0.000000,3.592293,3.408930,0.183029,0.036625,0.009084,0.445708,640,8091637,156060,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,20,139,1,2420924220,-5.515417,0.041916,617,0,-23.660529,-23.477500,22.192084,22.086156,22.073536,0.000000,0.000458,0.000000,0.000000,0.041708,0.008583,0.943917,643,8117991,179111,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,21,141,1,2429032320,-0.287500,0.029167,613,1,-1.749278,-1.252291,11.455416,11.322707,6.761090,0.000000,4.540999,4.043638,0.496987,0.029000,0.018500,0.476208,632,8091820,164008,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,22,143,1,2437140420,-5.821334,0.025792,616,0,-23.966445,-23.469458,22.217167,22.117042,22.095819,0.000000,0.000291,0.000000,0.000000,0.025667,0.006666,0.922459,647,8102891,166861,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,23,145,1,2445248520,-0.156458,0.035750,614,1,-1.618236,-1.225250,11.018458,10.940293,6.711705,0.000000,4.229749,3.836430,0.392986,0.035542,0.015542,0.449125,635,8122233,165283,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,24,147,1,2453356620,-5.286500,0.033500,616,0,-23.431611,-23.038625,21.813375,21.705500,21.707753,0.000000,0.000374,0.000000,0.000000,0.033334,0.015250,1.247208,642,8102687,175097,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,25,149,1,2461464720,-0.525292,0.034125,613,1,-1.987070,-1.303083,11.922125,11.823774,6.729239,0.000000,5.094917,4.410638,0.683987,0.034000,0.018125,0.305208,640,8106999,153705,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,26,151,1,2469572820,-5.796833,0.037500,616,0,-23.941945,-23.257958,21.954875,21.841573,21.840090,0.000000,0.000292,0.000000,0.000000,0.037292,0.012667,0.744500,642,8102630,173156,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,27,153,1,2477680920,-0.263250,0.039250,613,1,-1.725028,-1.291166,11.149750,11.031571,6.689709,0.000000,4.346084,3.911888,0.433862,0.039042,0.015333,0.288625,633,8107253,161385,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,28,155,1,2485789020,-5.567376,0.028500,614,0,-23.712487,-23.278625,21.987459,21.855041,21.850855,0.000000,0.000415,0.000000,0.000000,0.028250,0.006375,0.749083,645,8071554,159868,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,29,157,1,2493897120,-0.308750,0.034125,615,1,-1.770528,-1.214583,11.424708,11.344099,6.624939,0.000000,4.716959,4.160805,0.555945,0.033958,0.025667,1.097375,636,8122666,161406,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,30,159,1,2502005220,-5.765667,0.029792,615,0,-23.910778,-23.354833,22.140250,22.007155,21.992577,0.000000,0.000376,0.000000,0.000000,0.029583,0.006792,1.129416,639,8087202,169524,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,31,161,1,2510113320,-0.301126,0.030666,613,1,-1.762904,-1.266125,11.218792,11.110854,6.575319,0.000000,4.536958,4.039846,0.496779,0.030500,0.016083,0.486291,640,8107036,149501,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
