frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
46116,16.455916,16.314458,11.127227,0.000000,5.176792,4.467361,0.709097,0.083000,0.022042,0.607917,629,8077940,141079,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46117,16.033709,15.954341,11.491307,0.000000,4.956791,4.956041,0.000500,0.082708,0.016583,0.634125,631,8105640,134666,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46118,17.937041,17.803380,10.871544,0.000000,6.962250,5.786485,1.175640,0.076584,0.030666,0.312250,640,8137931,132868,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46119,16.131125,16.021189,10.840006,0.000000,5.162375,4.455611,0.706347,0.074625,0.024042,0.596334,631,8076467,136138,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46120,16.580459,16.433544,11.419385,0.000000,4.693458,4.144319,0.548639,0.081291,0.038959,0.296666,633,8107174,134463,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46121,16.886375,16.795127,11.074289,0.000000,5.704167,4.816444,0.887348,0.067833,0.040000,0.604417,644,8153399,138906,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46122,16.548083,16.379619,11.283419,0.000000,5.018334,4.358361,0.659514,0.081750,0.021542,1.108375,627,8060903,141333,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46123,16.906917,16.816200,11.693007,0.000000,4.898666,4.278402,0.619639,0.114625,0.018875,0.305458,633,8107248,140110,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46124,16.059333,15.994959,12.131065,0.000000,3.427793,3.296610,0.130765,0.100250,0.021083,0.698250,644,8153381,139688,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46125,16.650500,16.407207,12.345398,0.000000,3.922084,3.918819,0.002806,0.106000,0.019583,0.313917,629,8060927,140436,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46126,17.027625,16.963743,12.298868,0.000000,4.183666,3.803652,0.379806,0.088708,0.026667,0.609459,632,8117755,141248,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46127,16.189083,16.024714,12.362947,0.000000,3.085417,3.067527,0.017515,0.090667,0.022292,0.332583,638,8112209,138237,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46128,17.101750,16.938627,11.978092,0.000000,4.479834,4.002278,0.477139,0.087667,0.016542,0.612292,632,8091636,135195,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46129,16.982459,16.865588,11.108863,0.000000,5.620708,4.757819,0.862431,0.084416,0.025542,0.616374,634,8107253,134746,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46130,16.806666,16.704562,10.854360,0.000000,5.775792,4.862944,0.912306,0.077417,0.019292,0.656583,639,8107190,134237,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46131,16.540875,16.407709,10.527044,0.000000,5.835541,4.903819,0.931222,0.074709,0.035416,1.253416,631,8107183,134338,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46132,16.509042,16.411064,11.349847,0.000000,4.869792,4.236194,0.633014,0.076375,0.038583,0.446000,631,8107276,140515,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46133,16.600292,16.421618,11.515474,0.000000,4.712583,4.135485,0.576765,0.075250,0.018125,0.940333,641,8107016,138579,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46134,16.227208,16.178596,11.314109,0.000000,4.750417,4.706528,0.043556,0.081292,0.024125,0.291042,630,8107246,141458,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46135,17.369542,17.230487,11.067662,0.000000,6.057708,5.169986,0.887306,0.066166,0.015459,0.907042,639,8122624,139922,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
46136,16.701416,16.552365,10.968999,0.000000,5.478833,4.664360,0.814223,0.082375,0.018709,0.292500,634,8091674,139318,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
46137,16.368959,16.255583,11.257665,0.000000,4.828000,4.220944,0.606639,0.076083,0.016292,0.725125,631,8107258,140088,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46138,16.981250,16.844139,11.126831,0.000000,5.684334,4.855986,0.827931,0.079500,0.017000,1.303542,644,8138141,139434,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46139,16.544500,16.464222,11.260551,0.000000,4.985625,4.339860,0.645265,0.075583,0.036250,0.331917,631,8091648,134357,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46140,16.807083,16.710664,11.037866,0.000000,5.578875,4.757944,0.820639,0.089125,0.020125,1.021542,630,8107260,134883,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46141,15.973125,15.828053,11.376581,0.000000,4.209666,4.144569,0.064639,0.077000,0.036167,0.319250,640,8137931,133523,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46142,17.234875,17.082503,11.814208,0.000000,5.232626,4.504694,0.727723,0.062208,0.046042,1.330500,626,8060935,150326,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46143,16.295917,16.179841,12.303958,0.000000,3.725624,3.495319,0.229931,0.088541,0.025000,0.301125,631,8107264,156544,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46144,16.807708,16.733778,12.026056,0.000000,4.659793,4.118111,0.538098,0.088917,0.022541,0.817376,647,8184235,158255,0,2,0,2,0,0,0,0,0,0,7424,0,4680,2744,0
46145,16.292542,16.113417,13.722664,0.000000,2.542999,2.535915,0.006668,0.078958,0.016625,0.308125,628,8045474,168204,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46146,17.130375,17.006202,12.498164,0.000000,4.438375,3.957653,0.480306,0.071041,0.016667,0.611916,629,8091797,158990,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46147,16.571791,16.441507,12.394859,0.000000,3.973666,3.665444,0.307806,0.076167,0.024083,1.014666,643,8138108,157703,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46148,16.614167,16.483827,12.322116,0.000000,4.114251,3.757569,0.356348,0.067792,0.014166,0.301292,631,8076143,158321,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46149,16.558042,16.511618,12.798619,0.000000,3.428458,3.299194,0.128847,0.083625,0.050291,0.620501,632,8122708,159406,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46150,16.921958,16.767415,11.808532,0.000000,4.893791,4.262819,0.630764,0.084083,0.019084,0.299416,648,8184224,155952,0,2,0,2,0,0,0,0,0,0,7404,0,4680,2724,0
46151,16.382083,16.251751,13.827985,0.000000,3.117292,3.113902,0.000098,0.105834,0.025375,0.604209,627,8029986,159071,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46152,17.273209,17.102022,12.630932,0.000000,4.430875,3.967569,0.462514,0.097458,0.022542,0.594958,631,8091811,152046,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46153,16.544458,16.498664,12.528612,0.000000,3.917499,3.622277,0.294431,0.123208,0.020250,0.296791,642,8138120,150912,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46154,16.612208,16.410852,13.924302,0.000000,2.605250,2.604735,0.000098,0.129000,0.030084,0.960208,632,8076181,158459,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46155,16.198875,16.086867,14.267874,0.000000,2.257583,2.257000,0.000125,0.072417,0.038750,0.290291,633,8122707,158087,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46156,16.705459,16.584529,12.619616,0.000000,4.833793,4.833500,0.000084,0.078125,0.039750,0.640208,642,8137954,156920,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
