frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.382000,0.043666,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3233.125416,2970.335367,2309.198363,0.000000,915.932583,922.634520,1.065677,1.436292,0.025042,136.782584,124953,1466922674,101909476,0,348,14,334,0,0,0,0,0,0,1086743,512,635755,450391,85
2,17.448500,17.012877,3.761708,0.000000,14.897709,7.125181,0.000250,0.045209,0.044458,0.291708,353,4524611,79802,0,0,0,0,0,0,0,0,0,0,4884,0,2340,2544,0
3,1651.490250,1641.721669,1285.447206,0.000000,529.761250,529.174804,0.585988,0.669792,0.028542,82.272123,62908,803016176,51008025,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,16.661209,16.027120,6.014783,0.000000,11.848749,11.848374,0.000375,0.039791,0.121834,1.069792,608,7767453,151339,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,21.772208,21.562082,21.551671,0.000000,0.000250,0.000000,0.000000,0.045542,0.013916,1.115791,638,8040864,176890,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,11.615875,11.600279,4.928422,0.000000,7.340791,7.335681,0.005027,0.027625,0.114125,0.687958,643,8153408,170398,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,22.065958,21.858643,21.831876,0.000000,0.000209,0.000000,0.000000,0.032667,0.031458,0.985125,640,8056260,181479,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,11.315709,11.287797,5.055923,0.000000,7.090293,7.078680,0.011529,0.028333,0.101792,0.693292,636,8168985,175027,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,21.498375,21.316834,21.305086,0.000000,0.000208,0.000000,0.000000,0.033000,0.011791,1.277167,644,8052974,170291,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,11.846500,11.846248,5.404404,0.000000,7.748875,7.742208,0.006667,0.035833,0.131083,0.301209,637,8156697,177347,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,22.353333,22.157101,22.018700,0.000000,0.000249,0.000000,0.000000,0.045833,0.014584,0.611833,645,8071750,176517,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11.007333,10.989949,4.993125,0.000000,6.739791,6.737889,0.001860,0.032250,0.131834,0.705208,644,8153378,169878,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,21.971792,21.751425,21.721143,0.000000,0.000207,0.000000,0.000000,0.038708,0.017875,0.780166,635,8025456,177024,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,11.446083,11.398662,4.988812,0.000000,7.388500,7.383888,0.004529,0.025875,0.114709,0.294291,635,8153511,169781,0,2,0,2,0,0,0,0,0,0,6944,0,4536,2408,0
15,21.700459,21.553005,21.539507,0.000000,0.000208,0.000000,0.000000,0.027458,0.041000,0.993417,648,8071563,174489,0,302,0,302,0,0,0,0,0,0,21310,14400,3654,3256,0
16,11.622875,11.615833,5.315582,0.000000,7.636458,7.636041,0.000417,0.024750,0.134750,0.923208,635,8158863,173597,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,21.765500,21.564264,21.508457,0.000000,0.000251,0.000000,0.000000,0.036375,0.013500,1.200167,638,8020086,169185,0,302,0,302,0,0,0,0,0,0,22644,14400,4536,3708,0
18,11.621458,11.554707,5.319157,0.000000,7.555041,7.554750,0.000291,0.026958,0.106042,0.597708,643,8168866,169640,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
19,21.711208,21.526452,21.518262,0.000000,0.000166,0.000000,0.000000,0.036042,0.016417,1.273583,639,8071744,176990,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,11.711500,11.648193,5.003250,0.000000,7.756416,7.755916,0.000500,0.028875,0.063750,0.630125,640,8107042,157354,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,22.145334,22.028085,21.975918,0.000000,0.000126,0.000000,0.000000,0.066708,0.014000,0.933750,643,8118046,183229,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,11.146208,11.173280,4.933696,0.000000,7.192334,7.191889,0.000403,0.035667,0.167750,0.635166,638,8173028,170876,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,21.509542,21.229370,21.215031,0.000000,0.000377,0.000000,0.000000,0.035875,0.010500,0.928001,641,8006261,158608,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,11.872625,11.888008,5.384873,0.000000,7.895167,7.894625,0.000542,0.027833,0.125667,0.296625,639,8183982,170506,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,21.386208,21.162635,21.162864,0.000000,0.000250,0.000000,0.000000,0.031333,0.018167,0.954293,636,8040872,171680,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,12.029292,11.956090,5.301841,0.000000,8.190958,8.152791,0.038167,0.025416,0.066625,0.328375,639,8107039,153707,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,21.274916,21.124066,21.112426,0.000000,0.000209,0.000000,0.000000,0.026375,0.008959,0.762374,640,8071715,170553,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,12.013834,12.057894,5.547134,0.000000,8.122875,8.122166,0.000709,0.033375,0.151250,0.292458,639,8199925,171655,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,21.348708,21.124223,21.108541,0.000000,0.000208,0.000000,0.000000,0.036042,0.016125,0.902667,642,8025249,155954,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,12.045042,12.030382,5.549344,0.000000,8.139873,8.129666,0.010207,0.024958,0.115292,0.605917,640,8184435,167820,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,21.338541,21.137048,21.079504,0.000000,0.000209,0.000000,0.000000,0.036459,0.009916,0.631417,635,8025433,164307,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,12.091292,12.020561,5.251716,0.000000,8.264374,8.238874,0.025500,0.028250,0.057125,0.881000,643,8137919,152196,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,21.179917,21.021393,21.013115,0.000000,0.000209,0.000000,0.000000,0.029958,0.016292,1.033500,638,8056260,168474,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,12.112708,12.141203,5.631986,0.000000,8.164459,8.145500,0.018959,0.026292,0.134916,0.636209,640,8184480,166163,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,21.268833,21.054744,21.025100,0.000000,0.000207,0.000000,0.000000,0.038209,0.010875,1.247292,643,8040704,153198,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,12.091084,12.340818,5.757255,0.000000,8.239459,8.239042,0.000417,0.401208,0.016542,0.291625,652,8338885,177197,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,21.199708,20.725163,20.724425,0.000000,0.000208,0.000000,0.000000,0.035583,0.009459,1.321626,623,7870958,146876,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,12.224292,12.188143,5.304021,0.000000,8.505583,8.488499,0.017084,0.024333,0.093000,0.303042,644,8153396,149766,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,20.949500,20.765881,20.771245,0.000000,0.000249,0.000000,0.000000,0.033041,0.009667,1.297584,637,8040802,159618,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,12.341333,12.413454,5.315314,0.000000,8.625166,8.624749,0.000417,0.027833,0.171834,0.429167,640,8215367,162697,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,21.272833,21.006798,20.967926,0.000000,0.000210,0.000000,0.000000,0.034084,0.011041,0.956416,643,8009811,148483,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,12.107500,12.115418,5.450605,0.000000,8.454583,8.449792,0.004791,0.024250,0.139250,0.311292,637,8184433,158769,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,21.097417,20.868864,20.853790,0.000000,0.000249,0.000000,0.000000,0.029208,0.007959,0.947042,633,8025423,157777,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,12.308375,12.294140,5.141992,0.000000,8.690083,8.689374,0.000709,0.021625,0.101375,0.379209,645,8153371,145577,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,21.345083,21.169665,21.105965,0.000000,0.000167,0.000000,0.000000,0.038584,0.010708,0.586499,640,8056273,158421,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
