frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.948792,0.018125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3217.132875,2975.659506,2393.570330,0.000000,850.490619,858.206647,0.069046,0.806625,0.031500,163.112256,124944,1466922784,101949185,0,348,14,334,0,0,0,0,0,0,1086743,512,635755,450391,85
2,17.486834,17.054211,4.203787,0.000000,14.884125,7.089638,0.000126,0.060916,0.015167,0.705959,354,4539946,81266,0,0,0,0,0,0,0,0,0,0,4884,0,2340,2544,0
3,1651.493000,1641.967752,1319.658676,0.000000,519.828085,519.806191,0.021393,0.934208,0.024125,93.179966,62931,803170612,51021600,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,16.659041,15.747190,5.769105,0.000000,11.958917,11.958706,0.000211,0.041625,0.120042,0.956749,597,7613050,135320,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,21.630125,21.422072,21.422284,0.000000,0.000292,0.000000,0.000000,0.046959,0.026583,1.100499,638,8040848,176887,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,11.715292,11.709797,5.377655,0.000000,7.437917,7.437832,0.000085,0.031542,0.151291,0.697833,644,8153378,170396,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,22.254083,22.032611,22.000500,0.000000,0.000208,0.000000,0.000000,0.041709,0.013083,1.344542,640,8056249,181485,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,11.116917,11.134794,5.092284,0.000000,6.978292,6.978137,0.000072,0.027875,0.140333,0.610459,638,8169008,175021,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,21.820875,21.583543,21.584154,0.000000,0.000126,0.000000,0.000000,0.038042,0.011833,1.276250,642,8025212,167945,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
