frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0,-1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.485916,0.025709,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1464168420,0.489958,-0.132917,0.000125,-0.132792,0.132792,0.789667,121522,448,-0.368042,-0.367833,3232.355458,2979.350172,2355.875289,0.000000,766.407174,761.227030,5.171391,0.789042,0.028458,156.767097,124831,1464992586,101943581,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,1,3,1,1472276520,-0.309875,-0.061959,0.000084,-0.061875,0.061875,0.082416,489,2,-1.771653,-1.752792,17.483167,16.680503,5.401722,0.000000,11.132333,11.090125,0.042125,0.082083,0.019250,0.355250,507,6495470,91509,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,2,103,1,2274978420,-2.076416,-0.073000,0.000334,-0.072666,0.072666,1.082042,60934,290,-27.975305,-27.975125,1653.416541,1643.866331,1270.636941,0.000000,494.231084,493.634927,0.595158,1.081709,0.031416,82.833087,62923,803238029,51028501,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,3,105,1,2283086520,-0.016958,-0.038833,0.000083,-0.038750,0.038750,0.062084,564,2,-1.478736,-1.475500,14.623875,13.482619,7.511330,0.000000,6.545208,6.470666,0.074459,0.061709,0.013666,0.304750,585,7458537,122265,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,4,107,1,2291194620,-6.006625,-0.049000,0.000042,-0.048958,0.048958,0.061167,620,0,-24.151736,-24.148500,22.673000,22.579641,22.456426,0.000000,0.000417,0.000000,0.000000,0.060917,0.028667,0.625374,645,8120241,183602,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,5,109,1,2299302720,0.112042,-0.054167,0.000125,-0.054042,0.054042,0.112167,612,2,-0.745958,-0.732000,10.564667,10.488687,7.784963,0.000000,3.247875,3.233723,0.014069,0.036125,0.086708,0.312625,639,8120363,167605,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,6,111,1,2307410820,-5.781458,-0.038958,0.000125,-0.038833,0.038833,0.069292,613,0,-23.322791,-23.308833,22.576833,22.416912,22.372670,0.000000,0.000375,0.000000,0.000000,0.069000,0.016292,0.773792,641,8056242,181479,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,7,113,1,2315518920,0.094375,-0.061625,0.000042,-0.061583,0.061583,0.097209,614,2,-0.763625,-0.763333,10.807500,10.752942,7.498673,0.000000,3.633958,3.626971,0.006862,0.039750,0.097875,0.356834,635,8168984,175029,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,8,115,1,2323627020,-5.435166,-0.061500,0.000084,-0.061416,0.061416,0.040292,614,0,-22.976500,-22.976208,22.212875,22.027836,21.983203,0.000000,0.000374,0.000000,0.000000,0.039959,0.018375,1.279708,646,8056105,173379,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,9,117,1,2331735120,0.121167,-0.056750,0.000167,-0.056583,0.056583,0.121292,616,2,-0.736833,-0.736791,11.127000,11.105568,7.355755,0.000000,3.986792,3.986097,0.000445,0.041125,0.090667,0.635417,636,8153616,177085,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,10,119,1,2339843220,-5.429709,-0.053584,0.000167,-0.053417,0.053417,0.044458,619,0,-22.971042,-22.971000,22.234209,22.073754,22.021787,0.000000,0.000375,0.000000,0.000000,0.044125,0.027291,1.278416,645,8071763,176518,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11,121,1,2347951320,0.125625,-0.036000,0.000166,-0.035834,0.035834,0.126166,617,1,-1.336153,-1.335959,11.128000,11.098394,7.396031,0.000000,3.932291,3.931681,0.000194,0.036958,0.116250,0.308833,643,8137885,168565,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,12,123,1,2356059420,-5.688500,-0.057375,0.000000,-0.057375,0.057375,0.039083,611,0,-23.833611,-23.833417,22.497458,22.296670,22.156347,0.000000,0.000292,0.000000,0.000000,0.038917,0.015083,0.940500,636,8056307,181127,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,13,125,1,2364167520,0.111750,-0.053916,0.000166,-0.053750,0.053750,0.121042,614,2,-0.746250,-0.746166,10.883083,10.845990,7.419022,0.000000,3.770333,3.769888,0.000279,0.045875,0.088042,0.648167,640,8125672,168097,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
15,14,127,1,2372275620,-5.510208,-0.054375,0.000125,-0.054250,0.054250,0.045667,616,0,-23.051542,-23.051458,22.305292,22.121238,22.088376,0.000000,0.000250,0.000000,0.000000,0.045417,0.010291,1.046708,643,8083992,178475,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
16,15,129,1,2380383720,0.115208,-0.054417,0.000083,-0.054334,0.054334,0.122458,615,2,-0.742792,-0.742709,11.057917,11.039466,7.213003,0.000000,4.170708,4.170430,0.000194,0.036291,0.100709,0.301208,634,8158897,173599,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
