frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.640083,0.021959,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3225.220167,2978.921214,2356.263853,0.000000,830.292093,825.672002,4.614590,0.961750,0.023833,145.742994,124812,1465072502,101951835,0,346,14,332,0,0,0,0,0,0,1086539,512,635611,450331,85
2,17.267041,16.320459,4.991808,0.000000,11.319584,11.063416,0.256084,0.092959,0.021458,0.627042,497,6405666,90250,0,2,0,2,0,0,0,0,0,0,5088,0,2484,2604,0
3,1651.461917,1641.555962,1251.505168,0.000000,502.088750,501.402485,0.684472,0.814292,0.021458,76.245204,62912,803062520,51010430,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,16.723792,15.904652,7.333873,0.000000,9.205457,9.204914,0.000543,0.042625,0.064458,0.644250,601,7659335,139236,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,22.270833,22.093662,22.090409,0.000000,0.000249,0.000000,0.000000,0.030208,0.017375,0.602167,639,8071749,180620,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,11.078417,11.048239,7.133416,0.000000,4.200667,4.187514,0.013070,0.029291,0.094209,0.318417,642,8153382,170394,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,22.076125,21.930465,21.931718,0.000000,0.000167,0.000000,0.000000,0.044625,0.052166,0.641333,642,8087184,184094,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,11.259125,11.252616,7.035336,0.000000,4.531124,4.530887,0.000154,0.022500,0.147125,0.350542,634,8153522,174299,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,21.763125,21.534357,21.541080,0.000000,0.000208,0.000000,0.000000,0.032875,0.015666,0.653041,644,8040703,169248,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,11.630541,11.596439,6.999479,0.000000,4.762708,4.762346,0.000278,0.027167,0.098125,0.349167,635,8138308,175793,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,21.672625,21.462658,21.468506,0.000000,0.000210,0.000000,0.000000,0.023209,0.010208,0.711625,644,8056096,175196,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11.683417,11.708816,6.864564,0.000000,4.943376,4.943014,0.000320,0.019250,0.134583,0.288750,645,8168848,171182,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,21.900167,21.672998,21.678993,0.000000,0.000250,0.000000,0.000000,0.023250,0.009041,0.799374,637,8040833,178351,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,11.540333,11.478793,6.912748,0.000000,4.726457,4.726220,0.000154,0.020333,0.059542,0.783625,634,8124001,167301,0,2,0,2,0,0,0,0,0,0,5918,0,3510,2408,0
15,21.837667,21.689915,21.696673,0.000000,0.000209,0.000000,0.000000,0.019291,0.012875,0.734834,648,8085648,175745,0,302,0,302,0,0,0,0,0,0,22336,14400,4680,3256,0
16,11.467375,11.454436,6.875867,0.000000,4.820583,4.820388,0.000154,0.023250,0.117083,0.463958,634,8153584,173151,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,21.663000,21.423342,21.428976,0.000000,0.000208,0.000000,0.000000,0.023416,0.015584,0.898000,638,8040862,172020,0,302,0,302,0,0,0,0,0,0,22436,14400,4388,3648,0
18,11.755208,11.729814,6.880212,0.000000,4.987249,4.987013,0.000153,0.021000,0.068417,0.459416,643,8137933,166833,0,2,0,2,0,0,0,0,0,0,5818,0,3802,2016,0
19,21.837333,21.681576,21.685748,0.000000,0.000166,0.000000,0.000000,0.020584,0.013541,0.902417,641,8087194,177979,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,11.517584,11.489531,6.827929,0.000000,4.839750,4.839470,0.000196,0.023625,0.074708,0.458334,642,8122490,158658,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
