frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.018041,0.019750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3203.980916,2990.392219,2295.369931,0.000000,892.540549,881.768368,10.749759,0.916750,0.028000,138.696991,125172,1469857026,101964196,0,348,14,334,0,0,0,0,0,0,1088545,512,636925,451023,85
2,8.955042,8.499451,2.308421,0.000000,6.198166,5.974138,0.223945,0.477458,0.046209,0.666375,145,1837359,91517,0,0,0,0,0,0,0,0,0,0,3082,0,1170,1912,0
3,1651.206500,1640.949765,1284.279957,0.000000,479.843956,479.379806,0.462359,0.989042,0.023375,79.068537,62899,802957214,51004410,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,17.194792,16.154875,3.696914,0.000000,12.491042,11.984331,0.506544,0.054791,0.012834,0.998376,591,7548445,129861,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,22.926166,22.843238,22.672290,0.000000,0.000332,0.000000,0.000000,0.052209,0.040958,0.925458,644,8104776,182295,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,10.056959,9.911628,4.348871,0.000000,5.563625,5.457388,0.105987,0.033083,0.015750,0.316208,637,8089445,164992,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,22.489416,22.387883,22.331287,0.000000,0.000708,0.000000,0.000000,0.046209,0.014458,0.918500,644,8118056,186707,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,10.748834,10.688444,4.038285,0.000000,6.658625,6.540388,0.118112,0.029125,0.083625,0.290292,633,8122654,171107,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,21.917166,21.760813,21.740331,0.000000,0.000167,0.000000,0.000000,0.036667,0.014833,0.871208,645,8056089,170557,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,11.842125,11.694531,4.090466,0.000000,7.675999,7.161581,0.514335,0.024417,0.008083,0.466166,632,8107278,173146,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,21.715292,21.637744,21.621992,0.000000,0.000207,0.000000,0.000000,0.039583,0.015500,0.769917,652,8118066,180436,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11.706333,11.581031,4.027160,0.000000,7.555416,7.043138,0.512112,0.027792,0.007167,0.611542,640,8091598,165377,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,22.596417,22.552736,22.558578,0.000000,0.000543,0.000000,0.000000,0.080000,0.016708,0.883083,645,8164414,188775,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,10.519250,10.389777,4.260375,0.000000,6.136834,5.918013,0.218571,0.063458,0.016542,0.465542,630,8076370,163255,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,22.916958,22.825032,22.832219,0.000000,0.000542,0.000000,0.000000,0.071500,0.014875,0.952792,650,8102389,177155,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,10.432209,10.293124,4.332506,0.000000,5.975541,5.793471,0.181737,0.057583,0.014125,0.471750,630,8091821,167926,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,23.162375,23.069244,23.056982,0.000000,0.000459,0.000000,0.000000,0.078708,0.014167,0.942542,645,8075203,172353,0,302,0,302,0,0,0,0,0,0,22644,14400,4536,3708,0
18,10.175291,10.068855,4.462806,0.000000,5.616126,5.481555,0.133987,0.069084,0.014916,0.479250,636,8149927,168306,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
19,22.342459,22.214992,22.153752,0.000000,0.000625,0.000000,0.000000,0.055708,0.014042,0.757000,640,8092936,180144,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,10.922500,10.826132,4.315052,0.000000,6.802291,6.801928,0.000280,0.056291,0.012792,0.477916,640,8101315,156864,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,21.628125,21.501851,21.502359,0.000000,0.000251,0.000000,0.000000,0.037875,0.011416,1.126125,642,8102583,177833,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,12.022000,11.917602,4.227599,0.000000,8.058917,7.546623,0.512169,0.025041,0.016584,0.649583,632,8091851,164004,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
