frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
38777,21.340417,21.161911,21.144466,0.000000,0.000710,0.000000,0.000000,0.065250,0.015083,0.661750,638,8106852,132462,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38778,20.574250,20.372452,20.286962,0.000000,0.000584,0.000000,0.000000,0.073541,0.017875,0.936583,629,8092079,133034,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38779,20.972250,20.753963,20.758250,0.000000,0.000416,0.000000,0.000000,0.083500,0.025250,1.248583,632,8091551,132810,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38780,20.026000,19.915425,19.923501,0.000000,0.000542,0.000000,0.000000,0.061458,0.024875,1.069750,640,8122527,132782,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38781,19.764083,19.681158,19.685716,0.000000,0.000376,0.000000,0.000000,0.072167,0.015541,1.217417,632,8116245,133459,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38782,20.894875,20.677995,20.652719,0.000000,0.000625,0.000000,0.000000,0.106333,0.019875,0.931958,629,8098255,132739,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38783,21.526792,21.340052,21.321650,0.000000,0.000375,0.000000,0.000000,0.095916,0.054459,0.915750,641,8107049,133068,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38784,20.796958,20.731464,20.612978,0.000000,0.000500,0.000000,0.000000,0.094542,0.036125,0.887417,636,8122743,135858,0,2,0,2,0,0,0,0,0,0,5667,0,3510,2157,0
38785,21.825125,21.650049,21.597615,0.000000,0.000709,0.000000,0.000000,0.094000,0.047792,0.950458,637,8097067,138653,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
38786,27.425042,27.155081,25.473823,0.000000,0.001042,0.000000,0.000000,0.100416,0.022375,0.586542,634,8101635,131767,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
38787,26.212833,25.910494,24.393219,0.000000,0.001209,0.000000,0.000000,0.119125,0.026250,0.913791,631,8091846,131739,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38788,26.880708,26.834623,25.647539,0.000000,0.001335,0.000000,0.000000,0.133834,0.021083,0.601292,642,8153379,130292,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38789,24.741750,24.770917,24.314791,0.000000,0.001417,0.000000,0.000000,0.114000,0.300834,0.894125,633,8107231,135201,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38790,25.051500,24.506245,24.143664,0.000000,0.000834,0.000000,0.000000,0.094125,0.019042,0.583583,629,8069038,129247,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38791,27.063834,26.979658,26.381996,0.000000,0.001126,0.000000,0.000000,0.163750,0.036291,0.874125,646,8176099,132911,0,2,0,2,0,0,0,0,0,0,7394,0,4680,2714,0
38792,33.746958,33.417121,31.183334,0.000000,0.001457,0.000000,0.000000,0.096000,0.029625,0.881459,628,8045726,143795,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38793,26.617958,26.477346,26.006500,0.000000,0.001083,0.000000,0.000000,0.097834,0.081666,0.600501,633,8106991,133440,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38794,25.034625,24.784141,24.702378,0.000000,0.001209,0.000000,0.000000,0.095459,0.026291,0.944667,639,8107077,129357,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38795,26.618584,26.419205,26.143549,0.000000,0.001000,0.000000,0.000000,0.107625,0.025916,0.768750,632,8107287,133969,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38796,25.991000,25.785152,25.582496,0.000000,0.001415,0.000000,0.000000,0.109625,0.019541,0.584417,632,8107234,130958,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38797,23.357166,23.235912,23.193452,0.000000,0.000624,0.000000,0.000000,0.099667,0.020458,1.232999,639,8122450,127965,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38798,24.547750,24.181388,24.179205,0.000000,0.000707,0.000000,0.000000,0.097667,0.022167,0.668208,629,8076406,133967,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38799,24.287042,24.085323,24.052794,0.000000,0.000708,0.000000,0.000000,0.100083,0.022125,0.737374,632,8107224,134147,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38800,24.883250,24.891586,24.664617,0.000000,0.000584,0.000000,0.000000,0.111042,0.065000,0.910209,643,8153384,130699,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38801,26.882042,26.613381,25.939042,0.000000,0.000541,0.000000,0.000000,0.081875,0.028583,0.629458,648,8076027,134269,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
38802,25.949875,25.796081,24.700417,0.000000,0.000501,0.000000,0.000000,0.136041,0.020792,1.047875,633,8122720,132713,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38803,21.483750,21.111337,21.003246,0.000000,0.000375,0.000000,0.000000,0.136958,0.035500,0.925375,638,8076159,128872,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38804,21.752416,21.699208,21.582254,0.000000,0.000624,0.000000,0.000000,0.088125,0.031459,0.592500,632,8122696,133395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38805,21.433917,21.254834,21.153449,0.000000,0.003042,0.000000,0.000000,0.072417,0.016791,0.914208,633,8113294,131705,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38806,20.587125,20.291831,20.265249,0.000000,0.000417,0.000000,0.000000,0.082958,0.018334,0.596208,638,8085573,127550,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38807,21.243250,21.176126,21.192425,0.000000,0.000667,0.000000,0.000000,0.073417,0.027250,0.662832,633,8122678,134726,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38808,20.874292,20.707865,20.713170,0.000000,0.000375,0.000000,0.000000,0.077125,0.017833,0.449375,634,8107330,133523,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38809,21.403166,21.256958,21.256910,0.000000,0.000375,0.000000,0.000000,0.064334,0.023250,0.960625,639,8107005,132329,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38810,21.403750,21.208459,21.222251,0.000000,0.000374,0.000000,0.000000,0.071334,0.015708,1.126750,631,8107227,135137,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38811,20.408917,20.174954,20.196837,0.000000,0.000499,0.000000,0.000000,0.064000,0.014833,0.864834,633,8107255,130704,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38812,21.228625,21.130044,21.127151,0.000000,0.000417,0.000000,0.000000,0.066667,0.017416,0.786459,643,8153267,138485,0,2,0,2,0,0,0,0,0,0,7480,0,4680,2800,0
38813,23.257667,23.066661,23.085875,0.000000,0.000541,0.000000,0.000000,0.062416,0.015834,1.110084,630,8061040,147098,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38814,20.829625,20.659539,20.674715,0.000000,0.000458,0.000000,0.000000,0.074333,0.016792,0.818666,629,8107140,132695,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38815,19.458625,19.284832,19.305746,0.000000,0.000333,0.000000,0.000000,0.067291,0.014334,0.483042,640,8107136,131736,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38816,19.792750,19.556632,19.565828,0.000000,0.000293,0.000000,0.000000,0.081541,0.033209,0.621916,629,8091807,134441,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38817,20.219541,20.201369,20.191333,0.000000,0.000459,0.000000,0.000000,0.080917,0.026083,0.941958,633,8122627,135853,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38818,20.053042,19.839943,19.860218,0.000000,0.000583,0.000000,0.000000,0.064708,0.017292,0.971250,641,8122636,131884,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38819,20.923250,20.786968,20.463697,0.000000,0.000624,0.000000,0.000000,0.073500,0.015667,0.735666,631,8091728,136819,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38820,19.097208,18.927752,18.943711,0.000000,0.000542,0.000000,0.000000,0.062750,0.015584,0.913292,633,8107187,135371,0,2,0,2,0,0,0,0,0,0,5583,0,3510,2073,0
38821,22.343834,22.186282,22.201418,0.000000,0.000416,0.000000,0.000000,0.072750,0.020500,1.247833,641,8122459,140639,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38822,20.111666,19.884618,19.877618,0.000000,0.000459,0.000000,0.000000,0.063500,0.029584,0.902791,631,8080071,136609,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38823,19.681667,19.492375,19.497510,0.000000,0.000334,0.000000,0.000000,0.058708,0.014667,1.252376,632,8103522,135729,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38824,19.777042,19.710747,19.709124,0.000000,0.000499,0.000000,0.000000,0.053583,0.015500,0.613750,642,8122446,134111,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38825,20.940083,20.768584,20.788782,0.000000,0.000457,0.000000,0.000000,0.086125,0.026000,0.946833,631,8107290,139061,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38826,19.993333,19.827457,19.848453,0.000000,0.000543,0.000000,0.000000,0.073625,0.017375,0.746125,632,8107233,134531,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38827,20.077917,19.825635,19.818364,0.000000,0.000416,0.000000,0.000000,0.065292,0.013041,0.913542,640,8091598,132689,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
