frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
12319,16.728000,16.597831,9.945721,0.000000,7.405000,7.366610,0.038265,0.022875,0.015333,0.462708,631,8105001,72383,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12320,16.756125,16.640660,10.377376,0.000000,7.308125,7.307527,0.000389,0.047667,0.028750,0.743042,638,8107143,70233,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12321,16.584458,16.445285,10.214748,0.000000,7.059167,7.025735,0.033307,0.033542,0.029750,0.609834,631,8107257,74633,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12322,16.663625,16.546621,9.812086,0.000000,7.464459,7.426110,0.038265,0.029875,0.011709,0.798209,631,8107475,72415,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12323,16.677459,16.553718,10.213207,0.000000,7.182292,7.113611,0.068556,0.034291,0.010709,0.447459,657,8106586,70809,0,2,0,2,0,0,0,0,0,0,9243,0,4680,4563,0
12324,16.716583,16.596701,10.514880,0.000000,6.945583,6.905277,0.040223,0.026125,0.016083,0.646584,631,8107244,74695,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12325,16.542542,16.419880,10.107051,0.000000,7.101793,7.091069,0.010640,0.024958,0.017625,0.445666,630,8107304,71681,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12326,16.933416,16.813642,10.340095,0.000000,7.284833,7.220277,0.064473,0.031250,0.010834,0.736417,639,8107087,71972,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12327,16.478042,16.294709,10.114473,0.000000,7.028249,6.987360,0.040806,0.022083,0.016792,0.831875,630,8093058,73633,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12328,16.722750,16.662964,10.075226,0.000000,7.356625,7.315068,0.041473,0.024000,0.014958,0.297583,632,8121531,73533,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12329,16.832208,16.714580,10.185362,0.000000,7.322167,7.249736,0.072264,0.028667,0.016542,0.656876,638,8107076,70419,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12330,16.596750,16.405837,10.319752,0.000000,6.954917,6.915985,0.038807,0.022917,0.014833,0.350041,630,8091873,73897,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12331,16.726375,16.675418,10.115249,0.000000,7.332375,7.291735,0.040557,0.024542,0.015042,0.665626,634,8122726,73109,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12332,16.533250,16.416358,9.987177,0.000000,7.259835,7.188153,0.071598,0.029209,0.017625,0.349125,639,8107082,70262,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12333,16.894167,16.770871,10.290947,0.000000,7.266542,7.225069,0.041390,0.027750,0.016167,0.587708,630,8107434,74543,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12334,16.657000,16.536620,10.333211,0.000000,7.034792,6.999152,0.035556,0.033000,0.017125,0.961459,631,8107416,72474,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12335,16.521167,16.332496,9.834790,0.000000,7.312208,7.234652,0.077431,0.021791,0.014709,0.304583,637,8091379,69639,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12336,16.821500,16.768750,10.443836,0.000000,7.136541,7.100026,0.036390,0.028583,0.009708,0.607917,632,8122755,75220,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12337,16.616208,16.494506,10.989457,0.000000,6.988750,6.988277,0.000390,0.030875,0.016083,0.300166,633,8107292,72404,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12338,16.713917,16.593525,10.043435,0.000000,7.340458,7.270277,0.070139,0.034708,0.011375,0.658834,640,8107119,70202,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
