frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
1000,19.226042,19.144885,19.116337,0.000000,0.000209,0.000000,0.000000,0.043166,0.014500,0.919750,657,8288392,42487,0,272,0,272,0,0,0,0,0,0,23219,14400,3510,5309,0
1001,15.678541,15.639729,8.056325,0.000000,8.186667,6.936583,1.249917,0.125209,0.046666,0.644792,630,7936854,33047,0,32,0,32,0,0,0,0,0,0,7208,0,4680,2528,0
1002,19.803709,19.641840,19.608516,0.000000,0.000291,0.000000,0.000000,0.057583,0.015958,0.290542,655,8288303,42390,0,272,0,272,0,0,0,0,0,0,21527,14400,3510,3617,0
1003,11.884708,11.731613,7.196800,0.000000,4.543334,4.543014,0.000111,0.039958,0.010292,0.576708,618,7906160,33010,0,32,0,32,0,0,0,0,0,0,7143,0,3510,3633,0
1004,19.624000,19.559922,19.545372,0.000000,0.004041,0.000000,0.000000,0.061833,0.020709,0.297625,658,8195540,42026,0,272,0,272,0,0,0,0,0,0,23371,14400,4680,4291,0
1005,15.226708,15.144661,8.567000,0.000000,7.482917,6.339542,1.143208,0.088584,0.019541,0.614458,627,8029639,33402,0,32,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
1006,21.958500,21.862740,20.736574,0.000000,0.000500,0.000000,0.000000,0.067709,0.070541,0.902167,652,8288275,42181,0,272,0,272,0,0,0,0,0,0,21591,14400,3510,3681,0
1007,9.774834,9.603602,7.191508,0.000000,2.607457,2.606763,0.000153,0.065833,0.013500,0.290334,628,7921299,32728,0,22,0,22,0,0,0,0,0,0,7208,0,4680,2528,0
1008,22.709708,22.667550,22.244711,0.000000,0.000750,0.000000,0.000000,0.130125,0.035292,0.582667,665,8411996,42714,0,282,0,282,0,0,0,0,0,0,21569,14400,3510,3659,0
1009,14.067917,13.864086,9.692878,0.000000,2.834082,2.831805,0.001611,0.103125,0.015041,0.295417,606,7782609,32125,0,22,0,22,0,0,0,0,0,0,5406,0,3510,1896,0
1010,28.069291,27.902336,25.251668,0.000000,0.000333,0.000000,0.000000,0.067667,0.023458,0.875583,654,8207045,41850,0,282,0,282,0,0,0,0,0,0,23341,14400,4680,4261,0
1011,9.405792,9.294698,8.526134,0.000000,0.001084,0.000000,0.000000,0.154167,0.033916,0.293500,624,8018007,33044,0,22,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
1012,42.181125,42.243251,33.947117,0.000000,0.000875,0.000000,0.000000,0.563917,0.052333,1.196749,648,8226457,41807,0,282,0,272,0,0,0,0,0,0,21559,14400,3510,3649,0
1013,16.221958,15.567576,12.464053,0.000000,0.000793,0.000000,0.000000,0.187375,0.088417,0.292333,633,7998819,33000,0,22,0,22,0,0,0,0,0,0,7208,0,4680,2528,0
1014,30.154709,29.832213,26.649178,0.000000,0.000958,0.000000,0.000000,0.064708,0.028125,0.875000,652,8226309,41873,0,282,0,282,0,0,0,0,0,0,21538,14400,3510,3628,0
1015,7.706958,7.557816,7.173157,0.000000,0.000249,0.000000,0.000000,0.063000,0.014375,0.289875,643,7968189,32865,0,22,0,22,0,0,0,0,0,0,5406,0,3510,1896,0
1016,22.499083,22.339338,22.163010,0.000000,0.000458,0.000000,0.000000,0.058875,0.021000,0.597875,656,8195208,41807,0,282,0,282,0,0,0,0,0,0,23329,14400,4680,4249,0
