frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
1000,21.896292,21.801194,21.804362,0.000000,0.000292,0.000000,0.000000,0.035333,0.020792,1.218708,652,8226633,42244,0,272,0,272,0,0,0,0,0,0,23219,14400,3510,5309,0
1001,11.359500,11.214748,8.368916,0.000000,3.257458,3.257083,0.000209,0.032250,0.017041,0.682417,631,7982842,33203,0,32,0,32,0,0,0,0,0,0,7208,0,4680,2528,0
1002,22.295708,22.171045,22.178707,0.000000,0.000250,0.000000,0.000000,0.033083,0.013625,1.271417,649,8211332,42118,0,272,0,272,0,0,0,0,0,0,21527,14400,3510,3617,0
1003,11.087958,10.953818,8.580330,0.000000,2.874625,2.874333,0.000084,0.040334,0.018125,0.498250,626,7998764,33369,0,32,0,32,0,0,0,0,0,0,7143,0,3510,3633,0
1004,22.592167,22.498886,22.497291,0.000000,0.000292,0.000000,0.000000,0.047208,0.030125,1.254834,660,8241676,42205,0,272,0,272,0,0,0,0,0,0,23371,14400,4680,4291,0
1005,10.786917,10.620269,8.470642,0.000000,2.688417,2.688167,0.000083,0.041041,0.014625,0.608208,621,7967766,33141,0,32,0,32,0,0,0,0,0,0,5406,0,3510,1896,0
1006,22.707125,22.615069,22.624482,0.000000,0.000250,0.000000,0.000000,0.046708,0.020292,0.907833,652,8257730,42084,0,272,0,272,0,0,0,0,0,0,21591,14400,3510,3681,0
1007,10.324000,10.161485,8.471894,0.000000,2.287999,2.287749,0.000126,0.037541,0.010750,0.305083,629,7952264,32832,0,22,0,22,0,0,0,0,0,0,7208,0,4680,2528,0
1008,24.564666,24.450799,24.412191,0.000000,0.000208,0.000000,0.000000,0.042625,0.016667,1.477875,652,8226459,42011,0,282,0,282,0,0,0,0,0,0,21569,14400,3510,3659,0
1009,8.842375,8.684013,8.600861,0.000000,0.997750,0.997416,0.000209,0.033125,0.010625,0.000000,622,7983315,32903,0,22,0,22,0,0,0,0,0,0,5406,0,3510,1896,0
1010,24.784250,24.687409,24.685812,0.000000,0.000584,0.000000,0.000000,0.040167,0.023750,1.845834,656,8210911,41865,0,282,0,282,0,0,0,0,0,0,23341,14400,4680,4261,0
1011,8.541334,8.373772,8.288352,0.000000,0.749291,0.748833,0.000292,0.030958,0.007625,0.607666,622,7998882,32955,0,22,0,22,0,0,0,0,0,0,5406,0,3510,1896,0
