frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
7330,183.583125,181.976379,173.557146,0.000000,8.741124,8.606986,0.129805,0.102792,0.024417,9.437955,10206,129651524,7340491,0,32,0,32,0,0,0,0,0,0,142806,0,63180,79626,0
7331,16.606125,16.487336,12.696716,0.000000,4.534667,4.426778,0.107806,0.045625,0.053750,0.990750,630,8107258,493140,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7332,16.683042,16.612636,12.610212,0.000000,4.714917,4.714168,0.000749,0.047042,0.141958,0.695208,636,8138148,495269,0,2,0,2,0,0,0,0,0,0,6900,0,4492,2408,0
7333,16.874792,16.738331,12.690094,0.000000,4.737708,4.558819,0.178806,0.085791,0.017667,0.979167,637,8091652,489817,0,2,0,2,0,0,0,0,0,0,5714,0,3698,2016,0
7334,16.581291,16.469304,12.855992,0.000000,4.460375,4.450111,0.010055,0.088459,0.058666,0.792166,633,8107258,490999,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7335,17.506375,17.358909,13.084161,0.000000,4.772334,4.593820,0.178014,0.077792,0.015417,0.381333,632,8076328,487383,0,2,0,2,0,0,0,0,0,0,5904,0,3510,2394,0
7336,15.751542,15.779594,12.645585,0.000000,2.925459,2.925000,0.000292,0.051750,0.156042,0.747584,646,8184358,496801,0,2,0,2,0,0,0,0,0,0,6710,0,4680,2030,0
7337,16.797042,16.556747,12.511284,0.000000,4.696792,4.587528,0.109139,0.068833,0.014750,0.496500,628,8030016,481752,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7338,16.889166,16.697501,12.867071,0.000000,4.565792,4.456403,0.109181,0.053584,0.013708,0.966959,632,8060926,483885,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
7339,16.499792,16.478297,13.122467,0.000000,4.066666,4.061610,0.004972,0.050167,0.033000,0.300583,644,8153419,494544,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
7340,16.607208,16.486876,12.644849,0.000000,4.679333,4.542361,0.136889,0.042125,0.008709,0.910708,632,8107254,486707,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7341,16.765709,16.641840,12.589039,0.000000,4.896375,4.694737,0.201555,0.050458,0.019458,0.591875,638,8078054,481837,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
7342,16.802500,16.776295,13.014181,0.000000,4.519917,4.426986,0.092764,0.089500,0.047041,0.612124,639,8151731,491786,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
7343,16.465791,16.322689,12.983368,0.000000,4.138834,4.132375,0.006459,0.068375,0.031792,0.582542,637,8138144,487599,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7344,16.895375,16.747404,12.103257,0.000000,5.285917,5.006737,0.279055,0.044750,0.012500,0.370208,637,8045310,473189,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7345,16.505667,16.416746,12.618925,0.000000,4.636917,4.489736,0.147098,0.056417,0.012291,1.269542,635,8122711,491271,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7346,16.686917,16.608351,12.610768,0.000000,4.590417,4.574153,0.016014,0.083625,0.016916,0.290333,635,8122666,483808,0,2,0,2,0,0,0,0,0,0,5407,0,3510,1897,0
7347,16.818833,16.674802,13.387487,0.000000,3.907542,3.907070,0.000306,0.062667,0.020375,0.587042,641,8107070,477049,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7348,16.475583,16.362474,12.857850,0.000000,4.376541,4.369610,0.006848,0.041542,0.048333,0.290375,631,8091819,484688,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7349,16.205084,16.595923,12.400410,0.000000,5.202335,4.986084,0.216251,0.051500,0.525541,0.911042,702,8956516,420727,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7350,17.526291,16.914630,5.580843,0.000000,11.348708,9.597486,1.751055,0.055792,0.018125,1.245459,571,7350691,47796,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7351,2885.843084,2867.064404,1704.138414,0.000000,1226.560252,1153.108410,73.449177,0.101000,0.024750,151.754837,109964,1402478587,64956666,0,346,0,346,0,0,0,0,0,0,1190155,0,675090,515065,0
7352,16.922041,16.855691,13.488382,0.000000,3.350416,3.240820,0.109347,0.117542,0.033875,0.591334,655,8106436,382518,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7353,16.630750,16.487847,14.309132,0.000000,2.458666,2.458194,0.000056,0.110875,0.033334,0.302000,656,8168391,398563,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7354,16.582375,16.385679,13.965995,0.000000,2.573250,2.572736,0.000181,0.055334,0.020916,0.640125,643,8029345,384086,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7355,16.742292,16.607909,14.859212,0.000000,2.448834,2.447959,0.000708,0.045792,0.011125,0.452458,651,8091245,365896,0,2,0,2,0,0,0,0,0,0,7464,0,4680,2784,0
7356,16.588542,16.472829,14.161654,0.000000,2.927916,2.927458,0.000333,0.042791,0.010959,0.698125,647,8106628,408894,0,2,0,2,0,0,0,0,0,0,5662,0,3510,2152,0
7357,16.662958,16.568094,13.924810,0.000000,2.789792,2.789416,0.000251,0.046292,0.022208,0.680042,662,8106424,408535,0,2,0,2,0,0,0,0,0,0,6687,0,3510,3177,0
