frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820833,0.021083,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3674.497375,3427.910459,2980.541953,0.000000,466.253722,461.349972,4.865360,2.467375,0.045541,157.213295,124747,1463756961,151028622,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,64.422583,62.128712,52.644715,0.000000,0.001125,0.000000,0.000000,0.437542,0.042250,1.579875,608,7798465,2342330,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,1618.842375,1606.284877,1514.177045,0.000000,77.801460,77.389148,0.364108,1.637792,0.042083,68.759169,62939,803294170,53059463,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,41.336250,39.692750,39.496795,0.000000,0.001040,0.000000,0.000000,0.129625,0.056542,1.919999,579,7365911,2125008,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,45.289917,45.066969,38.384524,0.000000,0.001167,0.000000,0.000000,0.145125,0.036541,1.207500,642,8089377,549207,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,43.750916,43.553862,40.874301,0.000000,0.002417,0.000000,0.000000,0.110750,0.057334,1.536168,638,8104860,2202918,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,35.335875,35.087540,34.432252,0.000000,0.000708,0.000000,0.000000,0.081292,0.064500,1.229666,642,8087161,459027,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,58.790667,58.610847,51.938678,0.000000,0.000709,0.000000,0.000000,0.160042,0.047000,1.519250,638,8169017,2217001,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,35.264208,34.993874,33.408089,0.000000,0.001666,0.000000,0.000000,0.071375,0.027917,1.219874,646,8040637,419993,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,38.983125,38.866278,38.306969,0.000000,0.001750,0.000000,0.000000,0.075334,0.043416,0.940000,631,8107251,2201411,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,34.343875,34.202924,31.267142,0.000000,0.000666,0.000000,0.000000,0.056042,0.089708,0.991790,649,8102647,401147,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,41.520209,41.360381,40.048578,0.000000,0.000750,0.000000,0.000000,0.083833,0.048917,1.262166,642,8122496,2203906,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,34.876583,34.661205,32.342671,0.000000,0.000917,0.000000,0.000000,0.100375,0.026042,1.262042,642,8102618,358381,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,38.513958,38.360268,38.327414,0.000000,0.000249,0.000000,0.000000,0.060125,0.021709,0.891958,630,8093100,2222648,0,2,0,2,0,0,0,0,0,0,5509,0,3510,1999,0
15,35.217334,35.074425,31.155048,0.000000,0.000792,0.000000,0.000000,0.166250,0.040625,1.227126,653,8147440,361278,0,302,0,302,0,0,0,0,0,0,22745,14400,4680,3665,0
16,42.819166,53.511779,51.025729,0.000000,0.000625,0.000000,0.000000,10.983542,0.160458,1.500665,873,11209510,2299044,0,124,0,124,0,0,0,0,0,0,7208,0,4680,2528,0
17,43.642792,32.442369,23.288801,0.000000,0.001126,0.000000,0.000000,0.101333,0.016959,0.915375,393,4923180,288371,0,180,0,180,0,0,0,0,0,0,20842,14400,3366,3076,0
