frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
24837,17.004208,16.899542,15.783852,0.000000,1.755292,1.742320,0.012763,0.065542,0.014458,1.116251,632,8107353,128710,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24838,16.653500,16.537663,15.343727,0.000000,1.910667,1.910403,0.000097,0.058167,0.055916,0.610875,632,8107199,126083,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24839,16.462917,16.360273,15.225626,0.000000,1.842292,1.833404,0.008555,0.069458,0.020167,0.934791,641,8122553,123813,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
24840,16.765875,16.632177,15.650632,0.000000,1.727125,1.726820,0.000097,0.060291,0.014625,0.610125,630,8091750,128463,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24841,16.790708,16.661900,15.394354,0.000000,1.979750,1.979278,0.000097,0.066500,0.021083,0.761458,632,8107262,126308,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24842,16.456708,16.362256,15.131486,0.000000,1.903625,1.903112,0.000263,0.068250,0.024500,0.911042,640,8122525,124305,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
24843,16.879584,16.751924,15.540213,0.000000,1.898709,1.898237,0.000138,0.063291,0.020542,0.466542,632,8091812,128165,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24844,16.693500,16.534922,15.286890,0.000000,1.954667,1.953486,0.000889,0.068458,0.012792,0.911417,631,8107266,126525,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24845,16.461458,16.328780,15.186871,0.000000,1.850208,1.849945,0.000055,0.060667,0.014541,0.476541,640,8107050,123459,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
24846,16.970000,16.866118,15.756794,0.000000,1.785874,1.785695,0.000055,0.049500,0.032625,1.100668,633,8107255,128854,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
