frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.713375,0.031167,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3245.274375,2978.181041,2312.324723,0.000000,798.943671,773.315572,25.618929,1.183875,0.026333,152.549703,124836,1465270382,101909077,0,348,14,334,0,0,0,0,0,0,1086743,512,635755,450391,85
2,16.302167,15.069382,4.687038,0.000000,10.398000,10.209623,0.188293,0.048833,0.016500,0.652458,478,6192380,87684,0,0,0,0,0,0,0,0,0,0,4884,0,2340,2544,0
3,1651.562125,1642.051601,1190.050756,0.000000,507.742965,506.813606,0.928901,1.110916,0.033959,82.508753,62932,803263314,51026945,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,17.570541,16.402374,6.255995,0.000000,10.124625,8.778123,1.346377,0.046292,0.011333,0.765374,582,7450981,121621,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,23.032250,22.907813,22.825865,0.000000,0.000374,0.000000,0.000000,0.044875,0.021042,1.393334,642,8094753,181462,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,9.415959,9.391497,7.559273,0.000000,2.126708,2.122388,0.004070,0.032916,0.130292,0.321958,644,8168823,171714,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,22.645583,22.427981,22.359819,0.000000,0.000292,0.000000,0.000000,0.034292,0.012166,0.893542,638,8040824,180177,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,10.924417,10.822294,6.818211,0.000000,4.004251,3.685763,0.318362,0.033208,0.007625,0.652875,634,8122705,171682,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,22.003666,21.899172,21.891963,0.000000,0.000333,0.000000,0.000000,0.031584,0.013375,1.140709,647,8086940,173164,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
