frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.179916,0.023084,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3245.399250,2981.498520,2168.019830,0.000000,827.406507,806.650209,20.741841,0.997291,0.036750,135.958870,124775,1465055079,101896536,0,346,14,332,0,0,0,0,0,0,1086367,512,635498,450271,85
2,16.771416,15.841809,5.586343,0.000000,9.896709,8.610042,1.286542,0.138542,0.042250,0.600083,506,6454033,93258,0,2,0,2,0,0,0,0,0,0,5260,0,2597,2664,0
3,1651.074334,1641.091697,1120.862484,0.000000,565.703935,562.374311,3.329249,0.887833,0.020167,86.836248,62931,803124269,51017033,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,17.646375,16.704047,6.541750,0.000000,10.072457,8.748207,1.324167,0.043916,0.011417,0.909541,593,7543678,129461,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,22.451250,22.337329,22.308527,0.000000,0.000416,0.000000,0.000000,0.051750,0.024583,0.994500,644,8110208,185123,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,9.939916,9.942211,7.533630,0.000000,2.488042,2.474056,0.013902,0.042834,0.135333,0.359833,644,8168850,171722,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,22.796417,22.556453,22.470139,0.000000,0.000459,0.000000,0.000000,0.046000,0.015708,1.218792,638,8025343,178868,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,10.605167,10.575322,7.021261,0.000000,3.511834,3.357180,0.154445,0.033833,0.089167,0.289875,635,8153600,176782,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,22.332500,22.146730,22.092546,0.000000,0.000499,0.000000,0.000000,0.037541,0.018417,0.927334,648,8071523,173299,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,11.282333,11.151622,6.947456,0.000000,4.188750,3.808514,0.379986,0.030000,0.007333,0.287750,630,8091777,172503,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,22.146500,22.055405,22.008379,0.000000,0.000541,0.000000,0.000000,0.043667,0.014416,1.289667,649,8102674,179132,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,10.974375,10.937080,7.554365,0.000000,3.134375,3.105806,0.028236,0.037208,0.091042,0.319708,645,8168790,171174,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,22.800583,22.637416,22.610796,0.000000,0.000667,0.000000,0.000000,0.051167,0.017208,0.635042,639,8071762,185143,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,10.655250,10.504792,6.648576,0.000000,3.852625,3.582222,0.270112,0.027917,0.007083,0.939333,628,8060895,162717,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,22.128084,22.015781,22.018264,0.000000,0.000250,0.000000,0.000000,0.028416,0.008209,0.908292,653,8117854,178552,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,11.583375,11.489084,6.667087,0.000000,4.822416,4.227180,0.594986,0.028875,0.016791,0.302833,632,8107267,169232,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,21.915250,21.809573,21.815507,0.000000,0.000207,0.000000,0.000000,0.035833,0.009042,0.603167,642,8087153,173714,0,302,0,302,0,0,0,0,0,0,22582,14400,4534,3648,0
18,11.327791,11.206244,6.749922,0.000000,4.473166,3.997139,0.475819,0.032875,0.014500,0.371625,640,8122521,165729,0,2,0,2,0,0,0,0,0,0,5672,0,3656,2016,0
19,22.265084,22.168874,22.162541,0.000000,0.000166,0.000000,0.000000,0.031250,0.029500,1.023583,642,8102634,179281,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,10.796291,10.750383,7.046093,0.000000,4.029542,4.008513,0.020904,0.030959,0.082958,0.349542,644,8153376,161271,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,22.197417,21.990796,21.999090,0.000000,0.000332,0.000000,0.000000,0.031083,0.007417,0.739916,639,8056297,173697,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,11.741167,11.672294,6.647292,0.000000,5.002165,4.335055,0.666986,0.033250,0.026333,0.351875,632,8107270,166334,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,22.073833,21.952713,21.944879,0.000000,0.000290,0.000000,0.000000,0.033792,0.009250,0.942582,647,8102857,168981,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,10.992917,10.867916,6.675933,0.000000,4.198000,3.814556,0.383236,0.029500,0.010833,0.292250,634,8106810,163964,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,21.857125,21.764537,21.748331,0.000000,0.000208,0.000000,0.000000,0.030333,0.016375,0.930792,643,8118101,176406,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,11.810583,11.688450,6.539134,0.000000,5.153874,4.437805,0.715945,0.029250,0.009208,0.295959,639,8091579,153259,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,21.732750,21.618792,21.624539,0.000000,0.000209,0.000000,0.000000,0.027500,0.006708,0.908208,643,8102581,173748,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,11.492958,11.385759,6.538776,0.000000,4.856376,4.253264,0.602945,0.026625,0.006834,0.288250,631,8091814,160079,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,21.756167,21.642487,21.635696,0.000000,0.000166,0.000000,0.000000,0.028000,0.012000,0.753126,649,8117908,163766,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,11.689917,11.616293,6.535038,0.000000,5.085959,4.406556,0.679236,0.026041,0.018959,0.829041,635,8122703,161411,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,21.835916,21.716585,21.712605,0.000000,0.000207,0.000000,0.000000,0.033750,0.009417,0.927833,641,8102616,170757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,11.551167,11.430592,6.479252,0.000000,4.960417,4.319555,0.640653,0.023500,0.006583,0.635041,638,8091609,148285,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,21.606417,21.503591,21.500290,0.000000,0.000208,0.000000,0.000000,0.031708,0.013958,1.254167,644,8111866,169667,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,11.802708,11.687002,6.435261,0.000000,5.249874,4.502055,0.747611,0.023667,0.019958,0.616958,633,8097971,156689,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,21.706625,21.624680,21.621169,0.000000,0.000168,0.000000,0.000000,0.032958,0.039917,1.246250,650,8117940,160895,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,11.247583,11.125628,6.440000,0.000000,4.670708,4.324597,0.345986,0.034792,0.010333,0.608083,631,8091773,154864,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,21.279375,21.160979,21.163074,0.000000,0.000249,0.000000,0.000000,0.023834,0.006500,1.057249,641,8102629,166464,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,13.016084,12.932284,6.664794,0.000000,6.254833,5.181555,1.073070,0.048416,0.011167,0.507875,642,8122471,146898,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,22.176125,22.080708,22.060870,0.000000,0.000250,0.000000,0.000000,0.041000,0.019708,1.103167,641,8102595,164839,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,10.108750,10.054659,6.758822,0.000000,3.248416,3.193013,0.055028,0.031833,0.083417,0.481250,634,8138158,156479,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,22.311708,22.104626,22.058790,0.000000,0.000208,0.000000,0.000000,0.030333,0.010959,0.804417,647,8056120,152606,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,11.529917,11.438195,6.438005,0.000000,5.000418,4.348681,0.651528,0.032291,0.010000,0.311125,633,8107221,152254,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,22.152625,22.019000,21.999596,0.000000,0.000292,0.000000,0.000000,0.032875,0.016958,0.913959,640,8102642,164299,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,11.090291,11.015637,6.421456,0.000000,4.592458,4.078388,0.513945,0.025167,0.032042,0.618291,642,8122496,143400,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,21.987125,21.892108,21.827907,0.000000,0.000125,0.000000,0.000000,0.027834,0.050666,0.783458,644,8118038,163638,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,11.487625,11.384333,6.349005,0.000000,5.028624,4.369055,0.659403,0.029542,0.049375,1.086333,632,8091816,148317,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,21.646417,21.542178,21.539906,0.000000,0.000249,0.000000,0.000000,0.043625,0.040917,1.104458,650,8117906,153014,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,11.838417,11.668515,6.397757,0.000000,5.235543,4.504931,0.730486,0.027750,0.008666,0.474417,628,8076328,145707,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,21.696666,21.605923,21.562969,0.000000,0.000167,0.000000,0.000000,0.034625,0.011334,1.270000,644,8133526,163798,0,302,0,302,0,0,0,0,0,0,21615,14400,3510,3705,0
50,11.710625,11.638260,6.390057,0.000000,5.256834,4.520722,0.735903,0.077334,0.014958,0.620250,639,8107058,137746,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
51,21.630917,21.491082,21.471530,0.000000,0.000125,0.000000,0.000000,0.038958,0.009500,1.260084,643,8087147,156610,0,302,0,302,0,0,0,0,0,0,21592,14400,3510,3682,0
52,11.635875,11.516993,6.383796,0.000000,5.100833,4.416597,0.684070,0.022417,0.014333,0.608542,633,8093648,147727,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,21.715750,21.605424,21.590296,0.000000,0.000250,0.000000,0.000000,0.027333,0.008500,1.297126,648,8100633,148294,0,302,0,302,0,0,0,0,0,0,23329,14400,4680,4249,0
