frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.001291,0.020542,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3227.088458,2975.733017,2377.705222,0.000000,795.846364,796.790674,4.994972,2.139583,0.027875,149.604166,124945,1466922743,101911464,0,348,14,334,0,0,0,0,0,0,1086743,512,635755,450391,85
2,17.326458,15.266880,3.842256,0.000000,11.433541,5.233180,0.254001,0.094625,0.015125,0.796500,356,4570915,84147,0,0,0,0,0,0,0,0,0,0,4884,0,2340,2544,0
3,1651.779292,1642.971874,1245.002437,0.000000,519.408919,518.941886,0.466450,1.643250,0.033333,60.409754,62946,803572155,51054440,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,16.366042,14.717708,6.260767,0.000000,8.835708,8.764331,0.071252,0.043166,0.079417,1.029083,559,7134247,94840,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,22.573458,22.701554,22.678324,0.000000,0.000291,0.000000,0.000000,0.361667,0.016541,1.308250,658,8243462,192660,0,302,0,302,0,0,0,0,0,0,22644,14400,4536,3708,0
6,10.967833,10.553272,7.214008,0.000000,3.528168,3.500847,0.027112,0.042042,0.026500,0.681708,623,7950785,154627,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
7,22.520417,22.443251,22.369161,0.000000,0.000167,0.000000,0.000000,0.045125,0.054875,1.026208,643,8102593,185401,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,10.699500,10.633256,7.488621,0.000000,3.532127,3.496429,0.035614,0.041708,0.076584,0.424292,634,8138119,172413,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,22.305667,22.139521,22.130167,0.000000,0.000249,0.000000,0.000000,0.036958,0.038583,1.311750,646,8071579,171863,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,11.015416,10.992031,7.387129,0.000000,3.966749,3.966262,0.000362,0.030334,0.124083,0.639459,635,8138324,175796,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,22.126542,21.925372,21.911489,0.000000,0.000207,0.000000,0.000000,0.037958,0.014875,0.952626,647,8071522,177967,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11.261375,11.256297,7.259259,0.000000,4.193374,4.189930,0.003320,0.031250,0.128000,0.443625,644,8153379,170600,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,22.429583,22.266794,22.198114,0.000000,0.000417,0.000000,0.000000,0.056500,0.052500,0.912791,639,8071750,180940,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,10.903084,10.834613,7.383947,0.000000,3.807916,3.802887,0.004821,0.033916,0.143125,0.439125,632,8122661,167167,0,2,0,2,0,0,0,0,0,0,6944,0,4536,2408,0
15,22.139416,21.964687,21.962149,0.000000,0.000292,0.000000,0.000000,0.042667,0.009500,1.784500,648,8071543,174548,0,302,0,302,0,0,0,0,0,0,21310,14400,3654,3256,0
16,11.262875,11.230061,7.095272,0.000000,4.373584,4.373221,0.000280,0.036709,0.089583,0.402416,634,8153589,173149,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,22.149709,21.962487,21.932594,0.000000,0.000417,0.000000,0.000000,0.047458,0.021208,1.280000,642,8028860,168187,0,302,0,302,0,0,0,0,0,0,22644,14400,4536,3708,0
18,11.207500,11.227825,7.304205,0.000000,4.143875,4.134929,0.008904,0.039541,0.140667,0.480708,641,8196265,172225,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
19,22.257666,22.016221,21.994658,0.000000,0.000167,0.000000,0.000000,0.030500,0.016667,1.274000,638,8046586,174860,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,11.161209,11.077661,7.049364,0.000000,4.290793,4.290512,0.000239,0.026583,0.056583,0.645167,639,8101336,156870,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,22.068375,21.937457,21.917565,0.000000,0.000207,0.000000,0.000000,0.037083,0.029792,1.247167,642,8087173,176524,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,11.244208,11.211325,7.098581,0.000000,4.306292,4.305554,0.000655,0.034458,0.102917,0.637833,635,8153558,170248,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,21.819625,21.658213,21.643051,0.000000,0.000250,0.000000,0.000000,0.040667,0.035833,1.239833,645,8071608,166333,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,11.593375,11.535989,7.348693,0.000000,4.536458,4.521805,0.014570,0.029042,0.081625,0.611583,635,8138097,166609,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,22.059750,21.895500,21.870960,0.000000,0.000208,0.000000,0.000000,0.039250,0.022667,1.286000,639,8071730,174298,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,11.321167,11.221138,7.066545,0.000000,4.416998,4.416261,0.000696,0.024125,0.047291,0.692500,640,8107048,153418,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,21.817458,21.687122,21.678966,0.000000,0.000252,0.000000,0.000000,0.035417,0.014791,1.232083,642,8087184,172444,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,11.497417,11.485998,7.091295,0.000000,4.656750,4.649054,0.007529,0.035083,0.091500,0.324625,636,8169011,166606,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,21.622916,21.414922,21.421424,0.000000,0.000208,0.000000,0.000000,0.024250,0.007917,0.911834,643,8040689,157235,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,11.711667,11.736179,7.452627,0.000000,5.052416,5.049221,0.003112,0.041000,0.111250,0.595707,639,8169015,165303,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,22.068625,21.845294,21.842673,0.000000,0.000249,0.000000,0.000000,0.031292,0.014833,1.091416,635,8025395,164985,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,11.372917,11.296648,6.964819,0.000000,4.491250,4.490512,0.000655,0.024833,0.053958,0.579791,642,8137930,152138,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,21.905791,21.768288,21.758837,0.000000,0.000126,0.000000,0.000000,0.030209,0.008958,1.216791,643,8096469,168363,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,11.397542,11.382285,6.876378,0.000000,4.709041,4.701637,0.007321,0.034333,0.107542,0.607750,637,8159720,161911,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,21.840917,21.643111,21.630289,0.000000,0.000208,0.000000,0.000000,0.030458,0.021583,1.251542,644,8046738,153710,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,11.540791,11.553790,6.897212,0.000000,4.823875,4.819471,0.004321,0.035209,0.118000,0.619375,637,8178394,163619,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,21.782542,21.563759,21.530597,0.000000,0.000208,0.000000,0.000000,0.033042,0.010083,1.250001,635,8013975,158966,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,11.680458,11.567375,6.721378,0.000000,4.921876,4.921095,0.000697,0.030875,0.015334,0.612625,639,8118508,146559,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,21.723000,21.616704,21.611540,0.000000,0.000124,0.000000,0.000000,0.029792,0.015333,0.928334,642,8102599,164840,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,11.549417,11.528288,7.426830,0.000000,4.552417,4.545971,0.006404,0.028583,0.102375,0.609708,636,8169035,158772,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,21.971750,21.767916,21.740644,0.000000,0.000209,0.000000,0.000000,0.029875,0.015625,0.945041,645,8040694,150983,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,11.391958,11.380962,6.997487,0.000000,4.614125,4.613763,0.000279,0.021917,0.108375,0.655708,637,8168973,157480,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,21.881500,21.677216,21.679007,0.000000,0.000209,0.000000,0.000000,0.038709,0.009166,0.944083,635,8040856,161561,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,11.545625,11.464214,6.957245,0.000000,4.720125,4.719803,0.000280,0.025625,0.037375,0.297875,640,8122524,142986,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,21.659542,21.542636,21.502866,0.000000,0.000250,0.000000,0.000000,0.038125,0.008792,1.247417,643,8087123,161026,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,11.633917,11.627133,6.708573,0.000000,5.057541,5.057220,0.000196,0.032791,0.114125,0.627166,637,8169059,154866,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,22.063875,21.840605,21.760585,0.000000,0.000250,0.000000,0.000000,0.041833,0.009917,1.261666,643,8040667,147636,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,11.318500,11.280709,6.853121,0.000000,4.620833,4.574513,0.046237,0.030458,0.100792,0.625625,634,8153549,152244,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,21.645541,21.474337,21.453912,0.000000,0.000292,0.000000,0.000000,0.043375,0.017417,1.291584,639,8056305,155954,0,302,0,302,0,0,0,0,0,0,21615,14400,3510,3705,0
50,11.696875,11.690199,7.141089,0.000000,4.620375,4.619763,0.000404,0.074542,0.080375,0.640000,645,8179951,143917,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
51,21.945709,21.734737,21.732043,0.000000,0.000292,0.000000,0.000000,0.047000,0.023375,1.283792,639,8045193,153088,0,302,0,302,0,0,0,0,0,0,21592,14400,3510,3682,0
52,11.450458,11.430385,6.955160,0.000000,4.630792,4.626512,0.004196,0.034917,0.098666,0.655917,636,8138103,148303,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,21.836958,21.617287,21.580002,0.000000,0.000210,0.000000,0.000000,0.034167,0.008167,1.225334,646,8056123,144735,0,302,0,302,0,0,0,0,0,0,23329,14400,4680,4249,0
54,11.511125,11.516832,6.689823,0.000000,4.914667,4.911013,0.003529,0.026209,0.112375,0.668375,637,8153554,148327,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,21.872084,21.678663,21.663426,0.000000,0.000334,0.000000,0.000000,0.046125,0.012166,1.277750,637,8056301,151364,0,302,0,302,0,0,0,0,0,0,21458,14400,3510,3548,0
56,11.506125,11.505489,6.858183,0.000000,4.705874,4.696303,0.009488,0.031458,0.125667,0.497917,644,8153380,138543,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
57,22.192541,21.962173,21.929675,0.000000,0.000291,0.000000,0.000000,0.039292,0.008208,1.310584,640,8062542,150015,0,302,0,302,0,0,0,0,0,0,21451,14400,3510,3541,0
58,11.144250,11.180853,6.737586,0.000000,4.583918,4.566888,0.016905,0.032500,0.145292,0.291709,634,8178212,147777,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,21.902375,21.654493,21.617720,0.000000,0.000208,0.000000,0.000000,0.038042,0.011042,0.938333,640,8025265,136221,0,302,0,302,0,0,0,0,0,0,23191,14400,4680,4111,0
60,11.486834,11.473626,6.662206,0.000000,4.952709,4.952430,0.000195,0.028833,0.118667,0.304625,637,8168969,145697,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,21.562000,21.389002,21.385008,0.000000,0.000208,0.000000,0.000000,0.037916,0.045875,0.945375,640,8071765,147643,0,302,0,302,0,0,0,0,0,0,21307,14400,3510,3397,0
62,11.806333,11.745306,6.509788,0.000000,5.256541,5.226553,0.029905,0.026750,0.114667,1.004333,643,8137916,132155,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
63,21.647792,21.445529,21.443541,0.000000,0.000207,0.000000,0.000000,0.030458,0.015667,0.716249,637,8040866,145100,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
64,11.725000,11.721428,6.713089,0.000000,5.096083,5.090721,0.005279,0.028125,0.111500,0.643625,641,8169114,143038,0,2,0,2,0,0,0,0,0,0,6038,0,3630,2408,0
65,21.446958,21.248949,21.255489,0.000000,0.000208,0.000000,0.000000,0.028333,0.015834,1.235166,645,8040585,137063,0,302,0,302,0,0,0,0,0,0,22466,14400,4560,3506,0
66,11.975625,11.917624,6.522215,0.000000,5.473291,5.366513,0.106737,0.028625,0.062458,0.628750,635,8138135,139161,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,21.496292,21.355968,21.337093,0.000000,0.000250,0.000000,0.000000,0.045541,0.013084,1.251916,638,8071751,143482,0,302,0,302,0,0,0,0,0,0,21298,14400,3510,3388,0
68,11.749208,11.813841,6.886591,0.000000,4.979292,4.979095,0.000155,0.030125,0.196583,0.620625,649,8215168,140960,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
69,21.607125,21.295392,21.288561,0.000000,0.000251,0.000000,0.000000,0.033125,0.010083,1.241125,636,7994511,135625,0,302,0,302,0,0,0,0,0,0,21312,14400,3510,3402,0
70,11.786208,11.859998,6.470845,0.000000,5.419875,5.366429,0.053280,0.026042,0.187833,0.611708,642,8168860,135405,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
71,21.429875,21.147020,21.090079,0.000000,0.000249,0.000000,0.000000,0.031209,0.015833,0.955666,637,8040874,138241,0,302,0,302,0,0,0,0,0,0,21323,14400,3510,3413,0
72,11.937834,11.985736,6.434055,0.000000,5.586875,5.493180,0.093654,0.023291,0.164375,0.648584,639,8199895,143014,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
73,21.836791,21.586952,21.454422,0.000000,0.000250,0.000000,0.000000,0.047042,0.010583,1.006459,642,8009790,129727,0,302,0,302,0,0,0,0,0,0,23128,14400,4680,4048,0
74,11.573209,11.548295,6.703999,0.000000,4.929624,4.929386,0.000155,0.034291,0.083667,0.322625,637,8168981,136562,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
75,21.910083,21.748676,21.753091,0.000000,0.000417,0.000000,0.000000,0.054417,0.015375,0.938292,639,8056341,137677,0,302,0,302,0,0,0,0,0,0,21374,14400,3510,3464,0
76,11.583292,11.490984,6.711641,0.000000,4.847625,4.846013,0.001487,0.059125,0.021291,0.317208,639,8122510,126722,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
77,21.550750,21.441588,21.415402,0.000000,0.000375,0.000000,0.000000,0.039458,0.049583,0.919000,640,8102587,139555,0,302,0,302,0,0,0,0,0,0,20602,14400,3510,2692,0
78,11.708416,11.630921,6.209956,0.000000,5.452167,5.376680,0.075404,0.022542,0.090958,1.209792,630,8107256,130209,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
