frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
55279,17.660333,17.549901,17.556551,0.000000,0.000375,0.000000,0.000000,0.056875,0.017209,0.921500,634,8111952,137828,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55280,16.147250,16.033209,16.018318,0.000000,0.000458,0.000000,0.000000,0.059584,0.020083,0.648167,632,8106372,135262,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55281,16.381417,16.227378,16.192998,0.000000,0.461667,0.461194,0.000098,0.057000,0.018708,0.922833,638,8103237,132331,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55282,16.456792,16.228200,16.199651,0.000000,0.000458,0.000000,0.000000,0.058291,0.015250,1.321834,635,8091760,138289,0,2,0,2,0,0,0,0,0,0,5719,0,3510,2209,0
55283,17.210875,17.174703,17.183673,0.000000,0.000458,0.000000,0.000000,0.054791,0.038417,0.643792,631,8122601,142809,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55284,16.490250,16.328373,16.312341,0.000000,0.000333,0.000000,0.000000,0.066208,0.013958,0.940916,641,8107047,136404,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55285,16.704583,16.664385,16.585587,0.000000,0.468001,0.467527,0.000223,0.063167,0.046625,0.633834,633,8115456,138974,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55286,16.645583,16.398739,16.319995,0.000000,0.441208,0.440777,0.000140,0.053917,0.018833,1.189750,630,8083826,135526,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55287,16.483375,16.334687,16.290938,0.000000,0.751292,0.750986,0.000098,0.057792,0.019125,0.300750,642,8106841,134392,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55288,17.112917,17.155064,17.114198,0.000000,0.653499,0.653110,0.000098,0.062250,0.052458,1.250874,636,8138146,139344,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55289,16.525042,16.319761,16.271880,0.000000,0.549333,0.549027,0.000098,0.053125,0.011750,0.656500,629,8091804,134697,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55290,16.409041,16.205799,16.105438,0.000000,0.489541,0.479027,0.010181,0.052584,0.020750,1.260375,640,8091604,133413,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55291,17.107250,16.986707,16.961697,0.000000,0.000418,0.000000,0.000000,0.063709,0.031750,0.953917,631,8107257,136840,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55292,16.476584,16.449953,16.409757,0.000000,0.293791,0.293485,0.000140,0.070500,0.013208,0.627459,634,8122818,138153,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55293,17.005541,16.849652,16.813918,0.000000,0.000625,0.000000,0.000000,0.064834,0.014041,0.597875,639,8106938,133176,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55294,18.535625,18.395128,18.401701,0.000000,0.001333,0.000000,0.000000,0.078250,0.015042,0.700792,633,8107349,138453,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55295,16.999292,16.899021,16.856039,0.000000,0.000417,0.000000,0.000000,0.100792,0.015166,0.291792,631,8107153,136043,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55296,17.456250,17.208870,16.857227,0.000000,0.000625,0.000000,0.000000,0.079208,0.017250,0.601167,640,8091619,132859,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55297,17.161000,17.102891,17.005325,0.000000,0.000583,0.000000,0.000000,0.077333,0.014417,0.289625,634,8122727,138545,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55298,16.973375,16.835806,16.810192,0.000000,0.000375,0.000000,0.000000,0.058458,0.012959,0.905041,632,8107222,135828,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55299,16.984292,16.907451,16.905622,0.000000,0.000375,0.000000,0.000000,0.085125,0.027083,1.152458,641,8122496,132553,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55300,17.789166,17.598688,17.621719,0.000000,0.000625,0.000000,0.000000,0.077042,0.015042,0.609958,628,8091834,139625,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55301,16.151459,16.017449,15.993456,0.000000,0.000417,0.000000,0.000000,0.071083,0.018125,1.043083,633,8107241,135744,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55302,16.470375,16.380599,16.327300,0.000000,0.000583,0.000000,0.000000,0.080041,0.022542,0.607792,638,8107084,133972,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55303,16.602458,16.459286,16.417999,0.000000,0.000374,0.000000,0.000000,0.078833,0.026209,1.268667,634,8107208,138748,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55304,17.693375,17.542456,17.175793,0.000000,0.000583,0.000000,0.000000,0.070542,0.014458,0.609375,632,8108059,135961,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55305,16.508875,16.431921,16.136588,0.000000,0.000501,0.000000,0.000000,0.083667,0.023916,0.874500,641,8106410,133888,0,2,0,2,0,0,0,0,0,0,7337,0,4680,2657,0
55306,20.298667,20.130401,19.583639,0.000000,0.000500,0.000000,0.000000,0.086833,0.017958,0.640625,632,8122490,143240,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55307,18.077041,17.867199,17.607613,0.000000,0.000501,0.000000,0.000000,0.061542,0.015042,0.592917,633,8091784,138396,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55308,16.577042,16.499944,16.465715,0.000000,0.000416,0.000000,0.000000,0.109417,0.016750,0.447292,641,8122498,140732,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55309,15.982667,15.793277,15.812759,0.000000,0.000542,0.000000,0.000000,0.069583,0.012667,0.961834,632,8107302,138141,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55310,16.009083,15.898665,15.911322,0.000000,0.000458,0.000000,0.000000,0.060375,0.016417,0.650458,629,8107370,138476,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55311,17.065917,16.882134,16.847507,0.000000,0.000333,0.000000,0.000000,0.061416,0.013959,1.510125,639,8091596,138144,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55312,17.131708,17.001656,17.004252,0.000000,0.000252,0.000000,0.000000,0.081667,0.016208,0.474125,633,8107105,138498,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55313,17.053875,17.026752,17.004806,0.000000,0.000292,0.000000,0.000000,0.081292,0.027041,0.718291,642,8138134,141383,0,2,0,2,0,0,0,0,0,0,7184,0,4656,2528,0
55314,16.434792,16.280244,16.293202,0.000000,0.000208,0.000000,0.000000,0.076333,0.014292,0.933959,632,8091611,141441,0,2,0,2,0,0,0,0,0,0,5430,0,3534,1896,0
55315,16.360541,16.223789,16.239795,0.000000,0.000249,0.000000,0.000000,0.061250,0.012917,0.474583,633,8107339,142507,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55316,16.417792,16.247745,16.269162,0.000000,0.000334,0.000000,0.000000,0.065458,0.018209,0.906542,640,8091585,141226,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55317,16.621750,16.544027,16.543578,0.000000,0.000333,0.000000,0.000000,0.066083,0.014500,0.468583,631,8122785,144280,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55318,16.585458,16.452124,16.432342,0.000000,0.000415,0.000000,0.000000,0.075500,0.013334,0.817459,633,8107110,141602,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55319,17.086709,16.983712,16.963746,0.000000,0.000376,0.000000,0.000000,0.075125,0.019333,0.634208,660,8106806,140163,0,2,0,2,0,0,0,0,0,0,9249,0,4680,4569,0
55320,17.095791,16.912554,16.910932,0.000000,0.000208,0.000000,0.000000,0.066500,0.042042,0.798708,632,8091727,143481,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55321,16.679209,16.555093,16.546559,0.000000,0.000335,0.000000,0.000000,0.068416,0.021667,0.479375,633,8122937,141544,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55322,16.856750,16.729273,16.686896,0.000000,0.000417,0.000000,0.000000,0.067083,0.028000,1.262334,641,8091383,138958,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55323,16.940750,16.841846,16.821171,0.000000,0.000582,0.000000,0.000000,0.063625,0.014000,1.299500,634,8122670,144032,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55324,16.367791,16.189385,16.205110,0.000000,0.000292,0.000000,0.000000,0.074417,0.016667,0.575125,629,8091836,143021,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55325,16.553959,16.470673,16.468815,0.000000,0.000251,0.000000,0.000000,0.064875,0.020416,0.931916,642,8122470,140060,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55326,16.696916,16.537576,16.525282,0.000000,0.000418,0.000000,0.000000,0.068917,0.016292,0.351750,629,8107258,143365,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55327,16.441875,16.261365,16.263478,0.000000,0.000459,0.000000,0.000000,0.080000,0.034250,0.655208,631,8091963,141678,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55328,16.814917,16.795236,16.792027,0.000000,0.000375,0.000000,0.000000,0.070625,0.021917,0.444375,643,8122474,140396,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55329,17.379833,17.230203,17.231873,0.000000,0.000417,0.000000,0.000000,0.072459,0.015541,0.788708,632,8114742,143670,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55330,16.605250,16.463883,16.457844,0.000000,0.000415,0.000000,0.000000,0.067125,0.047584,0.921000,631,8084192,139827,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55331,15.955459,15.805065,15.803576,0.000000,0.000376,0.000000,0.000000,0.071166,0.050125,0.297458,641,8107049,134252,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
