frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
7330,207.248375,205.478095,180.018052,0.000000,25.596954,23.215122,2.378128,0.067834,0.020958,10.719961,10881,137788156,7372252,0,34,0,34,0,0,0,0,0,0,161012,0,66690,94322,0
7331,16.609542,16.460735,12.725162,0.000000,4.340751,4.293666,0.047085,0.049833,0.029667,0.698083,633,8091828,505094,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7332,16.762000,16.689074,12.552958,0.000000,4.624916,4.565444,0.059347,0.042500,0.056583,0.811667,634,8122695,506646,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7333,16.720000,16.574834,12.374369,0.000000,4.852583,4.730860,0.121640,0.047458,0.016542,0.294375,640,8091652,498103,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7334,16.678542,16.619337,12.953923,0.000000,4.366083,4.346444,0.019348,0.075250,0.021916,0.615792,636,8122683,505243,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7335,16.570541,16.507046,12.691402,0.000000,4.601625,4.496777,0.104764,0.054959,0.093291,0.543334,636,8138151,506619,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7336,16.715125,16.525112,12.106129,0.000000,4.970458,4.855193,0.115140,0.063292,0.014542,0.614208,636,8060751,493126,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7337,16.679959,16.556832,12.192919,0.000000,5.042500,4.908610,0.133806,0.039791,0.009292,0.982376,634,8107258,501683,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7338,16.736041,16.662415,12.509754,0.000000,4.729416,4.634569,0.094764,0.058042,0.017375,0.308542,635,8107258,500964,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7339,16.699959,16.567251,12.906925,0.000000,4.398168,4.335985,0.062099,0.050333,0.012667,0.984209,639,8091638,494645,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7340,16.529541,16.524346,12.453357,0.000000,4.703459,4.629124,0.074335,0.058417,0.092000,0.308083,639,8169034,505216,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7341,16.815500,16.726290,12.318745,0.000000,5.041709,4.876111,0.165515,0.052375,0.131917,0.979750,636,8122735,500258,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7342,16.871167,16.678466,12.652635,0.000000,4.699917,4.552902,0.146890,0.060125,0.016917,0.292125,637,8076200,490249,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7343,16.430833,16.309999,12.582666,0.000000,4.457125,4.372694,0.084348,0.046625,0.023000,0.602459,632,8076335,494574,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7344,16.680334,16.569484,12.308946,0.000000,4.842207,4.718360,0.123764,0.051458,0.023042,1.075209,636,8107217,496641,0,2,0,2,0,0,0,0,0,0,5407,0,3510,1897,0
7345,16.810208,16.685053,12.389285,0.000000,4.970792,4.775444,0.195265,0.048125,0.015125,0.643958,635,8076221,488147,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7346,16.555792,16.479047,12.912795,0.000000,4.178917,4.178527,0.000265,0.067000,0.031791,0.964543,636,8153614,499528,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7347,16.684583,16.569713,12.518361,0.000000,4.050834,3.896194,0.154556,0.065750,0.016042,0.290333,631,8091783,495578,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7348,16.831875,16.712999,12.422517,0.000000,5.075083,4.857860,0.217140,0.045042,0.021416,0.591875,640,8113909,489064,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7349,16.040417,16.418717,12.629377,0.000000,4.872083,4.743707,0.128376,0.034333,0.540583,0.612625,698,8980873,432972,0,2,0,2,0,0,0,0,0,0,6944,0,4536,2408,0
7350,18.447708,17.887322,6.098625,0.000000,11.068417,9.409236,1.658931,0.111875,0.023458,0.897459,581,7365890,49617,0,2,0,2,0,0,0,0,0,0,20764,0,2484,18280,0
7351,2901.640500,2882.466703,1719.539756,0.000000,1221.608957,1148.447926,73.158447,0.146542,0.029166,156.636824,110446,1410588809,65718797,0,348,0,348,0,0,0,0,0,0,1180570,0,680940,499630,0
7352,16.643750,16.452326,13.739122,0.000000,3.300292,3.299832,0.000460,0.050667,0.049166,1.245917,644,8060313,400568,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7353,16.669167,16.580442,13.668753,0.000000,3.364750,3.364290,0.000460,0.034416,0.087167,0.622375,651,8122023,405362,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
