frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
19790,19.789375,19.704037,19.697764,0.000000,0.000457,0.000000,0.000000,0.086459,0.018333,1.231543,634,8122956,137310,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19791,20.646042,20.454129,20.463456,0.000000,0.000334,0.000000,0.000000,0.075583,0.023292,0.983209,639,8091475,139099,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19792,21.184542,21.064790,21.067251,0.000000,0.000458,0.000000,0.000000,0.084541,0.039042,0.587833,633,8122619,138977,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19793,21.976291,21.749289,21.450994,0.000000,0.000500,0.000000,0.000000,0.080917,0.020917,0.581000,632,8091791,137667,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19794,22.198709,22.079665,22.099135,0.000000,0.000541,0.000000,0.000000,0.077541,0.026584,0.911083,640,8122470,139460,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19795,22.629541,22.464836,22.369866,0.000000,0.000499,0.000000,0.000000,0.076167,0.024458,1.250500,631,8107259,140643,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19796,20.026000,19.867420,19.885624,0.000000,0.000291,0.000000,0.000000,0.064500,0.036709,0.447667,632,8107467,139140,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19797,19.560000,19.408323,19.427123,0.000000,0.000291,0.000000,0.000000,0.072125,0.014459,1.159874,640,8105771,138315,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19798,19.938667,19.710499,19.728336,0.000000,0.000292,0.000000,0.000000,0.065708,0.019875,1.226375,631,8092941,140114,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19799,19.894292,19.818684,19.800002,0.000000,0.000252,0.000000,0.000000,0.077125,0.028208,1.056334,633,8122671,140040,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19800,19.826791,19.605585,19.623295,0.000000,0.000251,0.000000,0.000000,0.072292,0.022000,1.232291,640,8091594,138351,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19801,19.752959,19.596577,19.615837,0.000000,0.000208,0.000000,0.000000,0.070708,0.013208,1.074918,632,8107244,140125,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19802,19.448166,19.315448,19.314872,0.000000,0.000333,0.000000,0.000000,0.071875,0.020292,1.214792,633,8107249,135601,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19803,19.516417,19.385528,19.397862,0.000000,0.000208,0.000000,0.000000,0.065958,0.019750,0.613209,642,8122489,135182,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19804,19.719375,19.527791,19.550928,0.000000,0.000210,0.000000,0.000000,0.064000,0.014333,1.234125,631,8091859,139889,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
