frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
13421,16.734542,16.526958,16.444370,0.000000,0.002418,0.000000,0.000000,0.109791,0.018167,0.303458,640,8091587,129085,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13422,27.945541,28.112508,22.577217,0.000000,0.001001,0.000000,0.000000,0.184542,0.310417,0.925042,633,8107264,132215,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13423,21.935042,21.416940,20.504119,0.000000,0.000543,0.000000,0.000000,0.112667,0.020000,0.602958,630,8091829,129572,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13424,19.127000,19.116422,18.477330,0.000000,0.000416,0.000000,0.000000,0.141792,0.044666,0.606458,643,8153360,129189,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13425,22.123250,21.915387,20.359370,0.000000,0.000292,0.000000,0.000000,0.099583,0.019959,0.582834,630,8091928,131305,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13426,15.672583,15.535267,15.511814,0.000000,0.000416,0.000000,0.000000,0.094209,0.014916,0.679833,639,8153328,135312,0,2,0,2,0,0,0,0,0,0,5816,0,3510,2306,0
13427,17.549792,17.404172,17.379543,0.000000,0.000251,0.000000,0.000000,0.078333,0.022209,1.382209,635,8045222,142543,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13428,16.316250,16.202039,16.151105,0.000000,0.000250,0.000000,0.000000,0.080125,0.036542,0.480792,632,8107261,134722,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13429,15.823083,15.613589,15.605123,0.000000,0.000417,0.000000,0.000000,0.070917,0.020083,0.967167,629,8091867,133761,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13430,14.963584,14.777685,14.735128,0.000000,0.000585,0.000000,0.000000,0.064958,0.019125,0.659500,639,8091582,132295,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13431,17.130791,17.159837,17.154244,0.000000,0.000333,0.000000,0.000000,0.086792,0.033750,0.909625,637,8153618,141101,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13432,16.343459,16.236874,16.207708,0.000000,0.000792,0.000000,0.000000,0.119666,0.017417,0.374833,631,8091750,131584,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13433,16.800125,16.615459,16.629460,0.000000,0.000833,0.000000,0.000000,0.121500,0.025625,0.633625,642,8107083,131911,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13434,17.295083,17.142410,17.132942,0.000000,0.000708,0.000000,0.000000,0.115417,0.017458,0.990124,631,8107240,134273,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13435,16.995167,16.833760,16.810542,0.000000,0.000667,0.000000,0.000000,0.139375,0.017791,0.291042,632,8107252,132787,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13436,17.265000,17.267689,17.071674,0.000000,0.000583,0.000000,0.000000,0.099875,0.056833,0.624583,641,8122526,131498,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13437,16.433708,16.249335,16.193364,0.000000,0.000291,0.000000,0.000000,0.075542,0.016500,0.289834,639,8153466,136637,0,2,0,2,0,0,0,0,0,0,5642,0,3510,2132,0
13438,17.197250,17.032673,17.055295,0.000000,0.000250,0.000000,0.000000,0.066708,0.055417,1.219249,627,8030064,149223,0,2,0,2,0,0,0,0,0,0,5546,0,3510,2036,0
