frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.954500,0.018250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3228.250792,2981.361574,2286.903686,0.000000,830.103291,808.295001,26.849818,2.135042,0.030958,150.529463,124952,1466922863,101930576,0,348,14,334,0,0,0,0,0,0,1086743,512,635755,450391,85
2,17.074625,15.012115,3.801682,0.000000,11.219500,4.449056,1.722750,0.056167,0.021000,1.023875,355,4539900,81258,0,0,0,0,0,0,0,0,0,0,4884,0,2340,2544,0
3,1650.820458,1641.152511,1172.872985,0.000000,523.195666,522.370295,0.824870,0.816542,0.026333,85.449089,62919,803093399,51012613,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,17.653542,16.803502,6.653205,0.000000,10.125374,8.768749,1.356584,0.054083,0.048667,0.977333,596,7643900,137932,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,22.430417,22.304646,22.273519,0.000000,0.000251,0.000000,0.000000,0.053166,0.028917,0.970542,642,8104798,182313,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,9.941875,9.867805,7.306795,0.000000,2.704000,2.690056,0.013861,0.035583,0.075458,0.484333,639,8120376,167622,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,22.196583,22.045389,22.045680,0.000000,0.000167,0.000000,0.000000,0.048750,0.025833,0.679416,641,8087109,184089,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,11.559167,11.427829,6.891125,0.000000,4.532917,4.033638,0.499153,0.038250,0.016375,0.477667,633,8091775,168477,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,22.072958,21.992735,21.988386,0.000000,0.000293,0.000000,0.000000,0.050625,0.021583,0.939459,650,8117870,175781,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
