frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.663833,0.048209,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3198.685417,2980.399099,2351.470217,0.000000,769.603832,767.661054,1.932738,0.481666,0.128292,149.994304,124743,1464482930,101973516,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,17.469000,16.852918,5.537184,0.000000,11.466083,11.369750,0.096250,0.068083,0.024458,1.315083,546,6979796,91129,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,1652.391833,1642.113604,1260.984311,0.000000,500.094834,499.728079,0.363172,0.356000,0.021583,84.098543,62891,802784516,50990072,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,15.638083,15.286455,7.687292,0.000000,8.133083,8.050499,0.082501,0.052417,0.068750,0.908750,621,7952785,164049,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,22.562334,22.385906,22.334117,0.000000,0.000249,0.000000,0.000000,0.043833,0.014875,0.970541,641,8087191,180829,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,10.755833,10.737806,7.435163,0.000000,3.556709,3.547764,0.008903,0.032083,0.113625,0.677208,644,8153376,170418,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,21.635417,21.439664,21.440248,0.000000,0.000291,0.000000,0.000000,0.037291,0.013042,1.132959,639,8040824,180173,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,11.727166,11.725233,7.011061,0.000000,4.896709,4.896346,0.000280,0.028209,0.139541,0.645375,636,8184483,176335,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,21.645709,21.431375,21.432415,0.000000,0.000249,0.000000,0.000000,0.029750,0.019916,1.112918,645,8040611,172396,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
