frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.664375,0.019875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3261.974667,2973.948709,2303.349659,0.000000,747.334830,721.469304,25.851817,1.032125,0.026000,156.611915,124815,1465085278,101907695,0,346,14,332,0,0,0,0,0,0,1086556,512,635628,450331,85
2,18.474083,17.426659,5.711413,0.000000,12.390042,11.201874,1.188126,0.062708,0.015042,1.238166,493,6377497,88753,0,2,0,2,0,0,0,0,0,0,5071,0,2467,2604,0
3,1650.538875,1640.998088,1226.915366,0.000000,476.147297,475.639123,0.507339,1.267042,0.023333,84.736956,62955,803386851,51042990,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,17.305708,15.985744,5.970486,0.000000,9.995293,8.696290,1.298919,0.038584,0.028250,0.922083,573,7334997,111816,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,22.727209,22.597316,22.597921,0.000000,0.000208,0.000000,0.000000,0.036833,0.015667,0.895792,643,8102638,182132,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,9.606500,9.595218,7.470057,0.000000,2.547208,2.546638,0.000445,0.035375,0.106166,0.630000,645,8168865,173494,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,22.115666,21.908510,21.873252,0.000000,0.000291,0.000000,0.000000,0.043625,0.032792,0.662375,639,8040779,180178,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,11.723917,11.620026,6.992531,0.000000,4.590208,4.076179,0.513779,0.034583,0.024459,0.300584,630,8091780,171554,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,22.560708,22.460038,22.403565,0.000000,0.000333,0.000000,0.000000,0.036292,0.022083,1.383792,651,8117902,177217,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,10.386834,10.363300,7.403096,0.000000,2.997083,2.994304,0.002571,0.047500,0.083791,0.307750,635,8138351,176440,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,22.228375,22.035174,22.021517,0.000000,0.000251,0.000000,0.000000,0.048916,0.014875,0.962625,645,8071504,176500,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11.594750,11.464899,6.829869,0.000000,4.618708,4.095930,0.522528,0.032041,0.011709,0.298416,640,8091603,164650,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,22.122791,22.038490,22.040589,0.000000,0.000292,0.000000,0.000000,0.035125,0.013292,1.129834,642,8118085,184886,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,11.006250,10.882275,6.697077,0.000000,4.193625,3.811304,0.382196,0.029917,0.007875,1.312625,631,8091793,164562,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,22.047834,21.965196,21.970091,0.000000,0.000208,0.000000,0.000000,0.026166,0.023042,1.085208,653,8117887,178558,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,11.484708,11.348746,6.642336,0.000000,4.710792,4.155888,0.554654,0.028375,0.020042,0.609750,630,8091782,167926,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,21.783792,21.659536,21.659878,0.000000,0.000167,0.000000,0.000000,0.029500,0.016666,1.276959,640,8087190,174575,0,302,0,302,0,0,0,0,0,0,22365,14400,4317,3648,0
18,11.585333,11.506169,6.790173,0.000000,4.715750,4.160222,0.555403,0.025458,0.015542,0.657334,642,8122513,165533,0,2,0,2,0,0,0,0,0,0,5889,0,3873,2016,0
19,21.903542,21.810208,21.817297,0.000000,0.000333,0.000000,0.000000,0.040125,0.008916,1.283126,642,8102622,179276,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,11.487250,11.371882,6.733766,0.000000,4.641498,4.103429,0.537987,0.027958,0.017083,0.645250,641,8107075,157373,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,21.964583,21.852989,21.836576,0.000000,0.000207,0.000000,0.000000,0.037417,0.010791,1.273876,642,8102589,177598,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,11.305625,11.200467,6.649639,0.000000,4.559417,4.055638,0.503570,0.024458,0.008542,0.644833,631,8107246,166334,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,21.791750,21.709264,21.702443,0.000000,0.000167,0.000000,0.000000,0.037750,0.010583,1.092541,648,8117913,168533,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,11.757500,11.621589,6.562702,0.000000,5.062874,4.389888,0.672903,0.026708,0.014042,0.302167,633,8091760,162709,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,21.856125,21.752622,21.734760,0.000000,0.000292,0.000000,0.000000,0.027500,0.010625,1.112874,641,8087204,174020,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,11.442750,11.341868,6.599917,0.000000,4.750917,4.181179,0.569571,0.026375,0.015083,0.655583,638,8107032,153712,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,21.914708,21.822764,21.832714,0.000000,0.000251,0.000000,0.000000,0.030750,0.018792,0.769584,644,8133529,175771,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,11.383542,11.275416,6.570777,0.000000,4.701625,4.148305,0.553070,0.027708,0.021125,0.305667,632,8096635,160490,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,21.839667,21.721125,21.713913,0.000000,0.000166,0.000000,0.000000,0.026208,0.015667,0.792584,647,8097602,162153,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,11.579125,11.483583,6.617300,0.000000,4.849626,4.249013,0.600445,0.025916,0.007959,1.073125,634,8107226,161292,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,22.063458,22.005535,21.906442,0.000000,0.000208,0.000000,0.000000,0.041458,0.045542,0.905082,643,8133523,173442,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,11.281167,11.118520,6.531095,0.000000,4.582374,4.070179,0.512071,0.027791,0.008084,0.656042,638,8076155,146980,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,21.972375,21.888212,21.852285,0.000000,0.000332,0.000000,0.000000,0.033666,0.019500,0.995166,642,8102603,171050,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,11.369666,11.258200,6.688464,0.000000,4.559708,4.053805,0.505737,0.024375,0.024959,0.643166,632,8107256,157471,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,21.765417,21.667554,21.619947,0.000000,0.000209,0.000000,0.000000,0.030542,0.027458,1.238458,647,8102468,160838,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,11.187000,11.171044,7.470711,0.000000,4.487040,4.472429,0.014570,0.026333,0.126209,0.608959,639,8168997,161375,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,22.079667,21.879741,21.854574,0.000000,0.000250,0.000000,0.000000,0.030833,0.016750,0.955876,637,8029412,160815,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,12.010166,11.899923,6.609314,0.000000,5.295709,4.542804,0.752779,0.022959,0.008125,0.608833,641,8118493,146563,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,22.031000,21.928506,21.911366,0.000000,0.000166,0.000000,0.000000,0.031917,0.009542,1.264167,644,8118055,167048,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,10.897084,10.775716,6.470789,0.000000,4.298125,3.881221,0.416737,0.032625,0.009166,0.609667,631,8091855,152251,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,21.614666,21.508424,21.472463,0.000000,0.000167,0.000000,0.000000,0.026417,0.016583,1.272459,649,8102411,156319,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,12.225500,12.131335,6.491451,0.000000,5.641375,4.777347,0.863862,0.023167,0.014708,0.458166,634,8122664,153558,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,21.564750,21.446161,21.442415,0.000000,0.000166,0.000000,0.000000,0.030125,0.024709,0.952459,638,8087196,165486,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
