frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
22970,19.599500,19.305630,19.271489,0.000000,0.000292,0.000000,0.000000,0.070208,0.021834,0.608125,639,8076299,125150,0,2,0,2,0,0,0,0,0,0,7530,0,4680,2850,0
22971,21.761958,21.673455,21.651169,0.000000,0.000376,0.000000,0.000000,0.070084,0.017958,0.917416,633,8122456,129728,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22972,20.190167,20.001595,20.001746,0.000000,0.003959,0.000000,0.000000,0.061083,0.018209,0.808917,632,8107264,124993,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22973,20.168083,20.102963,20.104247,0.000000,0.000250,0.000000,0.000000,0.085917,0.048708,0.908834,641,8122536,124768,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
22974,21.001792,20.822741,20.764050,0.000000,0.000458,0.000000,0.000000,0.083458,0.055417,0.944417,631,8107195,125454,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22975,20.091583,19.917374,19.928162,0.000000,0.000499,0.000000,0.000000,0.075584,0.029458,0.945250,633,8120105,125611,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22976,20.075875,19.873442,19.883331,0.000000,0.000417,0.000000,0.000000,0.072875,0.025042,1.316458,638,8078755,122290,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
22977,20.214209,20.007881,20.027294,0.000000,0.000416,0.000000,0.000000,0.063041,0.017750,1.299959,632,8107253,124585,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22978,20.223208,20.082380,20.092420,0.000000,0.000542,0.000000,0.000000,0.069083,0.020917,1.263292,648,8122828,125997,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22979,19.969625,19.797955,19.809461,0.000000,0.000291,0.000000,0.000000,0.076917,0.025916,1.070000,639,8099084,122819,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
22980,19.567417,19.397630,19.408083,0.000000,0.000458,0.000000,0.000000,0.064166,0.020834,0.359542,636,8132360,130512,0,2,0,2,0,0,0,0,0,0,5574,0,3510,2064,0
22981,21.823833,21.644310,21.616864,0.000000,0.000250,0.000000,0.000000,0.080333,0.020500,1.539500,626,8074631,130789,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22982,20.353833,20.244703,20.232718,0.000000,0.000417,0.000000,0.000000,0.068500,0.026875,0.346459,642,8122455,125749,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
22983,19.985459,19.752535,19.755989,0.000000,0.000584,0.000000,0.000000,0.064166,0.015334,0.940958,632,8096325,124360,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22984,20.256125,20.135268,20.124968,0.000000,0.000667,0.000000,0.000000,0.065333,0.018083,0.940292,631,8114744,125404,0,2,0,2,0,0,0,0,0,0,5507,0,3510,1997,0
22985,20.397583,20.173052,20.191671,0.000000,0.000208,0.000000,0.000000,0.082250,0.029250,0.925875,659,8094697,125718,0,2,0,2,0,0,0,0,0,0,9148,0,4680,4468,0
22986,19.747917,19.597259,19.614342,0.000000,0.000416,0.000000,0.000000,0.065041,0.022709,0.955125,632,8107287,123755,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
