frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0,-1,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.650041,0.021750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1464168420,0.577833,-0.034167,0.034167,0.677917,121456,450,-0.280167,-0.280083,3230.201833,2980.638825,2356.322779,0.000000,763.581791,759.059101,4.508732,0.677208,0.073834,151.018613,124772,1464637312,101946032,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,1,3,1,1472276520,-0.133625,-0.033834,0.033834,0.068375,515,2,-1.595403,-1.549125,17.394792,16.636664,5.244318,0.000000,11.271460,11.049792,0.221584,0.068083,0.020750,0.609125,533,6825478,90522,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,2,103,1,2274978420,-1.353541,-0.032666,0.032666,0.765459,60922,291,-27.252430,-27.252333,1652.869916,1642.962173,1253.902744,0.000000,501.407286,500.719878,0.686950,0.765125,0.026584,81.908258,62908,803062483,51011515,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,3,105,1,2283086520,0.127042,-0.038541,0.038541,0.127042,582,2,-1.334736,-1.319083,15.202750,14.445489,7.528932,0.000000,7.492792,7.476958,0.015709,0.049542,0.089208,0.788083,605,7705717,143159,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,4,107,1,2291194620,-4.951959,-0.037542,0.037542,0.036916,615,0,-23.097070,-23.081417,21.762334,21.556376,21.545302,0.000000,0.000374,0.000000,0.000000,0.036708,0.013167,1.231709,639,8040821,179257,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,5,109,1,2299302720,0.145792,-0.037458,0.037458,0.145875,616,2,-0.712208,-0.712125,11.585583,11.583381,6.976509,0.000000,4.750084,4.749890,0.000152,0.019708,0.137542,0.626708,643,8168827,173493,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,6,111,1,2307410820,-4.903875,-0.053833,0.053833,0.046042,612,0,-22.445208,-22.445125,21.733000,21.533865,21.527685,0.000000,0.000208,0.000000,0.000000,0.045750,0.015417,1.059166,638,8056294,181483,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,7,113,1,2315518920,0.142583,-0.039875,0.039875,0.142667,616,2,-0.715417,-0.715333,11.636875,11.636470,7.002712,0.000000,4.819834,4.819513,0.000237,0.025958,0.142209,0.610958,637,8153535,173695,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,8,115,1,2323627020,-4.963000,-0.057292,0.057292,0.025291,612,0,-22.504334,-22.504250,21.788917,21.548085,21.554960,0.000000,0.000208,0.000000,0.000000,0.025125,0.009666,0.947833,644,8040635,171957,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,9,117,1,2331735120,0.088125,-0.042292,0.042292,0.088167,615,2,-0.769875,-0.769708,11.632208,11.620966,6.893968,0.000000,4.897584,4.897222,0.000320,0.023583,0.088875,0.616958,635,8144754,176979,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,10,119,1,2339843220,-4.934959,-0.055542,0.055542,0.022708,621,0,-22.476292,-22.476125,21.706417,21.507118,21.513984,0.000000,0.000167,0.000000,0.000000,0.022541,0.016084,0.895541,646,8065145,175965,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11,121,1,2347951320,0.084542,-0.037375,0.037375,0.084708,616,1,-1.377236,-1.377083,11.663833,11.634664,6.889826,0.000000,4.816875,4.816556,0.000153,0.035458,0.062500,0.298166,643,8137934,168569,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,12,123,1,2356059420,-5.347542,-0.050959,0.050959,0.029125,615,0,-23.492653,-23.492500,22.115417,21.938523,21.933133,0.000000,0.000126,0.000000,0.000000,0.029041,0.013834,0.734334,640,8071749,180963,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,13,125,1,2364167520,0.092000,-0.039416,0.039416,0.092167,613,2,-0.766000,-0.765875,11.243791,11.190429,6.857028,0.000000,4.603583,4.603346,0.000195,0.020209,0.095583,0.761916,634,8123970,167303,0,2,0,2,0,0,0,0,0,0,6785,0,4377,2408,0
15,14,127,1,2372275620,-5.216416,-0.052166,0.052166,0.020042,617,0,-22.757750,-22.757625,21.991750,21.832501,21.836663,0.000000,0.000250,0.000000,0.000000,0.019917,0.013458,1.219416,648,8085678,175852,0,302,0,302,0,0,0,0,0,0,21469,14400,3813,3256,0
16,15,129,1,2380383720,0.149333,-0.036917,0.036917,0.149458,618,2,-0.708667,-0.708625,11.317584,11.340957,6.799662,0.000000,4.791416,4.791180,0.000195,0.021666,0.136084,0.451417,637,8174333,174909,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,16,131,1,2388491820,-4.961667,-0.034708,0.034708,0.040000,610,0,-22.503000,-22.502958,21.794333,21.582712,21.576966,0.000000,0.000207,0.000000,0.000000,0.039833,0.011209,0.742000,637,8020133,167596,0,302,0,302,0,0,0,0,0,0,22584,14400,4536,3648,0
18,17,133,1,2396599920,0.033750,-0.048209,0.048209,0.036250,615,2,-0.824250,-0.824125,11.687917,11.582777,7.091926,0.000000,4.596834,4.591098,0.005569,0.035958,0.011833,0.615833,640,8122475,165723,0,2,0,2,0,0,0,0,0,0,5670,0,3654,2016,0
19,18,135,1,2404708020,-5.371833,-0.054166,0.054166,0.043292,618,0,-22.913166,-22.913041,22.088916,21.990577,21.987851,0.000000,0.000208,0.000000,0.000000,0.043084,0.009625,1.067416,643,8118083,180592,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,19,137,1,2412816120,0.044750,-0.041666,0.041666,0.044875,613,2,-0.813250,-0.813125,11.266750,11.157113,7.038675,0.000000,4.371875,4.371596,0.000237,0.035584,0.017958,0.647416,640,8091604,156046,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
21,20,139,1,2420924220,-5.372833,-0.070125,0.070125,0.031625,617,0,-22.914167,-22.914042,22.100917,21.978101,21.983100,0.000000,0.000167,0.000000,0.000000,0.031417,0.016916,0.936667,643,8118055,178917,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
22,21,141,1,2429032320,0.073708,-0.037459,0.037459,0.073833,614,2,-0.784292,-0.784250,11.236792,11.170533,7.003157,0.000000,4.407959,4.407722,0.000195,0.034750,0.051000,0.613750,633,8107242,165315,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,22,143,1,2437140420,-5.154542,-0.093208,0.093208,0.044833,612,0,-22.695875,-22.695833,21.911583,21.783387,21.748525,0.000000,0.000249,0.000000,0.000000,0.044625,0.014208,0.890375,643,8071589,164136,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,23,145,1,2445248520,0.129792,-0.044708,0.044708,0.129917,619,2,-0.728208,-0.728083,11.399000,11.376716,7.366089,0.000000,4.240959,4.232556,0.008278,0.031125,0.111750,0.645667,640,8184454,174112,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,24,147,1,2453356620,-4.939417,-0.058917,0.058917,0.045750,613,0,-22.480750,-22.480625,21.752542,21.556831,21.554727,0.000000,0.000208,0.000000,0.000000,0.045666,0.009250,1.095375,638,8056321,174478,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,25,149,1,2461464720,0.054250,-0.041875,0.041875,0.058500,614,2,-0.803750,-0.798666,11.689666,11.629002,6.906004,0.000000,4.859542,4.840929,0.018571,0.027459,0.062875,0.609958,641,8122448,154750,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,26,151,1,2469572820,-5.102916,-0.061041,0.061041,0.036750,616,0,-22.644250,-22.639166,21.840500,21.691750,21.674281,0.000000,0.000165,0.000000,0.000000,0.036584,0.011000,0.773000,642,8087155,172444,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,27,153,1,2477680920,0.119458,-0.057375,0.057375,0.124583,617,2,-0.738542,-0.738375,11.460959,11.459500,6.893408,0.000000,4.769043,4.761181,0.007737,0.033291,0.114709,0.609167,637,8169036,166611,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,28,155,1,2485789020,-4.786542,-0.054000,0.054000,0.035958,611,0,-22.327875,-22.327708,21.589333,21.357666,21.353113,0.000000,0.000250,0.000000,0.000000,0.035792,0.012083,0.767792,642,8025258,156612,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,29,157,1,2493897120,0.125250,-0.053834,0.053834,0.125333,619,2,-0.732750,-0.732584,11.771542,11.771022,6.869535,0.000000,4.994333,4.982681,0.011610,0.038583,0.097750,0.582375,640,8168990,165309,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,30,159,1,2502005220,-5.375583,-0.035875,0.035875,0.059709,612,0,-22.916916,-22.916750,22.184166,22.010859,21.947715,0.000000,0.000542,0.000000,0.000000,0.059417,0.013792,0.584124,637,8056296,166814,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,31,161,1,2510113320,-0.018750,-0.062250,0.062250,0.046959,613,2,-0.876750,-0.876708,11.326500,11.196937,7.546373,0.000000,3.911584,3.911222,0.000154,0.046709,0.014791,0.448083,640,8107049,149596,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,32,163,1,2518221420,-5.790416,-0.041166,0.041166,0.040875,616,0,-23.331750,-23.331708,22.455000,22.356102,22.328037,0.000000,0.000291,0.000000,0.000000,0.040625,0.017042,1.038333,643,8096451,170530,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,33,165,1,2526329520,0.139250,-0.032167,0.032167,0.140125,614,2,-0.718750,-0.718625,10.753667,10.715175,7.107218,0.000000,3.938749,3.938305,0.000236,0.036875,0.115583,0.607500,633,8132429,159726,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,34,167,1,2534437620,-5.578417,-0.065333,0.065333,0.042583,614,0,-23.119750,-23.119625,22.401000,22.206589,22.187243,0.000000,0.000374,0.000000,0.000000,0.042375,0.009625,0.939334,645,8083439,157478,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,35,169,1,2542545720,-0.229125,-0.044959,0.044959,0.067041,611,1,-1.690903,-1.690625,11.334042,11.260211,7.106685,0.000000,4.239292,4.238806,0.000278,0.066791,0.014167,0.611500,632,8107229,157604,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,36,171,1,2550653820,-5.955458,-0.034583,0.034583,0.045959,616,0,-24.100569,-24.100291,22.409666,22.273004,22.181803,0.000000,0.000209,0.000000,0.000000,0.045625,0.016709,1.082792,640,8087192,165161,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
38,37,173,1,2558761920,0.046916,-0.045625,0.045625,0.047875,615,2,-0.811084,-0.789084,10.680959,10.591695,7.090813,0.000000,3.867875,3.845597,0.022153,0.039916,0.022542,0.608708,642,8122484,147154,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
39,38,175,1,2566870020,-5.142916,-0.052625,0.052625,0.039667,615,0,-22.684250,-22.662250,21.873166,21.735385,21.729495,0.000000,0.000208,0.000000,0.000000,0.039500,0.008834,1.254959,640,8087172,163426,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
40,39,177,1,2574978120,0.110000,-0.068667,0.068667,0.110250,617,2,-0.748000,-0.747833,11.430417,11.419165,6.849832,0.000000,4.766083,4.755472,0.010528,0.031542,0.090625,0.651209,637,8171287,158946,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,40,179,1,2583086220,-4.878042,-0.057583,0.057583,0.042917,616,0,-22.419375,-22.419208,21.671375,21.490388,21.464672,0.000000,0.000251,0.000000,0.000000,0.042708,0.015209,1.312750,647,8053863,152106,0,302,0,302,0,0,0,0,0,0,23497,14400,4680,4417,0
42,41,181,1,2591194320,0.117375,-0.056459,0.056459,0.123541,614,2,-0.740625,-0.735042,11.687917,11.665343,6.659106,0.000000,5.132083,5.126431,0.005611,0.031916,0.108875,0.308500,635,8153556,156531,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,42,183,1,2599302420,-5.055958,-0.036000,0.036000,0.036750,610,0,-22.597291,-22.591708,21.856666,21.665281,21.636419,0.000000,0.000250,0.000000,0.000000,0.036542,0.009375,0.959375,636,8040886,159103,0,302,0,302,0,0,0,0,0,0,21666,14400,3510,3756,0
44,43,185,1,2607410520,0.068958,-0.035292,0.035292,0.069042,615,2,-0.789042,-0.788958,11.558417,11.482065,6.694247,0.000000,4.944334,4.944096,0.000154,0.031000,0.059000,0.302375,642,8122466,142964,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
45,44,187,1,2615518620,-4.966458,-0.038458,0.038458,0.036917,617,0,-22.507792,-22.507708,21.718750,21.584668,21.565175,0.000000,0.000250,0.000000,0.000000,0.036708,0.014250,0.961666,643,8087164,161034,0,302,0,302,0,0,0,0,0,0,21629,14400,3510,3719,0
46,45,189,1,2623626720,0.155583,-0.043667,0.043667,0.156125,618,2,-0.702417,-0.702292,11.561292,11.577844,6.734719,0.000000,4.977292,4.976972,0.000278,0.025791,0.138500,0.655917,638,8184470,156652,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,46,191,1,2631734820,-4.442834,-0.038292,0.038292,0.029708,613,0,-21.984167,-21.984042,21.281750,21.054731,21.057487,0.000000,0.000166,0.000000,0.000000,0.029500,0.017666,1.132666,644,8022650,146016,0,302,0,302,0,0,0,0,0,0,23431,14400,4680,4351,0
48,47,193,1,2639842920,0.156500,-0.043209,0.043209,0.156666,619,2,-0.701500,-0.701375,12.084000,12.101719,6.665010,0.000000,5.449250,5.377681,0.071319,0.031750,0.146708,0.485000,640,8187036,155618,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
