frame,present_frame,present_count,present_reason,emulated_timestamp,intended_offset_ms,output_start_offset_ms,sync_gpu_ms,enqueue_offset_ms,queue_delay_ms,actual_offset_ms,cpu_slices,cpu_throttle_calls,last_throttle_target_offset_ms,last_throttle_end_offset_ms,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0,-1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.819625,0.022250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1464168420,0.573291,-0.031875,0.000125,-0.031750,0.031750,0.979291,121539,450,-0.284709,-0.284542,3214.353084,2976.482093,2343.863096,0.000000,767.609083,764.244748,3.353334,0.978500,0.028250,150.123415,124854,1465055100,101956483,0,346,14,332,0,0,0,0,0,0,1086477,512,635609,450271,85
2,1,3,1,1472276520,-0.389625,-0.052584,0.000167,-0.052417,0.052417,0.048166,484,2,-1.851403,-1.851209,17.646250,16.666930,5.719333,0.000000,11.327207,11.121916,0.205208,0.047916,0.011917,0.743417,502,6407639,88895,0,2,0,2,0,0,0,0,0,0,5150,0,2486,2664,0
3,2,103,1,2274978420,-0.888333,-0.031625,0.000083,-0.031542,0.031542,0.711500,60920,289,-26.787222,-26.778333,1652.148708,1642.161463,1265.378790,0.000000,497.213246,496.418911,0.793793,0.711292,0.021250,85.304411,62908,803000734,51004872,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,3,105,1,2283086520,0.029167,-0.055291,0.000083,-0.055208,0.055208,0.053334,585,2,-1.432611,-1.357000,15.765833,14.992387,7.348972,0.000000,8.176625,8.100832,0.075709,0.053042,0.024167,1.056458,607,7721132,144463,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,4,107,1,2291194620,-6.965167,-0.046917,0.000042,-0.046875,0.046875,0.050458,617,0,-25.110278,-25.034667,23.677667,23.541733,23.179312,0.000000,0.000458,0.000000,0.000000,0.050125,0.033125,0.699083,642,8087177,183182,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,5,109,1,2299302720,0.018917,-0.044167,0.000042,-0.044125,0.044125,0.064083,613,1,-1.442861,-1.442667,9.699250,9.620709,7.920512,0.000000,2.190374,2.189972,0.000194,0.063875,0.020292,0.387000,640,8122480,167806,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,6,111,1,2307410820,-5.751417,-0.049875,0.000041,-0.049834,0.049834,0.043500,615,0,-23.896528,-23.896334,22.453667,22.319709,22.285789,0.000000,0.000208,0.000000,0.000000,0.043333,0.015125,0.789668,643,8087168,184091,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,7,113,1,2315518920,0.112125,-0.032333,0.000125,-0.032208,0.032208,0.112334,613,2,-0.745875,-0.733875,10.819791,10.784684,7.397057,0.000000,3.780083,3.767888,0.012112,0.031250,0.103000,0.317834,634,8138098,172416,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,8,115,1,2323627020,-5.718625,-0.040417,0.000125,-0.040292,0.040292,0.051333,615,0,-23.259959,-23.247959,22.514084,22.359381,22.220291,0.000000,0.002959,0.000000,0.000000,0.051125,0.028625,0.760250,647,8083849,172903,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,9,117,1,2331735120,0.018667,-0.055208,0.000167,-0.055041,0.055041,0.040209,612,2,-0.839333,-0.821625,10.946041,10.825782,7.415632,0.000000,3.755666,3.737389,0.018194,0.040000,0.020500,0.369625,632,8110394,173432,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,10,119,1,2339843220,-5.319084,-0.055667,0.000208,-0.055459,0.055459,0.046833,626,0,-22.860417,-22.842709,22.021084,21.912403,21.903167,0.000000,0.000250,0.000000,0.000000,0.046625,0.023458,0.780541,651,8102653,180596,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,11,121,1,2347951320,0.061500,-0.048334,0.000167,-0.048167,0.048167,0.061500,614,1,-1.400278,-1.400084,11.302750,11.215129,7.232337,0.000000,4.138665,4.138222,0.000194,0.033916,0.036750,0.452000,641,8107032,166685,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,12,123,1,2356059420,-5.345542,-0.056667,0.000125,-0.056542,0.056542,0.041333,615,0,-23.490653,-23.490459,22.090375,21.965678,21.960746,0.000000,0.000167,0.000000,0.000000,0.041166,0.013792,0.813292,639,8102635,183549,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,13,125,1,2364167520,0.117416,-0.053417,0.000125,-0.053292,0.053292,0.117541,614,2,-0.740584,-0.740500,11.220375,11.169712,7.681040,0.000000,4.202125,4.201721,0.000279,0.031041,0.107042,0.311750,635,8138110,170501,0,2,0,2,0,0,0,0,0,0,6178,0,3770,2408,0
15,14,127,1,2372275620,-5.222958,-0.054875,0.000125,-0.054750,0.054750,0.050042,616,0,-22.764292,-22.764208,22.023708,21.862738,21.842738,0.000000,0.000250,0.000000,0.000000,0.049833,0.015417,1.405210,648,8071538,176073,0,302,0,302,0,0,0,0,0,0,22076,14400,4420,3256,0
16,15,129,1,2380383720,0.125708,-0.035459,0.000125,-0.035334,0.035334,0.129666,614,2,-0.732292,-0.732167,11.334667,11.305660,7.158257,0.000000,4.402625,4.402222,0.000320,0.029125,0.123791,0.386416,633,8138141,172674,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,16,131,1,2388491820,-5.110584,-0.057417,0.000042,-0.057375,0.057375,0.041083,613,0,-22.651917,-22.651792,21.919625,21.690756,21.676082,0.000000,0.000249,0.000000,0.000000,0.040916,0.009375,1.232167,638,8040865,172023,0,302,0,302,0,0,0,0,0,0,22584,14400,4536,3648,0
18,17,133,1,2396599920,0.140875,-0.040667,0.000083,-0.040584,0.040584,0.140875,619,2,-0.717125,-0.717000,11.431875,11.471359,7.806427,0.000000,4.462125,4.454681,0.007319,0.036625,0.114625,0.610666,646,8184267,169860,0,2,0,2,0,0,0,0,0,0,5670,0,3654,2016,0
19,18,135,1,2404708020,-5.054333,-0.055291,0.000041,-0.055250,0.055250,0.034042,613,0,-22.595666,-22.595541,21.878541,21.655113,21.649414,0.000000,0.000208,0.000000,0.000000,0.033792,0.009708,1.232208,638,8040863,174056,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,19,137,1,2412816120,0.079333,-0.039333,0.000125,-0.039208,0.039208,0.079458,615,2,-0.778667,-0.778542,11.549667,11.508742,6.966245,0.000000,4.713290,4.712929,0.000278,0.030292,0.068875,0.642958,642,8122528,158675,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
