frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.543167,0.018250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,197,3226.029500,2933.734519,1958.624235,0.729005,1013.228856,978.103387,35.113921,0.309834,0.029708,141.119129,123046,1304596344,99752496,0,342,14,328,0,0,0,0,0,0,1068707,512,624175,443935,85
2,48063,95.335875,56.794038,14.917921,0.006957,0.000458,0.000000,0.000000,0.282625,0.019542,4.975957,589,907754,22894,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3,48064,31.482209,31.080495,23.574360,0.007335,0.000709,0.000000,0.000000,0.187875,0.030250,1.031333,2090,3475063,117947,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4,48065,15.945166,15.547154,15.133492,0.007458,0.000418,0.000000,0.000000,0.071542,0.023625,0.290250,2144,3524057,122801,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,48066,13.024500,12.638182,12.556217,0.006866,0.000542,0.000000,0.000000,0.066250,0.021667,0.968208,2080,3433438,117515,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
6,48067,13.392917,13.024009,12.109099,0.007880,0.000625,0.000000,0.000000,0.064167,0.018291,0.612667,2127,3477751,121086,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
7,48068,12.013875,11.642564,11.658099,0.007330,0.000375,0.000000,0.000000,0.065375,0.015125,0.607250,2136,3420248,118874,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
8,48069,11.825875,11.470264,11.475403,0.007044,0.000249,0.000000,0.000000,0.046167,0.016041,0.612583,2075,3410452,115842,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
9,48070,12.021542,11.631638,11.656384,0.007369,0.000334,0.000000,0.000000,0.058625,0.012791,0.606375,2122,3484820,122395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
