frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.703958,0.021334,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,199,3264.058583,2956.896591,1956.518423,0.404058,1037.846261,993.723645,44.116288,0.301834,0.015208,151.305035,124154,1318642581,101299088,0,344,14,330,0,0,0,0,0,0,1079775,512,631195,447983,85
2,48063,96.239250,57.811671,15.494222,0.007199,0.000416,0.000000,0.000000,0.307459,0.019666,5.004125,589,907496,22893,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3,48064,29.121667,28.742240,21.784674,0.007465,0.000499,0.000000,0.000000,0.140250,0.023917,0.786541,2090,3475063,117947,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4,48065,14.437000,14.063784,13.318335,0.007668,0.000542,0.000000,0.000000,0.057875,0.028333,0.611625,2144,3524057,122801,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,48066,12.447417,12.085334,12.021348,0.006917,0.000623,0.000000,0.000000,0.052791,0.017084,0.295458,2080,3433438,117515,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
6,48067,12.540000,12.168067,11.954455,0.007302,0.000290,0.000000,0.000000,0.062333,0.017583,0.309375,2127,3477751,121086,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
7,48068,11.850875,11.481768,11.495122,0.007538,0.000417,0.000000,0.000000,0.051500,0.039458,0.289667,2136,3420248,118874,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
8,48069,11.463458,11.110713,11.110252,0.006705,0.000375,0.000000,0.000000,0.046208,0.016334,0.290000,2075,3410452,115842,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
9,48070,12.242500,11.871830,11.889383,0.007369,0.000665,0.000000,0.000000,0.069417,0.014291,0.306125,2122,3484820,122395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
10,48071,12.350708,11.967085,11.989147,0.006751,0.000582,0.000000,0.000000,0.066917,0.020083,0.292875,2125,3370486,117502,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,48072,13.234667,12.859154,12.653428,0.007121,0.000583,0.000000,0.000000,0.081792,0.015416,0.824709,2039,3385606,116325,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12,48073,12.392917,12.026460,12.011114,0.007121,0.000666,0.000000,0.000000,0.067625,0.013916,0.447083,2056,3392813,118066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13,48074,11.966416,11.596405,11.616614,0.007841,0.000291,0.000000,0.000000,0.054625,0.011834,0.450083,2138,3407807,119123,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
14,48075,12.320917,11.961676,11.967066,0.007212,0.000459,0.000000,0.000000,0.086083,0.015000,0.447084,2050,3401655,117006,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
15,48076,11.757333,11.396540,11.408111,0.007215,0.000541,0.000000,0.000000,0.052334,0.014500,0.332125,2052,3356776,117212,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
16,48077,11.463709,11.096694,11.121159,0.007247,0.000417,0.000000,0.000000,0.052166,0.011084,0.464292,2074,3363465,116705,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,48078,12.047875,11.685830,11.693647,0.007041,0.000584,0.000000,0.000000,0.049000,0.041625,0.292791,2086,3459648,118966,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
18,48079,11.806958,11.434500,11.430775,0.006629,0.000501,0.000000,0.000000,0.062833,0.052250,0.926042,2069,3384556,118111,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19,48080,11.611083,11.247628,11.235362,0.007168,0.000334,0.000000,0.000000,0.051625,0.014209,0.611292,2092,3356472,116371,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
20,48081,11.611417,11.258222,11.269420,0.007703,0.000415,0.000000,0.000000,0.051500,0.012917,0.616209,2061,3422518,118120,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
21,48082,11.858875,11.500770,11.516961,0.006834,0.000417,0.000000,0.000000,0.070833,0.020917,0.458833,2072,3384548,118276,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22,48083,11.390458,11.028547,11.055368,0.007332,0.000334,0.000000,0.000000,0.066125,0.012875,0.446542,2069,3349228,114507,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
23,48084,12.113709,11.751883,11.762173,0.006707,0.000543,0.000000,0.000000,0.057541,0.015667,0.350083,2101,3427441,120171,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24,48085,12.399708,12.028143,11.914846,0.007086,0.765500,0.764985,0.000140,0.060792,0.012333,0.448250,2033,3354553,116631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,48086,16.495875,16.136824,11.506403,0.007324,4.838833,4.838403,0.000139,0.050708,0.012084,0.583458,2039,3385168,115833,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
26,48087,18.071333,17.689304,11.952273,0.007661,5.754875,4.851986,0.902473,0.072625,0.023459,0.291375,2074,3409483,119135,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
27,48088,15.680417,15.297666,13.988743,0.008257,1.567333,1.566735,0.000098,0.071417,0.015583,0.738000,2047,3359456,117370,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
28,48089,17.238458,16.885044,11.379957,0.007541,5.529960,4.701278,0.828389,0.076834,0.037375,0.892500,2012,3345621,114090,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
29,48090,16.378084,16.000446,12.022654,0.007962,3.948958,3.649027,0.299639,0.065208,0.049542,0.450667,2093,3433465,120644,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
30,48091,16.984083,16.619924,11.589457,0.007707,4.998624,4.333777,0.664431,0.063125,0.014125,0.910042,2038,3347395,116849,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
