frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.832709,0.067000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3167.618709,2979.248572,1962.235680,0.494613,1063.113131,1025.878218,37.221628,0.287833,0.533542,0.000000,124724,1320401280,101389029,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,18.624250,18.523868,2.731627,0.010745,15.589042,12.421000,3.167875,0.069791,0.032459,0.000000,632,971189,61044,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,211,207.786916,165.257721,119.273880,0.000000,51.359831,50.493496,0.866126,0.215667,0.015875,0.000000,6463,81823145,6204267,0,20,0,20,0,0,0,0,0,0,61321,0,39780,21541,0
4,48063,96.461500,58.574088,14.386545,0.006288,0.000500,0.000000,0.000000,0.251875,0.021084,0.000000,589,907496,22893,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,48064,31.497750,31.111522,22.712614,0.007921,0.001043,0.000000,0.000000,0.160667,0.035042,0.000000,2090,3475063,117947,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
6,48065,14.443917,14.063571,13.698577,0.007207,0.000500,0.000000,0.000000,0.062375,0.025375,0.000000,2144,3524057,122801,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7,48066,12.855958,12.484153,12.366774,0.007207,0.000499,0.000000,0.000000,0.058542,0.018667,0.000000,2080,3433438,117515,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
8,48067,14.068042,13.685286,13.218725,0.007788,0.000499,0.000000,0.000000,0.071167,0.021833,0.000000,2127,3477751,121086,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
9,48068,12.709417,12.315430,12.322760,0.007291,0.000460,0.000000,0.000000,0.061750,0.017541,0.000000,2136,3420248,118874,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
10,48069,12.362000,11.988419,11.988959,0.007300,0.000625,0.000000,0.000000,0.058625,0.017875,0.000000,2075,3410452,115842,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
11,48070,12.754208,12.372595,12.385252,0.006590,0.000541,0.000000,0.000000,0.070125,0.014583,0.000000,2122,3484820,122395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12,48071,12.648167,12.267597,12.262393,0.006750,0.000416,0.000000,0.000000,0.067791,0.016042,0.000000,2125,3370486,117502,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13,48072,11.950916,11.594613,11.592767,0.007582,0.000624,0.000000,0.000000,0.064542,0.013917,0.000000,2039,3385606,116325,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
14,48073,11.775917,11.417846,11.410705,0.007128,0.000499,0.000000,0.000000,0.073750,0.013583,0.000000,2056,3392813,118066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,48074,12.512458,12.132641,12.031884,0.006657,0.000418,0.000000,0.000000,0.061000,0.014750,0.000000,2138,3407807,119123,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
16,48075,11.726709,11.368921,11.372470,0.007460,0.000459,0.000000,0.000000,0.053583,0.012125,0.000000,2050,3401655,117006,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
17,48076,11.582583,11.223546,11.220655,0.007119,0.000456,0.000000,0.000000,0.055250,0.013958,0.000000,2052,3356776,117212,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
18,48077,11.572417,11.201811,11.212863,0.007584,0.000459,0.000000,0.000000,0.062125,0.015125,0.000000,2074,3363465,116705,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19,48078,11.730958,11.368174,11.391218,0.007251,0.000374,0.000000,0.000000,0.051667,0.017416,0.000000,2086,3459648,118966,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
20,48079,11.856958,11.493017,11.502210,0.007336,0.000457,0.000000,0.000000,0.063292,0.043500,0.000000,2069,3384556,118111,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
21,48080,11.563167,11.185391,11.179134,0.007427,0.000544,0.000000,0.000000,0.050667,0.041625,0.000000,2092,3356472,116371,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
22,48081,11.740833,11.369447,11.369266,0.006831,0.000292,0.000000,0.000000,0.057459,0.013708,0.000000,2061,3422518,118120,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
23,48082,11.874000,11.510046,11.532629,0.007328,0.000251,0.000000,0.000000,0.050917,0.017750,0.000000,2072,3384548,118276,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24,48083,11.574125,11.214562,11.211328,0.006627,0.000625,0.000000,0.000000,0.054334,0.012000,0.000000,2069,3349228,114507,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
25,48084,11.765167,11.398804,11.422220,0.007085,0.000375,0.000000,0.000000,0.055375,0.012583,0.000000,2101,3427441,120171,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
26,48085,11.462667,11.106615,11.106403,0.007548,0.000334,0.000000,0.000000,0.057708,0.014167,0.000000,2033,3354553,116631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
27,48086,15.768125,15.412086,11.358201,0.006830,4.064500,3.710986,0.353014,0.058000,0.015666,0.000000,2039,3385168,115833,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
28,48087,17.321000,16.960103,11.424540,0.007256,5.556376,4.715111,0.840806,0.057333,0.020792,0.000000,2074,3409483,119135,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,48088,16.737541,16.376772,11.503127,0.007376,4.897791,4.279902,0.617223,0.080709,0.014625,0.000000,2047,3359456,117370,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
30,48089,15.779292,15.419948,12.477106,0.007290,3.531250,3.530694,0.000222,0.071708,0.016167,0.000000,2012,3345621,114090,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
31,48090,17.275208,16.902588,12.149007,0.007158,4.786417,4.205777,0.580223,0.058500,0.013959,0.000000,2093,3433465,120644,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
32,48091,16.801459,16.431076,11.338161,0.007243,5.126918,4.432152,0.694515,0.047708,0.012458,0.000000,2038,3347395,116849,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33,48092,16.198500,15.815902,11.714365,0.007074,4.134874,3.771819,0.362889,0.048041,0.011334,0.000000,2011,3346515,114908,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
34,48093,16.754208,16.358686,12.010421,0.007204,4.185876,3.805861,0.379764,0.044583,0.011584,0.000000,2057,3400915,118554,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,48094,17.077333,16.690425,11.900880,0.007090,4.822958,4.230110,0.592390,0.053084,0.013166,0.000000,2063,3379517,118254,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
36,48095,16.308709,15.928736,11.498942,0.007332,4.462418,3.990403,0.471764,0.043833,0.011958,0.000000,2019,3345053,114704,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
37,48096,16.740500,16.334549,12.042274,0.007287,4.325627,3.898611,0.426764,0.045791,0.010750,0.000000,2096,3408438,119450,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38,48097,16.900625,16.522071,11.378025,0.007422,5.177207,4.466902,0.710056,0.042333,0.011083,0.000000,2018,3344467,116391,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
39,48098,16.382000,15.990250,11.759579,0.006996,4.265292,3.858903,0.406222,0.043791,0.011709,0.000000,2048,3398885,117009,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
40,48099,16.974250,16.562965,12.431618,0.008124,4.141916,3.771569,0.369764,0.059041,0.014375,0.000000,2075,3396210,118807,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,48100,16.690125,16.302836,12.033442,0.007367,4.301916,3.882652,0.418931,0.059625,0.015250,0.000000,2074,3370346,117631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
42,48101,16.378625,16.002677,12.104214,0.007586,3.905250,3.615236,0.289556,0.060708,0.012458,0.000000,2011,3351053,114388,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
43,48102,16.990375,16.601518,12.093998,0.008117,4.540042,4.039861,0.499848,0.049541,0.014209,0.000000,2079,3430789,120508,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
44,48103,18.754041,18.373765,11.769383,0.007621,4.581876,4.069819,0.511806,0.052417,0.012708,0.000000,2037,3357423,118239,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
45,48104,14.167459,13.791102,12.931689,0.006833,1.392083,1.391791,0.000126,0.055750,0.011833,0.000000,2050,3587394,122854,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46,48105,16.491000,16.119793,12.422932,0.006954,4.583958,4.583611,0.000139,0.051416,0.012792,0.000000,2067,3436792,120347,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,48106,17.725458,17.340550,11.518056,0.007127,5.855293,4.918694,0.936431,0.054000,0.013375,0.000000,2114,3392890,118735,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
48,48107,15.906417,15.529924,11.807443,0.007119,3.747709,3.511986,0.235514,0.054291,0.012834,0.000000,2021,3361481,115255,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49,48108,17.121791,16.734306,12.219921,0.007698,4.545875,4.046486,0.499014,0.060459,0.014625,0.000000,2084,3415380,119895,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
50,48109,16.498542,16.109259,11.710088,0.007317,4.401584,3.949902,0.451348,0.052958,0.012750,0.000000,2074,3339252,116227,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
51,48110,16.576542,16.196023,11.853385,0.007581,4.374457,3.930069,0.444097,0.046500,0.011458,0.000000,2030,3369175,115723,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
52,48111,16.786041,16.398095,11.889513,0.007211,4.539916,4.041194,0.498473,0.050584,0.010791,0.000000,2085,3404832,119078,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,48112,17.354334,16.952267,12.046727,0.007794,4.519834,4.025152,0.494348,0.061250,0.014625,0.000000,2094,3347879,116798,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
54,48113,15.416041,15.048010,11.486925,0.007204,3.737042,3.736653,0.000139,0.045917,0.011375,0.000000,2005,3335449,113829,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55,48114,17.652959,17.265681,11.935341,0.007369,5.361791,4.588111,0.773514,0.050625,0.013666,0.000000,2084,3429653,120611,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
56,48115,16.219708,15.820653,11.666341,0.007654,4.185208,3.803110,0.381806,0.043292,0.011208,0.000000,2075,3333323,116457,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57,48116,16.881833,16.508234,11.415619,0.007458,5.117460,4.428153,0.689056,0.050792,0.012333,0.000000,1999,3341456,114597,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
58,48117,16.454709,16.059152,12.116926,0.007826,3.961748,3.653402,0.308014,0.056416,0.014542,0.000000,2064,3410779,119198,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,48118,16.874708,16.470711,11.803172,0.007966,4.699915,4.148360,0.551306,0.047500,0.011667,0.000000,2116,3379295,118153,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
60,48119,16.124625,15.739456,12.480677,0.006871,4.062293,4.061903,0.000139,0.054750,0.012667,0.000000,2019,3357426,115280,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
61,48120,17.428833,17.043072,11.826371,0.007039,5.247208,4.513194,0.733806,0.044750,0.010750,0.000000,2080,3405631,119206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
62,48121,16.147000,15.743965,11.909026,0.007712,3.866626,3.593902,0.272473,0.045625,0.015875,0.000000,2091,3364279,117150,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
