frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.574042,0.031583,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3209.703000,2980.080808,2012.277367,0.530891,1032.695586,990.895706,41.792544,0.267209,0.510791,154.741200,124738,1320644489,101417542,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,18.345084,18.252619,2.603924,0.010543,15.589958,12.423458,3.166334,0.403833,0.013625,0.912000,632,971228,61040,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,203,74.851708,34.511182,30.539360,0.000000,5.866585,5.864291,0.002211,0.213458,0.045500,2.820624,1411,17664188,1613914,0,4,0,4,0,0,0,0,0,0,12614,0,8190,4424,0
4,48063,91.490750,52.227512,16.011453,0.007998,0.000793,0.000000,0.000000,0.324500,0.027500,4.766915,590,907496,22893,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,48064,27.032458,26.637661,22.370666,0.007750,0.000458,0.000000,0.000000,0.131792,0.039500,1.102959,2089,3475063,117947,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
6,48065,14.616834,14.227679,14.082062,0.007493,0.000583,0.000000,0.000000,0.054916,0.020209,0.435959,2144,3524057,122801,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7,48066,13.277416,12.896605,12.788003,0.007038,0.000291,0.000000,0.000000,0.062542,0.019625,0.364833,2080,3433438,117515,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
8,48067,14.281542,13.878826,13.013421,0.007963,0.000459,0.000000,0.000000,0.080792,0.038333,0.693458,2127,3477751,121086,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
9,48068,12.819500,12.436514,12.380923,0.007424,0.000416,0.000000,0.000000,0.068042,0.021791,0.388584,2136,3420248,118874,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
10,48069,12.558583,12.183128,12.150816,0.007922,0.000248,0.000000,0.000000,0.118000,0.049584,0.381083,2075,3410452,115842,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
11,48070,13.424625,13.042078,12.909859,0.007080,0.000376,0.000000,0.000000,0.075167,0.018333,0.491542,2122,3484820,122395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12,48071,12.497042,12.111458,12.092517,0.006830,0.000501,0.000000,0.000000,0.062333,0.013834,0.332000,2125,3370486,117502,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13,48072,11.778208,11.419397,11.432250,0.007448,0.000375,0.000000,0.000000,0.060084,0.014458,0.871166,2039,3385606,116325,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
14,48073,11.571500,11.209615,11.235767,0.007125,0.000543,0.000000,0.000000,0.064584,0.015041,0.471500,2056,3392813,118066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,48074,11.898375,11.515701,11.529280,0.007171,0.000375,0.000000,0.000000,0.062209,0.012708,0.447375,2138,3407807,119123,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
16,48075,11.850959,11.481564,11.498693,0.007503,0.000583,0.000000,0.000000,0.068333,0.014292,0.451458,2050,3401655,117006,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
17,48076,11.683125,11.326261,11.328066,0.006418,0.000375,0.000000,0.000000,0.055250,0.014541,0.446875,2052,3356776,117212,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
18,48077,11.427625,11.061494,11.089495,0.006424,0.000251,0.000000,0.000000,0.052416,0.016417,0.445958,2074,3363465,116705,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19,48078,11.723333,11.355855,11.381569,0.006663,0.000292,0.000000,0.000000,0.054708,0.013250,0.447375,2086,3459648,118966,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
20,48079,11.629500,11.267104,11.285022,0.006913,0.000416,0.000000,0.000000,0.070875,0.055125,0.478916,2069,3384556,118111,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
21,48080,11.593250,11.222472,11.221411,0.007080,0.000334,0.000000,0.000000,0.054583,0.014125,0.478459,2092,3356472,116371,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
22,48081,11.635875,11.274015,11.275348,0.006539,0.000376,0.000000,0.000000,0.061167,0.013750,0.294458,2061,3422518,118120,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
23,48082,11.975917,11.598966,11.627375,0.007276,0.000375,0.000000,0.000000,0.055958,0.033708,0.734333,2072,3384548,118276,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24,48083,12.196958,11.821155,11.785053,0.007298,0.000292,0.000000,0.000000,0.060875,0.013042,0.333750,2069,3349228,114507,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
25,48084,12.417708,12.037316,12.038138,0.007366,0.000332,0.000000,0.000000,0.067292,0.015458,0.445166,2101,3427441,120171,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
26,48085,14.391875,14.014950,12.138730,0.007369,2.140166,2.139600,0.000150,0.066292,0.012958,0.290666,2033,3354553,116631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
27,48086,17.106459,16.731755,12.981179,0.007545,3.547999,3.376225,0.170983,0.063083,0.043042,0.778416,2039,3385168,115833,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
28,48087,16.714791,16.344094,11.721369,0.006958,4.592666,4.077892,0.514483,0.058292,0.044625,0.444583,2074,3409483,119135,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,48088,16.180292,15.821836,11.514180,0.006588,4.400209,4.392183,0.007734,0.057333,0.020792,0.777457,2047,3359456,117370,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
30,48089,17.371875,17.010533,11.126782,0.006913,5.882959,4.933684,0.949066,0.054792,0.013375,0.953499,2012,3345621,114090,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
31,48090,16.375458,15.996883,11.724386,0.007379,4.249543,3.849392,0.399567,0.065417,0.014542,0.382708,2093,3433465,120644,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
32,48091,16.207459,15.777503,11.723855,0.007324,4.505292,4.496058,0.008984,0.045916,0.011500,0.787750,2038,3347395,116849,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33,48092,17.732000,17.383587,11.020842,0.007125,6.369293,5.262142,1.106858,0.052250,0.011916,0.481792,2011,3346515,114908,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
34,48093,15.640541,15.273694,11.578615,0.006826,3.936417,3.932892,0.003067,0.061709,0.011916,1.214751,2057,3400915,118554,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,48094,17.726750,17.358231,11.707310,0.007370,5.638083,4.766558,0.871359,0.057667,0.024292,0.667958,2063,3379517,118254,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
36,48095,16.081792,15.708984,11.657842,0.007284,4.028542,3.701142,0.327066,0.065542,0.023208,1.028209,2019,3345053,114704,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
37,48096,16.807792,16.423822,11.872617,0.007589,4.535707,4.036308,0.498942,0.055916,0.012167,0.608625,2096,3408438,119450,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38,48097,16.942708,16.554952,11.225009,0.007208,5.359874,4.574850,0.784609,0.060250,0.015542,0.907334,2018,3344467,116391,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
39,48098,16.407875,16.048841,11.138808,0.007747,4.936542,4.304267,0.632025,0.051708,0.028709,1.272333,2048,3398885,117009,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
40,48099,16.931875,16.567039,11.190543,0.006917,5.396415,4.613808,0.782442,0.053542,0.040666,0.652500,2075,3396210,118807,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,48100,16.637167,16.270172,10.984543,0.007364,5.284874,4.537516,0.747150,0.045833,0.011958,1.111583,2074,3370346,117631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
42,48101,16.439666,16.086214,11.065579,0.010543,5.026499,4.367559,0.658691,0.052542,0.013375,0.471542,2011,3351053,114388,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
43,48102,16.643584,16.278733,11.422399,0.006746,4.892374,4.416933,0.475233,0.049250,0.018416,0.772500,2079,3430789,120508,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
44,48103,18.109000,17.742578,11.197877,0.007117,5.564500,4.725100,0.838942,0.053208,0.012500,0.608125,2037,3357423,118239,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
45,48104,14.764458,14.387533,12.270235,0.007001,2.355540,2.338475,0.016858,0.070292,0.043625,1.033125,2050,3587394,122854,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46,48105,17.308792,16.937281,12.108900,0.006331,4.792168,4.208058,0.583858,0.055916,0.014709,0.492917,2067,3436792,120347,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,48106,16.803458,16.412323,11.620809,0.007281,4.797127,4.215100,0.581692,0.057917,0.022708,1.366917,2114,3392890,118735,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
48,48107,16.448667,16.090031,11.519431,0.007548,4.591959,4.077059,0.514650,0.069583,0.022792,1.191959,2021,3361481,115255,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49,48108,16.784000,16.406107,11.719813,0.006960,4.684583,4.137017,0.547233,0.053291,0.015542,0.489166,2084,3415380,119895,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
50,48109,16.928666,16.562521,11.090303,0.007871,5.490541,4.676766,0.813525,0.064250,0.041209,0.962126,2074,3339252,116227,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
51,48110,16.434292,16.079183,11.084642,0.006588,4.993251,4.337892,0.655150,0.051333,0.047459,0.643208,2030,3369175,115723,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
52,48111,16.828042,16.454656,11.174278,0.006631,5.270749,4.530517,0.739858,0.047333,0.012833,1.269291,2085,3404832,119078,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,48112,16.874541,16.510796,10.895215,0.007669,5.494124,4.673558,0.820150,0.044709,0.011250,0.664792,2094,3347879,116798,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
54,48113,16.410667,16.042233,11.266168,0.007326,4.794960,4.210434,0.584275,0.061625,0.025292,1.354458,2005,3335449,113829,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55,48114,16.534958,16.156666,11.924440,0.007469,4.236708,3.840392,0.395983,0.067334,0.016250,1.364916,2084,3429653,120611,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
56,48115,16.911834,16.534816,11.345538,0.007879,5.182541,4.471016,0.711234,0.060750,0.013541,0.697250,2075,3333323,116457,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57,48116,16.668916,16.318893,10.761207,0.006783,5.582166,4.733267,0.848608,0.050334,0.012083,1.113042,1999,3341456,114597,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
58,48117,16.614875,16.245165,11.136712,0.007088,5.130250,4.436058,0.693942,0.051417,0.014792,0.649875,2064,3410779,119198,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,48118,16.787084,16.412123,11.062144,0.006783,5.375583,4.599308,0.775900,0.044041,0.013167,0.949583,2116,3379295,118153,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
60,48119,16.553708,16.189522,10.893390,0.007926,5.326375,4.563517,0.762650,0.048167,0.011500,0.608417,2019,3357426,115280,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
61,48120,16.745417,16.380906,11.195716,0.007082,5.218750,4.493100,0.725317,0.051541,0.039459,0.901791,2080,3405631,119206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
62,48121,16.568208,16.198003,11.228380,0.007293,4.954708,4.318933,0.635567,0.057042,0.071500,0.959125,2091,3364279,117150,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
63,48122,16.516542,16.092347,13.893301,0.007302,2.393959,2.393184,0.000108,0.094083,0.017042,0.312292,2035,3356943,115031,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
64,48123,17.074875,16.697875,14.687878,0.012290,1.799875,1.798975,0.000233,0.094375,0.018916,0.602124,2071,3426683,120255,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
65,48124,16.753125,16.365551,12.266664,0.008129,4.064458,3.724433,0.339359,0.097000,0.025458,0.378167,2112,3376550,117910,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
66,48125,16.459041,16.037603,15.251671,0.012587,1.065625,1.063350,0.000108,0.141875,0.028459,0.633750,2028,3392173,116005,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
67,48126,16.835042,16.443488,13.200920,0.006754,3.143751,3.108350,0.034817,0.131583,0.037250,0.652084,2100,3418543,119799,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
68,48127,18.483250,18.039881,16.589445,0.008502,0.758540,0.756725,0.000900,0.104917,0.020541,0.641000,2099,3361131,117368,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
69,48128,14.687292,14.293581,13.798333,0.007669,0.617375,0.607600,0.006150,0.117416,0.020084,0.324250,2030,3410662,117236,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
70,48129,31.299666,30.787496,18.034350,0.008047,0.000625,0.000000,0.000000,0.149292,0.019667,0.946793,2047,3374275,117462,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
71,48130,26.974625,26.181669,20.760596,0.008992,0.000791,0.000000,0.000000,0.132917,0.061333,0.923125,2129,3390336,118488,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
72,48131,13.395875,13.013995,12.873142,0.006871,0.000500,0.000000,0.000000,0.073584,0.015333,0.290334,2063,3414153,117463,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
73,48132,11.512625,11.144920,11.168956,0.007580,0.000459,0.000000,0.000000,0.051459,0.016500,0.327708,2062,3362303,117275,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
74,48133,12.547375,12.176367,12.087465,0.007083,0.000750,0.000000,0.000000,0.067542,0.013083,0.297333,2056,3352081,115222,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
75,48134,12.506917,12.133727,12.085770,0.006670,0.000583,0.000000,0.000000,0.056583,0.015292,0.831501,2083,3463248,120615,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
76,48135,11.526708,11.159157,11.159050,0.007257,0.000250,0.000000,0.000000,0.059667,0.013667,0.445875,2057,3362860,117389,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
77,48136,13.061750,12.694805,11.747430,0.006633,1.566584,1.566266,0.000067,0.050417,0.016792,0.459417,2057,3357231,115055,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
78,48137,17.622125,17.259963,11.567217,0.007091,5.708084,4.820559,0.887233,0.059792,0.021875,1.268166,2074,3417456,119025,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
79,48138,16.369625,16.001723,11.395423,0.006712,4.636043,4.106392,0.529317,0.060209,0.014291,0.640417,2065,3398602,118612,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
80,48139,17.075209,16.701270,11.734353,0.007281,4.709791,4.155975,0.553609,0.056791,0.012750,0.979708,2035,3375819,115393,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
81,48140,16.342083,15.966082,11.846125,0.006753,4.154625,3.783809,0.370650,0.069583,0.026750,0.782083,2085,3418280,119692,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
82,48141,16.888958,16.520697,11.476089,0.007008,5.070166,4.392808,0.676817,0.067959,0.047125,1.346958,2019,3351267,116382,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
83,48142,16.230500,15.860636,11.694259,0.007550,4.129875,3.769808,0.359650,0.059500,0.024584,0.672625,2037,3386339,116330,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
84,48143,17.045375,16.671741,11.756249,0.006418,4.907834,4.270559,0.636775,0.062792,0.024583,0.642083,2082,3405445,118806,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
85,48144,16.612709,16.249831,11.210561,0.007494,5.066875,4.393517,0.673108,0.053833,0.021417,0.606500,2059,3367869,117507,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
