frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.733209,0.021833,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3249.715959,2988.859968,1973.010267,0.396437,1071.816950,1025.556742,46.253415,0.335541,0.041834,155.938157,124751,1320660475,101411889,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,17.280291,17.201292,2.340108,0.010830,14.724875,11.835958,2.888792,0.064917,0.035500,1.338334,632,971967,61070,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.301250,1640.818328,1038.593343,0.009000,632.428117,618.796909,13.630834,0.064917,0.024208,86.907001,62938,796561793,50945032,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,15.798584,15.690076,4.302499,0.008792,11.643999,11.399040,0.244834,0.037708,0.010333,1.009207,652,2140017,155844,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,16.568041,16.448793,16.396089,0.001923,0.062416,0.061874,0.000167,0.040959,0.089625,0.359333,661,6994317,176783,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,18.326792,18.215992,4.007244,0.009618,14.090125,11.422541,2.667459,0.037125,0.011917,1.205874,657,2030608,141849,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,16.788917,16.663697,16.600711,0.001788,0.000333,0.000000,0.000000,0.054375,0.048750,1.325751,659,7270886,181093,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,17.001291,16.889473,4.006666,0.009415,12.782626,10.553666,2.228835,0.028709,0.007583,0.605625,653,2014542,145086,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,16.156542,16.041001,16.011905,0.001289,0.000292,0.000000,0.000000,0.029083,0.026667,0.945833,670,7332169,170435,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
