frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.326791,0.044417,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3233.477375,2971.739153,1983.840852,0.486398,1040.018323,1001.279029,38.734131,0.254333,0.136042,155.057827,124737,1319702864,101323687,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,18.906875,18.793061,2.746896,0.012654,15.742791,12.875915,2.866751,0.079125,0.027291,0.900042,632,972031,61074,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1649.647125,1639.189973,1030.934802,0.008924,638.486913,625.052525,13.433721,0.077583,0.108875,90.755833,62931,796561806,50945613,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.621041,16.506239,4.571185,0.008792,12.638999,11.615788,1.023211,0.052125,0.192709,0.679500,652,2139993,155844,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,16.981459,16.868513,16.586669,0.002332,0.000457,0.000000,0.000000,0.053541,0.056209,0.323959,661,6994239,176783,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,16.772875,16.667283,3.724533,0.009251,12.912874,11.528082,1.384626,0.032666,0.008459,0.700249,656,2030584,141849,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,16.307083,16.189171,16.158475,0.001376,0.267293,0.256304,0.010905,0.037292,0.187708,0.703334,660,7270802,181093,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,16.672292,16.560215,4.449964,0.009077,13.140043,11.943414,1.196629,0.021083,0.235125,0.377083,653,2014524,145086,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,16.738333,16.618590,16.437096,0.001708,0.574876,0.561415,0.013377,0.051625,0.132333,0.770125,670,7332137,170553,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,18.347833,18.231762,3.832462,0.009258,14.369750,11.785373,2.584210,0.022292,0.007583,0.462833,653,2055334,148606,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,16.142209,16.028491,15.985380,0.001459,0.000334,0.000000,0.000000,0.033625,0.013500,0.782209,666,7417343,175336,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,17.346291,17.240071,3.506826,0.009001,13.730625,11.184207,2.546293,0.027625,0.008334,0.923542,660,2008626,140026,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,16.144000,16.034003,15.999748,0.000959,0.000292,0.000000,0.000000,0.026334,0.029291,0.474541,661,7570104,180500,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,16.882209,16.776002,3.363914,0.007836,13.395793,11.166790,2.228835,0.022833,0.007375,0.932917,651,1966708,140975,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,15.755708,15.642498,15.646501,0.001126,0.000209,0.000000,0.000000,0.021125,0.009833,0.451291,669,7552042,173802,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,17.444875,17.338581,3.379494,0.009164,13.944957,12.477873,1.466918,0.019167,0.006916,0.914917,649,2017413,145363,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,15.368875,15.260328,15.258214,0.000999,0.156208,0.155499,0.000459,0.037042,0.187291,0.449459,659,7479826,172026,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,18.103792,17.993789,3.491956,0.009201,14.466293,11.674665,2.791460,0.023958,0.018042,1.142417,659,1991403,138529,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,15.725791,15.619843,15.604253,0.001126,0.000209,0.000000,0.000000,0.023459,0.007291,0.606625,659,7532611,176963,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
