frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.695375,0.023250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3229.007958,2985.638680,1912.589941,0.598750,1027.367166,707.940206,319.411461,0.270958,0.427042,171.564579,124751,1320729037,101419883,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,17.936333,17.835705,2.206590,0.011665,14.928751,13.464457,1.464127,0.048542,0.034750,1.067375,632,971964,61074,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1653.600250,1642.730195,1029.773011,0.009338,610.082249,412.196207,197.880417,0.057875,0.022334,95.558541,62938,796574713,50946708,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,15.424459,15.299174,4.208164,0.010746,11.107166,8.605248,2.501794,0.033750,0.018291,0.300083,652,2140017,155844,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,17.785875,17.664594,17.649800,0.002374,0.000374,0.000000,0.000000,0.044416,0.017709,0.776916,661,6994317,176783,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,17.201208,17.088367,3.902638,0.009241,13.182793,8.780207,4.402502,0.032375,0.010000,0.351666,656,2030572,141849,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,17.290667,17.176965,17.178682,0.001455,0.000166,0.000000,0.000000,0.029458,0.012708,0.658709,660,7270802,181093,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.312166,14.196791,3.678138,0.009033,10.479167,8.868249,1.610835,0.028250,0.015959,0.364625,653,2014520,145086,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,15.668542,15.560171,15.553502,0.001334,0.000248,0.000000,0.000000,0.027417,0.050500,0.975750,670,7332147,170435,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,18.563875,18.458622,3.500806,0.009451,14.935458,9.928582,5.006710,0.021542,0.007458,0.375791,651,2055246,148604,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,15.844042,15.733624,15.729163,0.001334,0.000165,0.000000,0.000000,0.030166,0.020584,0.684292,670,7432905,176768,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,15.859000,15.754715,3.436707,0.008260,12.321459,9.513582,2.807793,0.024958,0.006917,0.372833,660,2008655,140036,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,16.093041,15.980608,15.986653,0.000876,0.125501,0.077083,0.048167,0.029834,0.156333,0.656501,660,7570074,180500,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,18.892542,18.788710,3.439086,0.009412,15.208374,10.127749,5.080543,0.024583,0.006667,1.057667,651,1966678,140975,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,15.503583,15.395168,15.391415,0.001001,0.000208,0.000000,0.000000,0.026042,0.014458,0.463583,669,7552018,173802,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,17.980417,17.875041,3.356123,0.008835,14.519000,9.672915,4.845960,0.024167,0.006583,0.917250,649,2017401,145363,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,15.648083,15.541827,15.528576,0.001208,0.000208,0.000000,0.000000,0.027542,0.009583,0.469917,659,7479808,172026,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
