frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.197333,0.019209,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3236.089958,2976.168787,2199.772949,0.612389,838.992758,800.512142,38.472320,0.313459,0.023750,157.388280,124734,1320654273,101411373,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,16.607250,16.489919,3.184086,0.012965,12.971833,12.648917,0.322750,0.034875,0.018417,1.218083,632,971970,61068,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.653459,1640.080024,1185.865612,0.009585,512.476404,511.933659,0.542163,0.064416,0.067709,87.159378,62927,796561698,50945453,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,18.427333,18.309994,4.475666,0.009336,13.824626,11.230124,2.594376,0.036792,0.023666,0.901501,652,2140017,155844,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.168500,18.062375,17.967869,0.001998,0.000252,0.000000,0.000000,0.032958,0.020000,1.313499,661,6994257,176783,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.896042,14.780606,4.718707,0.008663,10.559960,9.228959,1.330833,0.064416,0.026667,0.630250,657,2030602,141849,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.409833,18.303345,18.255076,0.002040,0.000501,0.000000,0.000000,0.043417,0.017041,1.285708,659,7270874,181093,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,15.517208,15.411250,4.559645,0.008450,11.236876,9.194000,2.042750,0.035209,0.008916,0.610375,653,2014548,145086,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,17.760875,17.648051,17.648654,0.001459,0.000291,0.000000,0.000000,0.028125,0.011459,0.761834,670,7332137,170553,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,15.704084,15.603463,4.383871,0.008045,11.566709,9.424208,2.142376,0.036708,0.031958,0.291709,653,2055334,148606,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
