frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.869209,0.020750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3220.319875,2983.729903,2390.585251,0.000000,716.565706,711.309170,5.247365,0.109125,0.035167,154.679746,124690,1463293738,101904767,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,14.412750,14.436272,7.347875,0.000000,7.690540,7.682166,0.008208,0.037084,0.011375,1.058459,631,8107253,89938,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.977917,1640.462510,1283.512403,0.000000,471.668964,470.909987,0.758269,0.056667,0.034750,82.340288,62921,802614634,50973820,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.867542,16.757054,7.700546,0.000000,9.375083,9.283582,0.091376,0.026333,0.011208,1.001833,652,8107215,177119,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.077541,18.962899,18.968807,0.000000,0.000292,0.000000,0.000000,0.026375,0.013084,0.707708,663,8102675,183241,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.288250,14.181920,8.093707,0.000000,7.049084,6.911834,0.136958,0.019667,0.007625,0.358125,658,8107012,166486,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.801750,18.687094,18.695628,0.000000,0.000208,0.000000,0.000000,0.021334,0.011583,0.957124,661,8102620,185409,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.553542,14.446123,7.853785,0.000000,7.452542,7.315250,0.137167,0.017125,0.006833,0.449583,650,8107206,169785,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.635750,18.523378,18.529919,0.000000,0.000250,0.000000,0.000000,0.015792,0.009041,0.800834,668,8102454,175022,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
