frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680625,0.031000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3212.939500,2989.071673,2400.606364,0.000000,739.031776,734.221948,4.798075,0.082833,0.031417,148.303417,124707,1463293781,101974138,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,9.747750,9.650912,6.500375,0.000000,3.260417,3.260139,0.000111,0.041416,0.040792,0.000000,631,8107217,89927,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.126000,1640.526602,1286.485161,0.000000,474.220757,473.707500,0.512673,0.071500,0.054333,80.707960,62926,802614641,50978075,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.661833,16.552128,8.141381,0.000000,9.508458,9.507998,0.000376,0.028625,0.113208,0.833875,651,8107204,177587,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.297417,19.185936,19.183402,0.000000,0.000333,0.000000,0.000000,0.030708,0.014125,0.905625,662,8102670,182141,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.450333,14.341505,8.573926,0.000000,6.728833,6.589041,0.139584,0.031583,0.012750,0.622250,657,8107017,166505,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.853958,18.743421,18.737053,0.000000,0.000250,0.000000,0.000000,0.026084,0.012250,0.582626,661,8102619,185401,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.383334,14.274586,7.972250,0.000000,7.219875,7.082583,0.137084,0.023333,0.007792,0.293834,650,8107228,170366,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,19.436416,19.307932,19.323789,0.000000,0.000251,0.000000,0.000000,0.020875,0.011875,0.604291,668,8102436,175964,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
