frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.604542,0.019875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3218.203750,2935.880937,2398.186854,0.000000,658.652193,655.538787,3.104123,0.115167,0.041875,153.506576,124695,1463293841,101946274,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,9.731292,9.760200,6.334702,0.000000,3.117002,3.116722,0.000112,0.042833,0.012917,0.290833,631,8107190,89927,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.136708,1640.646758,1259.325551,0.000000,491.019136,490.374824,0.643354,0.065583,0.021709,77.964206,62926,802614628,50976700,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.769042,16.657591,7.782962,0.000000,9.110582,9.018456,0.091960,0.042958,0.045458,0.779667,652,8107221,177119,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.031666,17.919705,17.752811,0.000000,0.000542,0.000000,0.000000,0.046125,0.020459,0.719624,661,8102642,184492,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,15.406084,15.298719,7.921344,0.000000,7.895041,7.769915,0.124960,0.029291,0.008250,0.352250,657,8107041,168279,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,17.283250,17.172288,17.163135,0.000000,0.000291,0.000000,0.000000,0.029875,0.015583,0.745542,660,8102627,185407,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,16.081416,15.970375,8.018913,0.000000,8.385625,8.286540,0.098918,0.037500,0.012625,0.373834,653,8107201,170723,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,17.405792,17.297393,17.292611,0.000000,0.000417,0.000000,0.000000,0.030833,0.012500,0.836459,668,8102423,174573,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,15.875417,15.766575,7.651381,0.000000,8.523918,8.434332,0.089377,0.025791,0.007959,0.302375,650,8107255,173794,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,17.155958,17.048031,17.042368,0.000000,0.000458,0.000000,0.000000,0.037792,0.020250,0.918833,669,8102654,179138,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,16.296875,16.189136,8.096769,0.000000,8.844583,8.730165,0.114251,0.022917,0.010208,0.291209,660,8107065,165960,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
