frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.502792,0.032625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,39.686208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500250,0.028042,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,38.621917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.361250,0.023250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,37.092875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.189958,0.015875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,38.303542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382958,0.025167,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,36.945375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.173041,0.033125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,35.190541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360834,0.024000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,35.134250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088667,0.019208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,38.179709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.170708,0.023792,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,38.270416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.191292,0.033667,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,33.422209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.345583,0.026875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,37.782000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163000,0.035875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,35.006708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163208,0.030500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,33.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.172750,0.035792,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,36.734667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359166,0.024917,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,36.363833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098458,0.019834,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,38.167625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.111125,0.019542,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,36.243958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102792,0.018667,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,34.764959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176291,0.027334,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,37.219291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.196417,0.027417,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,33.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.213375,0.040959,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,33.944459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.184458,0.038042,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,34.985041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152334,0.031291,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,35.620917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.235500,0.049042,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,34.930833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183584,0.040125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,37.083834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135083,0.042583,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
