frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.657916,0.037292,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3225.090208,2980.135495,2372.310545,0.000000,746.543922,741.775601,4.760485,0.101167,0.504458,146.949668,124711,1463293760,101946273,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,17.750750,17.645618,7.055626,0.000000,10.306167,10.257500,0.048500,0.077042,0.019208,0.460167,630,8107242,89934,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.131875,1640.647628,1264.417463,0.000000,487.028635,486.494698,0.533020,0.064833,0.034459,81.652786,62916,802614626,50973940,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.662667,16.550373,8.636968,0.000000,9.021123,9.017582,0.003375,0.043083,0.049708,0.975833,651,8107215,177117,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.820041,18.708499,18.666831,0.000000,0.000335,0.000000,0.000000,0.032000,0.012500,1.302166,662,8102640,182112,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.730709,14.624038,8.212513,0.000000,7.127666,7.011042,0.116500,0.036500,0.009916,0.475917,655,8107055,168261,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,18.769916,18.645267,18.512543,0.000000,0.000292,0.000000,0.000000,0.037375,0.016209,0.778708,660,8102589,186573,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.372917,14.271248,8.729743,0.000000,6.999249,6.998832,0.000334,0.030542,0.054375,0.305417,652,8107221,169785,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.503000,18.386392,18.381052,0.000000,0.000291,0.000000,0.000000,0.028958,0.023084,0.920208,667,8102422,174570,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
