frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.747792,0.021333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,167,5291.738625,4979.634242,4680.397355,0.561801,243.571189,209.969276,33.563222,0.316750,0.016042,285.852182,103577,1060117201,76771144,0,280,14,266,0,0,0,0,0,0,880471,512,506005,373869,85
2,48063,144.869625,107.102163,26.024041,0.007584,0.000416,0.000000,0.000000,0.309667,0.021542,8.700916,589,907496,22893,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3,48064,46.230584,45.807155,35.184529,0.007039,0.000459,0.000000,0.000000,0.110000,0.026375,2.251376,2090,3475063,117947,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4,48065,29.346875,28.848231,28.248092,0.006956,0.000418,0.000000,0.000000,0.088000,0.031791,1.241251,2144,3524057,122801,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,48066,26.316958,25.906218,25.785192,0.006916,0.000624,0.000000,0.000000,0.110250,0.020917,0.956291,2080,3433438,117515,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
6,48067,26.287833,25.882319,25.622490,0.007592,0.000375,0.000000,0.000000,0.081292,0.019125,1.724251,2127,3477751,121086,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
7,48068,25.446709,25.029755,24.813806,0.007296,0.000417,0.000000,0.000000,0.096125,0.024666,0.917959,2136,3420248,118874,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
8,48069,24.781583,24.382479,24.356616,0.007163,0.000334,0.000000,0.000000,0.094417,0.020041,1.608375,2075,3410452,115842,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
9,48070,26.483083,26.064679,25.984985,0.007457,0.000291,0.000000,0.000000,0.105667,0.032208,1.319250,2122,3484820,122395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
10,48071,25.046375,24.642909,24.560242,0.007133,0.000375,0.000000,0.000000,0.086167,0.015000,1.245584,2125,3370486,117502,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,48072,24.132125,23.753212,23.742223,0.007501,0.000416,0.000000,0.000000,0.089834,0.014791,1.907459,2039,3385606,116325,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12,48073,24.463625,24.083107,24.047250,0.007039,0.000416,0.000000,0.000000,0.086125,0.013625,1.280125,2056,3392813,118066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13,48074,24.003167,23.608978,23.639915,0.007879,0.000666,0.000000,0.000000,0.083667,0.014958,1.058959,2138,3407807,119123,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
14,48075,24.222958,23.831491,23.849911,0.007963,0.000291,0.000000,0.000000,0.073084,0.015125,1.295167,2050,3401655,117006,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
15,48076,23.964084,23.575811,23.594861,0.016004,0.000292,0.000000,0.000000,0.080208,0.014625,1.538666,2052,3356776,117212,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
16,48077,23.882750,23.496339,23.492916,0.007873,0.000376,0.000000,0.000000,0.076916,0.016292,1.254416,2074,3363465,116705,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,48078,24.633291,24.233516,24.228267,0.007665,0.000250,0.000000,0.000000,0.082625,0.029584,1.272125,2086,3459648,118966,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
18,48079,24.390334,24.002836,23.985251,0.007877,0.000292,0.000000,0.000000,0.083500,0.033416,1.915959,2069,3384556,118111,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19,48080,23.953958,23.564658,23.551365,0.007577,0.000374,0.000000,0.000000,0.075125,0.014208,0.934125,2092,3356472,116371,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
20,48081,24.302500,23.904076,23.888623,0.008124,0.000332,0.000000,0.000000,0.078375,0.046375,1.274833,2061,3422518,118120,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
21,48082,24.344625,23.943077,23.928162,0.008290,0.000457,0.000000,0.000000,0.092625,0.023333,1.228333,2072,3384548,118276,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
22,48083,23.586250,23.195780,23.174274,0.008009,0.000417,0.000000,0.000000,0.081208,0.032667,1.412667,2069,3349228,114507,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
23,48084,24.562875,24.162343,24.178237,0.007341,0.000585,0.000000,0.000000,0.072083,0.014750,0.939167,2101,3427441,120171,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24,48085,23.518250,23.146652,23.186001,0.007126,0.000250,0.000000,0.000000,0.071125,0.022917,0.727333,2033,3354553,116631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,48086,23.582125,23.197930,23.202868,0.006922,0.000375,0.000000,0.000000,0.082833,0.021292,1.001250,2039,3385168,115833,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
26,48087,24.315125,23.918135,23.938786,0.006916,0.000417,0.000000,0.000000,0.083250,0.018833,1.328709,2074,3409483,119135,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
27,48088,23.448750,23.074134,23.116369,0.007461,0.000251,0.000000,0.000000,0.075458,0.014209,0.702001,2047,3359456,117370,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
28,48089,23.285833,22.912037,22.931958,0.007538,0.000375,0.000000,0.000000,0.079875,0.015959,0.722000,2012,3345621,114090,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
29,48090,25.366542,24.960827,24.885074,0.006879,0.000541,0.000000,0.000000,0.089958,0.015959,0.635750,2093,3433465,120644,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
30,48091,23.651583,23.270081,23.293089,0.011377,0.000375,0.000000,0.000000,0.076209,0.014166,1.442333,2038,3347395,116849,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,48092,23.383625,23.001671,23.018677,0.009750,0.000584,0.000000,0.000000,0.087209,0.015708,0.990459,2011,3346515,114908,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
32,48093,24.101042,23.705692,23.723824,0.007259,0.000417,0.000000,0.000000,0.078292,0.018041,0.792250,2057,3400915,118554,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33,48094,23.813750,23.429041,23.460910,0.007455,0.000540,0.000000,0.000000,0.078667,0.014375,1.106125,2063,3379517,118254,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
34,48095,22.961750,22.591447,22.627171,0.007585,0.000457,0.000000,0.000000,0.072917,0.029375,0.908417,2019,3345053,114704,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
35,48096,24.227542,23.823512,23.847688,0.007996,0.000417,0.000000,0.000000,0.087875,0.016500,1.149167,2096,3408438,119450,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
36,48097,23.551916,23.170178,23.189718,0.006329,0.000459,0.000000,0.000000,0.074042,0.033292,1.078209,2018,3344467,116391,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,48098,23.804417,23.421390,23.445359,0.007467,0.000416,0.000000,0.000000,0.072083,0.015250,1.269000,2048,3398885,117009,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
38,48099,23.890958,23.503765,23.545788,0.006627,0.000333,0.000000,0.000000,0.085959,0.017250,1.283209,2075,3396210,118807,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
39,48100,23.645875,23.242903,23.276247,0.007454,0.000333,0.000000,0.000000,0.068125,0.017417,1.836833,2074,3370346,117631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
40,48101,23.215625,22.848270,22.853611,0.007371,0.003043,0.000000,0.000000,0.079584,0.016291,0.909083,2011,3351053,114388,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
41,48102,24.359792,23.955662,24.011819,0.006712,0.000500,0.000000,0.000000,0.077333,0.022000,1.272458,2079,3430789,120508,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
42,48103,23.948667,23.575093,22.744312,0.010715,0.000291,0.000000,0.000000,0.071916,0.013500,1.257542,2037,3357423,118239,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
43,48104,25.918083,25.519302,25.413606,0.007541,0.000541,0.000000,0.000000,0.079042,0.019708,1.605208,2050,3587394,122854,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
44,48105,25.382583,24.971528,24.978316,0.007505,0.000542,0.000000,0.000000,0.099042,0.019667,1.338042,2067,3436792,120347,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
45,48106,25.617334,25.177632,25.077187,0.007920,0.000376,0.000000,0.000000,0.125125,0.036625,0.986250,2114,3392890,118735,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
46,48107,23.818041,23.470280,23.405800,0.010875,0.000250,0.000000,0.000000,0.097875,0.038625,1.385667,2021,3361481,115255,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
47,48108,24.474584,24.085292,24.106214,0.007000,0.000375,0.000000,0.000000,0.079708,0.014208,1.250542,2084,3415380,119895,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
48,48109,23.800541,23.412569,23.410914,0.008084,0.000417,0.000000,0.000000,0.096875,0.018292,1.248959,2074,3339252,116227,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
49,48110,23.549834,23.167084,23.196659,0.007451,0.000293,0.000000,0.000000,0.073083,0.014083,1.076167,2030,3369175,115723,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
50,48111,24.124500,23.734998,23.745703,0.006337,0.000293,0.000000,0.000000,0.078500,0.017625,1.661123,2085,3404832,119078,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
51,48112,23.925541,23.530592,23.510438,0.007501,0.000332,0.000000,0.000000,0.071750,0.014709,0.929083,2094,3347879,116798,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
52,48113,22.874625,22.494116,22.530592,0.007751,0.000624,0.000000,0.000000,0.077042,0.014458,1.295459,2005,3335449,113829,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
53,48114,24.512250,24.124629,24.157660,0.006621,0.000376,0.000000,0.000000,0.074792,0.040583,1.289792,2084,3429653,120611,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
54,48115,23.751500,23.350654,23.358380,0.007671,0.000458,0.000000,0.000000,0.084334,0.015125,1.877957,2075,3333323,116457,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
55,48116,22.859542,22.489861,22.498085,0.006577,0.000375,0.000000,0.000000,0.074292,0.041041,1.285542,1999,3341456,114597,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
56,48117,23.992583,23.604354,23.627343,0.014043,0.000334,0.000000,0.000000,0.086459,0.036708,1.272918,2064,3410779,119198,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57,48118,23.866584,23.470178,23.482160,0.006501,0.000292,0.000000,0.000000,0.073833,0.021458,1.287833,2116,3379295,118153,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
58,48119,22.952333,22.581172,22.609036,0.007419,0.000500,0.000000,0.000000,0.082792,0.015083,1.145542,2019,3357426,115280,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
59,48120,23.651417,23.265562,23.281345,0.006918,0.000415,0.000000,0.000000,0.075916,0.028625,1.524625,2080,3405631,119206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
60,48121,23.385125,22.995699,23.012031,0.008508,0.000416,0.000000,0.000000,0.073583,0.043958,1.234041,2091,3364279,117150,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
61,48122,22.751833,22.375325,22.393590,0.007876,0.000250,0.000000,0.000000,0.076500,0.017625,1.246083,2035,3356943,115031,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
62,48123,25.389417,24.990713,24.641699,0.006711,0.000333,0.000000,0.000000,0.092708,0.017958,1.274042,2071,3426683,120255,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
63,48124,24.397458,23.991835,23.968508,0.007046,0.000542,0.000000,0.000000,0.085333,0.027792,1.613000,2112,3376550,117910,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
64,48125,24.233208,23.840242,23.797954,0.006962,0.000334,0.000000,0.000000,0.087750,0.016625,1.312958,2028,3392173,116005,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
65,48126,24.128667,23.738814,23.768578,0.006919,0.000333,0.000000,0.000000,0.076500,0.013833,1.222125,2100,3418543,119799,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
66,48127,23.815625,23.416653,23.450255,0.007093,0.000417,0.000000,0.000000,0.073583,0.014792,1.226833,2099,3361131,117368,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
67,48128,23.598417,23.219849,23.238216,0.007076,0.000291,0.000000,0.000000,0.079750,0.015208,1.569750,2030,3410662,117236,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
68,48129,23.571666,23.185590,23.218730,0.007871,0.000334,0.000000,0.000000,0.075667,0.020375,1.286459,2047,3374275,117462,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
69,48130,23.673042,23.282772,23.313407,0.010000,0.000499,0.000000,0.000000,0.068625,0.014500,1.278125,2129,3390336,118488,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
70,48131,24.187042,23.781018,23.747708,0.007246,0.000500,0.000000,0.000000,0.081666,0.020209,1.246625,2063,3414153,117463,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
71,48132,24.080958,23.689095,23.680600,0.007625,0.000376,0.000000,0.000000,0.073458,0.040125,1.578541,2062,3362303,117275,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
72,48133,23.335083,22.943420,22.961543,0.006291,0.000292,0.000000,0.000000,0.073792,0.039917,1.272958,2056,3352081,115222,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
73,48134,24.410250,23.996781,24.019066,0.010580,0.000376,0.000000,0.000000,0.070875,0.015125,1.273709,2083,3463248,120615,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
74,48135,23.774709,23.393234,23.422319,0.007371,0.000458,0.000000,0.000000,0.077541,0.040125,1.250625,2057,3362860,117389,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
75,48136,23.492791,23.110050,23.102758,0.007328,0.000417,0.000000,0.000000,0.075167,0.016458,0.605292,2057,3357231,115055,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
76,48137,23.750209,23.358385,23.395437,0.007124,0.000334,0.000000,0.000000,0.075875,0.014333,1.623041,2074,3417456,119025,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
77,48138,23.918000,23.523368,23.530345,0.007963,0.000416,0.000000,0.000000,0.070708,0.042667,0.938792,2065,3398602,118612,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
78,48139,24.061458,23.683128,23.100316,0.006959,0.000583,0.000000,0.000000,0.090833,0.017959,1.278541,2035,3375819,115393,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
79,48140,24.884625,24.476864,24.479600,0.007036,0.000377,0.000000,0.000000,0.069917,0.014708,1.003542,2085,3418280,119692,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
80,48141,24.201000,23.803275,23.818220,0.007963,0.000501,0.000000,0.000000,0.064667,0.015416,1.995125,2019,3351267,116382,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
81,48142,23.708625,23.327996,23.316131,0.007244,0.000292,0.000000,0.000000,0.055917,0.012833,1.306834,2037,3386339,116330,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
82,48143,23.763042,23.372560,23.400136,0.007285,0.000376,0.000000,0.000000,0.061500,0.012750,1.271000,2082,3405445,118806,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
83,48144,23.442166,23.060507,23.075081,0.007422,0.000251,0.000000,0.000000,0.081834,0.017541,0.966459,2059,3367869,117507,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
84,48145,22.900834,22.521950,22.536656,0.007791,0.000293,0.000000,0.000000,0.061000,0.011958,1.592750,2023,3353944,114272,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
85,48146,24.277375,23.888339,23.916211,0.007001,0.000250,0.000000,0.000000,0.063333,0.045167,1.277292,2106,3447635,121017,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
86,48147,24.350625,23.937457,23.817889,0.006411,0.000292,0.000000,0.000000,0.068583,0.034833,1.340375,2048,3353259,117014,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
87,48148,23.536458,23.171500,23.184147,0.007000,0.000583,0.000000,0.000000,0.057250,0.025333,0.937959,2003,3347375,114153,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
88,48149,24.492000,24.093579,24.117677,0.007826,0.000290,0.000000,0.000000,0.064667,0.014916,1.412708,2085,3438260,120318,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
89,48150,23.763542,23.366489,23.393656,0.006750,0.000458,0.000000,0.000000,0.059791,0.014542,1.263501,2078,3382806,118125,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
90,48151,22.869375,22.493608,22.516134,0.007005,0.000333,0.000000,0.000000,0.060208,0.030083,1.115625,2021,3351407,114793,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
91,48152,24.368708,23.969095,23.972759,0.007168,0.000375,0.000000,0.000000,0.067042,0.017041,0.908042,2092,3420224,119647,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
92,48153,23.539375,23.158633,23.176411,0.006965,0.000416,0.000000,0.000000,0.061167,0.013250,0.948541,2042,3358449,116659,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
93,48154,23.793875,23.395229,23.392697,0.006752,0.000209,0.000000,0.000000,0.064167,0.014583,1.865625,2029,3382801,116120,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
94,48155,24.030583,23.639153,23.667578,0.007412,0.000458,0.000000,0.000000,0.068042,0.015167,1.239333,2093,3406296,119033,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
95,48156,23.864209,23.472973,23.481363,0.006951,0.000458,0.000000,0.000000,0.060833,0.014500,0.925917,2095,3370356,117499,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
96,48157,23.052083,22.674292,22.719427,0.005954,0.000251,0.000000,0.000000,0.066958,0.013917,0.772500,1997,3341741,113919,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
97,48158,24.743042,24.348489,24.366328,0.006926,0.000584,0.000000,0.000000,0.070208,0.012917,1.082627,2103,3451109,120980,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
98,48159,23.711541,23.311713,23.330112,0.006705,0.000249,0.000000,0.000000,0.067834,0.047000,0.978083,2109,3369191,117463,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
99,48160,23.717709,23.328758,23.318297,0.006541,0.000416,0.000000,0.000000,0.070666,0.018667,0.930292,2020,3370828,115719,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
100,48161,23.772583,23.377236,23.406337,0.006417,0.000250,0.000000,0.000000,0.066292,0.014958,1.113542,2065,3402293,118258,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
101,48162,23.829542,23.428007,23.466869,0.006950,0.000460,0.000000,0.000000,0.068958,0.022083,1.570959,2136,3390218,118406,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
102,48163,22.669125,22.299754,22.333710,0.007460,0.000500,0.000000,0.000000,0.069958,0.014250,1.246459,2012,3348893,114463,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
103,48164,23.833958,23.444651,23.482134,0.006784,0.000417,0.000000,0.000000,0.062333,0.014084,1.221084,2098,3425214,119952,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
104,48165,23.112917,22.727563,22.762252,0.007080,0.000375,0.000000,0.000000,0.067416,0.013792,1.224250,2084,3366717,116832,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
105,48166,23.182166,22.804293,22.846930,0.007875,0.000458,0.000000,0.000000,0.060667,0.013792,1.265167,2044,3388682,116566,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
106,48167,23.376542,22.991774,23.034444,0.007038,0.000332,0.000000,0.000000,0.064542,0.013666,0.905834,2079,3393458,118634,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
107,48168,23.258542,22.867809,22.889719,0.007621,0.000293,0.000000,0.000000,0.061500,0.012916,1.829957,2095,3355311,117106,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
108,48169,22.534333,22.162170,22.178820,0.006829,0.000292,0.000000,0.000000,0.056458,0.041875,1.223084,2019,3356203,114412,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
109,48170,24.034125,23.639558,23.639617,0.007122,0.000585,0.000000,0.000000,0.065500,0.015083,1.222792,2102,3448322,121019,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
110,48171,23.518542,23.122508,23.168875,0.007664,0.000292,0.000000,0.000000,0.060166,0.014334,1.289459,2089,3350242,116896,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
111,48172,23.060625,22.688010,22.718375,0.007632,0.000292,0.000000,0.000000,0.072291,0.013750,1.268333,2025,3358577,115220,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
112,48173,23.788083,23.397096,23.442429,0.007247,0.000377,0.000000,0.000000,0.057708,0.022375,1.562460,2060,3405897,118529,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
113,48174,25.260583,24.856031,24.583679,0.007705,0.000377,0.000000,0.000000,0.071292,0.017125,1.283875,2142,3417441,119180,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
114,48175,24.712709,24.329464,22.906683,0.006328,0.000542,0.000000,0.000000,0.060708,0.017167,1.294834,2028,3348420,115639,0,2,0,2,0,0,0,0,0,0,7465,0,4680,2785,0
115,48176,31.387458,30.974600,27.676224,0.006791,0.000375,0.000000,0.000000,0.073583,0.016250,2.069457,2097,3873575,129529,0,2,0,2,0,0,0,0,0,0,5565,0,3510,2055,0
116,48177,29.227667,28.788792,27.332022,0.006546,0.000458,0.000000,0.000000,0.078375,0.024083,1.673667,2177,3715181,126502,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
117,48178,24.901541,24.488784,24.481253,0.007294,0.000210,0.000000,0.000000,0.069750,0.060584,1.272001,2132,3368921,114734,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
118,48179,23.765375,23.363883,23.364349,0.006631,0.000584,0.000000,0.000000,0.069459,0.013958,1.589417,2139,3324034,114608,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
119,48180,23.976667,23.585008,23.445625,0.007080,0.000374,0.000000,0.000000,0.072792,0.022333,1.260666,2047,3302765,111944,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
