frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.678375,0.029583,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,174,5448.072125,5192.673580,4897.605755,0.524465,248.080448,223.525679,24.518903,0.331417,0.019000,291.672200,108100,1117766447,80423326,0,296,14,282,0,0,0,0,0,0,925089,512,534085,390407,85
2,48063,136.604083,104.569254,25.928419,0.007201,0.000375,0.000000,0.000000,0.390542,0.027875,5.779708,589,907496,22893,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
3,48064,45.593084,45.181082,34.708589,0.006921,0.000585,0.000000,0.000000,0.128375,0.036416,2.860207,2090,3475063,117947,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
4,48065,27.988375,27.568303,27.151025,0.006502,0.000624,0.000000,0.000000,0.108291,0.029917,0.969875,2144,3524057,122801,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,48066,26.216625,25.799027,25.712856,0.007210,0.000624,0.000000,0.000000,0.108500,0.027916,1.599750,2080,3433438,117515,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
6,48067,26.835375,26.424617,26.178881,0.006832,0.000667,0.000000,0.000000,0.098541,0.041459,1.331459,2127,3477751,121086,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
7,48068,25.207291,24.783479,24.710552,0.007217,0.000625,0.000000,0.000000,0.096250,0.033459,1.890875,2136,3420248,118874,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
8,48069,24.343750,23.952574,23.965534,0.007498,0.000540,0.000000,0.000000,0.071542,0.045583,1.247875,2075,3410452,115842,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
9,48070,25.932542,25.511366,25.386087,0.006960,0.000417,0.000000,0.000000,0.090333,0.024709,0.923041,2122,3484820,122395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
10,48071,24.483167,24.070979,24.106434,0.007081,0.000501,0.000000,0.000000,0.083500,0.016666,1.912458,2125,3370486,117502,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,48072,24.496125,24.104826,24.095803,0.007292,0.000584,0.000000,0.000000,0.094125,0.026958,1.245667,2039,3385606,116325,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
12,48073,24.546666,24.151448,24.140389,0.006292,0.000583,0.000000,0.000000,0.092417,0.034750,1.251084,2056,3392813,118066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13,48074,24.792292,24.379874,24.343541,0.006714,0.000375,0.000000,0.000000,0.074042,0.031291,0.937125,2138,3407807,119123,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
