frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.606583,0.018292,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3202.494292,2980.367875,2176.389460,0.728224,879.265162,834.802154,44.453509,0.304958,0.019417,150.240374,124738,1320243169,101377802,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,17.799250,17.718710,3.046520,0.011067,15.156501,13.053332,2.103043,0.068708,0.034500,1.196083,632,971246,61038,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,203,72.127583,30.951341,28.705647,0.000000,3.701832,3.701218,0.000531,0.217917,0.017666,3.470167,1308,16206386,1477704,0,4,0,4,0,0,0,0,0,0,12614,0,8190,4424,0
4,48063,122.334667,88.989416,21.820503,0.006832,0.000583,0.000000,0.000000,0.267291,0.018917,4.955752,589,907496,22893,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,48064,34.347750,33.937239,27.434261,0.008178,0.000749,0.000000,0.000000,0.185750,0.039291,1.323583,2090,3475063,117947,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
6,48065,21.220250,20.800786,20.572411,0.008344,0.000541,0.000000,0.000000,0.110500,0.026708,0.635501,2144,3524057,122801,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
7,48066,19.408416,19.010569,18.753451,0.007910,0.000668,0.000000,0.000000,0.122292,0.026750,0.762959,2080,3433438,117515,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
8,48067,19.436209,19.034543,18.449537,0.008543,0.000625,0.000000,0.000000,0.089666,0.020334,0.958292,2127,3477751,121086,0,2,0,2,0,0,0,0,0,0,7447,0,3510,3937,0
9,48068,17.034250,16.638831,16.661622,0.008085,0.000584,0.000000,0.000000,0.084583,0.020208,0.506708,2136,3420248,118874,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
10,48069,16.648125,16.252423,16.220396,0.007878,0.000415,0.000000,0.000000,0.064666,0.042625,0.767167,2075,3410452,115842,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
11,48070,16.945791,16.554264,16.573490,0.007667,0.000501,0.000000,0.000000,0.079542,0.013875,0.478375,2122,3484820,122395,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
12,48071,16.472209,16.074184,16.092526,0.008126,0.000376,0.000000,0.000000,0.068125,0.038750,0.919291,2125,3370486,117502,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
13,48072,16.271291,15.878120,15.899295,0.008709,0.000332,0.000000,0.000000,0.063959,0.018166,1.118459,2039,3385606,116325,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
14,48073,16.455250,16.062654,16.091896,0.010628,0.000834,0.000000,0.000000,0.090209,0.015000,0.468959,2056,3392813,118066,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,48074,16.516625,16.123301,16.131598,0.008453,0.000374,0.000000,0.000000,0.066625,0.031042,0.959917,2138,3407807,119123,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
16,48075,16.029250,15.651749,15.672808,0.007667,0.000375,0.000000,0.000000,0.066542,0.013708,0.453250,2050,3401655,117006,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
17,48076,16.145750,15.767660,15.771715,0.007752,0.000374,0.000000,0.000000,0.065375,0.020209,1.108959,2052,3356776,117212,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
18,48077,15.801959,15.428121,15.470830,0.008499,0.000292,0.000000,0.000000,0.064333,0.041083,0.624000,2074,3363465,116705,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
19,48078,16.383708,16.000011,16.019224,0.007956,0.000584,0.000000,0.000000,0.082083,0.014250,1.303916,2086,3459648,118966,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
20,48079,16.335833,15.955087,15.981784,0.008582,0.000501,0.000000,0.000000,0.081792,0.023792,0.608292,2069,3384556,118111,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
21,48080,16.162375,15.774567,15.811827,0.008172,0.000458,0.000000,0.000000,0.074167,0.014333,0.986125,2092,3356472,116371,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
22,48081,16.251667,15.877684,15.903085,0.007914,0.000416,0.000000,0.000000,0.075000,0.021292,0.629750,2061,3422518,118120,0,2,0,2,0,0,0,0,0,0,5610,0,3654,1956,0
23,48082,16.533875,16.148548,16.171643,0.008377,0.000501,0.000000,0.000000,0.072500,0.024167,1.075583,2072,3384548,118276,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
24,48083,15.678542,15.302106,15.344140,0.007958,0.000457,0.000000,0.000000,0.080458,0.017417,0.610792,2069,3349228,114507,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
25,48084,16.377458,15.991458,16.008200,0.007497,0.000376,0.000000,0.000000,0.067708,0.020917,0.930417,2101,3427441,120171,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
26,48085,15.760958,15.393185,15.425150,0.007712,0.000416,0.000000,0.000000,0.072417,0.014750,0.650833,2033,3354553,116631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
27,48086,17.099584,16.702174,16.478892,0.009081,0.000750,0.000000,0.000000,0.095916,0.031625,0.950542,2039,3385168,115833,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
28,48087,17.146625,16.753304,16.767939,0.007627,0.000543,0.000000,0.000000,0.072500,0.038416,0.665416,2074,3409483,119135,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,48088,16.270250,15.891131,15.908001,0.011252,0.000458,0.000000,0.000000,0.070416,0.014250,0.967124,2047,3359456,117370,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
30,48089,15.686250,15.318508,15.354355,0.007622,0.000543,0.000000,0.000000,0.070250,0.014250,0.459083,2012,3345621,114090,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
31,48090,16.348750,15.965168,15.991204,0.006995,0.000376,0.000000,0.000000,0.072333,0.013167,1.189166,2093,3433465,120644,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
32,48091,15.974125,15.591830,15.619371,0.007546,0.000332,0.000000,0.000000,0.067333,0.042792,0.655083,2038,3347395,116849,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
33,48092,15.552166,15.181791,15.187025,0.007507,0.000500,0.000000,0.000000,0.066000,0.025459,1.328916,2011,3346515,114908,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
34,48093,16.489000,16.110924,16.137626,0.010666,0.000542,0.000000,0.000000,0.065542,0.015208,0.606792,2057,3400915,118554,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,48094,16.939917,16.551213,16.446968,0.007995,0.000541,0.000000,0.000000,0.079750,0.013917,0.963708,2063,3379517,118254,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
36,48095,16.006958,15.642335,15.667305,0.008000,0.000582,0.000000,0.000000,0.085500,0.017584,1.285167,2019,3345053,114704,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
37,48096,16.306500,15.927489,15.955403,0.007624,0.000542,0.000000,0.000000,0.082084,0.018958,0.607125,2096,3408438,119450,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
38,48097,15.782209,15.402497,15.400268,0.008582,0.000334,0.000000,0.000000,0.074541,0.014125,1.122917,2018,3344467,116391,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
39,48098,16.195333,15.819443,15.820651,0.007410,0.000459,0.000000,0.000000,0.067292,0.022375,0.612458,2048,3398885,117009,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
40,48099,17.643583,17.260038,16.871025,0.006967,0.000582,0.000000,0.000000,0.071375,0.015584,0.649416,2075,3396210,118807,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
41,48100,16.022042,15.634501,15.668563,0.007708,0.000416,0.000000,0.000000,0.068708,0.018250,0.648917,2074,3370346,117631,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
42,48101,15.647708,15.287326,15.319424,0.008083,0.000627,0.000000,0.000000,0.076042,0.022458,1.249250,2011,3351053,114388,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
43,48102,16.262584,15.880236,15.896073,0.008118,0.000374,0.000000,0.000000,0.075208,0.015333,0.653167,2079,3430789,120508,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
44,48103,15.948333,15.564270,14.911194,0.009832,0.000419,0.000000,0.000000,0.074958,0.013042,0.939208,2037,3357423,118239,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
45,48104,17.397292,17.004769,17.031887,0.007372,0.000666,0.000000,0.000000,0.085083,0.021667,0.610458,2050,3587394,122854,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
46,48105,17.168083,16.782752,16.776296,0.008369,0.003750,0.000000,0.000000,0.094792,0.020500,0.901792,2067,3436792,120347,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
47,48106,16.687542,16.295205,16.306430,0.007913,0.000417,0.000000,0.000000,0.074791,0.050667,1.274876,2114,3392890,118735,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
48,48107,16.350750,15.972824,15.966805,0.008243,0.000584,0.000000,0.000000,0.072958,0.018583,0.610125,2021,3361481,115255,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
49,48108,16.332791,15.948022,15.980097,0.007962,0.000626,0.000000,0.000000,0.088375,0.014417,1.057459,2084,3415380,119895,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
50,48109,16.624959,16.230191,16.273222,0.008915,0.000541,0.000000,0.000000,0.076583,0.038292,0.298750,2074,3339252,116227,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
51,48110,16.486500,16.104685,16.116598,0.008499,0.000499,0.000000,0.000000,0.084250,0.015416,0.598291,2030,3369175,115723,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
52,48111,15.814375,15.429075,15.468124,0.007629,0.000249,0.000000,0.000000,0.069083,0.016958,0.609791,2085,3404832,119078,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
53,48112,15.484041,15.109584,15.139140,0.007748,0.000375,0.000000,0.000000,0.070292,0.016917,0.917041,2094,3347879,116798,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
54,48113,17.566292,17.201905,14.803929,0.008121,0.000375,0.000000,0.000000,0.064250,0.013375,0.616334,2005,3335449,113829,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
55,48114,15.535167,15.164223,15.204781,0.007997,0.000334,0.000000,0.000000,0.063875,0.013750,1.206958,2084,3429653,120611,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
56,48115,14.840958,14.468706,14.509155,0.007957,0.000332,0.000000,0.000000,0.054000,0.016083,0.633166,2075,3333323,116457,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
57,48116,14.620667,14.264953,14.306135,0.007418,0.000250,0.000000,0.000000,0.051583,0.014208,1.240459,1999,3341456,114597,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
58,48117,16.105833,15.721186,15.668153,0.007209,0.001001,0.000000,0.000000,0.075833,0.012792,0.620041,2064,3410779,119198,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
59,48118,15.548083,15.143528,15.190351,0.008465,0.000457,0.000000,0.000000,0.068500,0.014334,0.606250,2116,3379295,118153,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
60,48119,15.020625,14.663228,14.693856,0.007587,0.000251,0.000000,0.000000,0.064084,0.014791,1.216959,2019,3357426,115280,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
61,48120,15.425792,15.053438,15.089806,0.007877,0.000292,0.000000,0.000000,0.065458,0.012875,0.447500,2080,3405631,119206,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
62,48121,15.257042,14.880693,14.906797,0.008706,0.000374,0.000000,0.000000,0.061500,0.018583,0.746375,2091,3364279,117150,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
63,48122,14.814833,14.446736,14.480329,0.008546,0.000251,0.000000,0.000000,0.051167,0.011583,0.608958,2035,3356943,115031,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
64,48123,16.745417,16.381787,15.457555,0.008040,0.000417,0.000000,0.000000,0.063416,0.013209,0.772917,2071,3426683,120255,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
65,48124,15.414416,15.024533,15.044331,0.009034,0.000458,0.000000,0.000000,0.063875,0.012625,0.607208,2112,3376550,117910,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
66,48125,15.174250,14.805821,14.842397,0.007499,0.000542,0.000000,0.000000,0.067917,0.017458,0.924125,2028,3392173,116005,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
67,48126,15.513917,15.132367,15.178695,0.007422,0.000250,0.000000,0.000000,0.059667,0.012708,0.641834,2100,3418543,119799,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
68,48127,15.266292,14.892350,14.912590,0.007337,0.000376,0.000000,0.000000,0.056041,0.014417,0.642083,2099,3361131,117368,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
69,48128,15.342791,14.978937,15.004121,0.007872,0.000500,0.000000,0.000000,0.063834,0.013833,1.228083,2030,3410662,117236,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
70,48129,15.233875,14.874208,14.908274,0.011210,0.000333,0.000000,0.000000,0.060167,0.013792,0.612792,2047,3374275,117462,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
