frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.650667,0.051417,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3249.672625,2987.399426,1966.998502,0.406147,1093.313994,1048.061289,45.247829,0.281500,0.531250,149.936424,124741,1319966411,101352397,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,18.606625,18.513407,2.604091,0.011067,15.547334,12.394041,3.153127,0.074292,0.048708,0.930250,632,971273,61045,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.399750,1640.051588,1026.637594,0.009457,643.669741,629.546151,14.123049,0.067125,0.097625,90.151039,62914,796565221,50948600,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.633625,16.527742,4.679511,0.008710,12.598417,12.525956,0.072378,0.034584,0.282500,1.022625,652,2139725,155818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,16.659459,16.549002,16.186575,0.001998,1.212833,1.209553,0.002655,0.036958,0.208958,0.331292,662,6993973,176757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,18.376500,18.265932,4.178518,0.009094,14.007916,11.368540,2.639209,0.032666,0.008625,0.759542,657,2030316,141823,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,15.479083,15.353010,15.235842,0.001543,0.000625,0.000000,0.000000,0.049750,0.017833,0.982833,661,7270222,181066,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,18.020292,17.918995,4.094346,0.009248,13.795334,11.211665,2.583544,0.034625,0.010083,0.636375,652,2014238,145060,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,15.514208,15.404333,15.301040,0.001666,0.000500,0.000000,0.000000,0.043417,0.020708,0.706000,669,7331869,170409,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,16.200667,16.091825,4.075546,0.008416,11.989832,11.264039,0.725627,0.027791,0.008750,0.640875,652,2054974,148578,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,16.459458,16.353007,16.170629,0.001088,1.443334,1.442663,0.000671,0.030667,0.273708,0.919500,670,7417060,175271,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,18.406750,18.297582,4.116371,0.008998,14.113999,11.441665,2.672168,0.032750,0.013625,0.978500,659,2017227,140753,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,15.275000,15.162708,15.141796,0.001001,0.000210,0.000000,0.000000,0.031833,0.026834,0.640042,660,7569872,180474,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,18.122417,18.018919,3.908036,0.008838,14.095666,11.428915,2.666585,0.038500,0.042791,1.259126,651,1966406,140949,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,15.649500,15.538963,15.435051,0.001043,0.000458,0.000000,0.000000,0.041000,0.023833,0.619958,669,7551707,173814,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,17.772000,17.666665,4.047662,0.008908,13.597917,11.098248,2.499543,0.030291,0.009959,1.258583,649,2007228,144475,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,15.180125,15.071844,15.036955,0.001540,0.000458,0.000000,0.000000,0.043750,0.016833,0.528709,660,7479503,172046,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,18.512875,18.405224,3.643437,0.009244,14.770126,12.612540,2.157460,0.028541,0.008792,0.620375,659,2001978,139437,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,14.747000,14.642812,14.634835,0.000748,0.019582,0.019208,0.000084,0.024000,0.031541,0.291792,661,7532479,177016,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,18.748916,18.638089,3.579997,0.008913,15.085417,12.884415,2.200835,0.040750,0.016042,0.601126,659,1919542,134571,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,14.882292,14.775380,14.765284,0.001044,0.000333,0.000000,0.000000,0.023500,0.006917,0.288083,658,7503538,171761,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,17.742000,17.635741,3.347783,0.009624,14.296417,11.548040,2.748252,0.018250,0.020250,0.741958,649,1959943,140375,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,320,15.224083,15.107862,14.970090,0.001083,0.650790,0.643218,0.007489,0.037667,0.158875,0.643000,666,7437385,163449,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,321,17.847209,17.747621,3.800411,0.009008,13.947541,11.627790,2.319585,0.037208,0.051167,0.366458,654,1994926,143376,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,322,15.525166,15.410916,15.339936,0.001295,0.523002,0.506638,0.015821,0.045250,0.161417,0.681125,661,7472324,171353,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
