frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641708,0.022292,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3234.600792,2987.223260,1973.845081,0.486495,1032.547073,988.549533,43.987828,0.316500,0.020583,156.724913,124750,1319934092,101347999,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,17.110041,17.213329,3.615181,0.013200,14.058666,14.058250,0.000208,0.034959,0.019708,0.296166,632,971297,61045,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1652.606917,1642.148009,1040.665902,0.009501,630.229422,616.032185,14.193529,0.078917,0.054416,90.580802,62920,796593201,50952793,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,17.136833,17.027502,3.983336,0.009369,12.965416,10.668666,2.296542,0.051000,0.011625,1.187959,652,2139749,155818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,15.671625,15.555143,15.349334,0.001918,0.000583,0.000000,0.000000,0.042542,0.016125,0.646459,662,6993979,176757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,15.711792,15.604441,4.378332,0.010794,11.806791,11.167666,0.639042,0.037000,0.139000,0.672750,657,2030322,141823,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,16.588375,16.474656,16.117887,0.001581,0.685584,0.667708,0.017876,0.048542,0.178541,1.002750,660,7270250,181066,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,18.873958,18.767031,4.068054,0.009168,15.000043,12.774792,2.225084,0.025584,0.015583,0.315542,652,2014262,145060,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,15.103750,14.992465,14.966475,0.001290,0.000500,0.000000,0.000000,0.028459,0.012583,0.692874,669,7331883,170527,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,16.075500,15.961271,5.150241,0.008497,12.453208,12.452541,0.000667,0.036792,0.177708,0.300875,650,2055074,148580,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,16.672084,16.565002,16.233644,0.001333,1.721334,1.710541,0.010793,0.026833,0.230583,0.680875,668,7432621,176916,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,18.294208,18.184282,3.668733,0.008954,14.504167,11.701125,2.802917,0.032500,0.007417,0.724792,659,2008495,140014,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,15.086500,14.978893,14.920045,0.000750,0.286582,0.277472,0.009027,0.027000,0.190833,0.365250,660,7569884,180474,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,18.551417,18.442748,3.560040,0.008953,14.851167,12.327958,2.523000,0.038416,0.010792,0.733333,651,1966430,140949,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,15.076541,14.964333,14.955603,0.000918,0.000207,0.000000,0.000000,0.027209,0.008833,0.373417,669,7551731,173814,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,16.510584,16.404531,3.440586,0.008207,13.033667,11.691291,1.342334,0.030583,0.091000,0.819001,649,2007246,144475,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,16.668375,16.557205,16.220995,0.001002,1.938583,1.930082,0.008459,0.022333,0.117792,0.304958,660,7479548,171996,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,18.086000,17.981253,3.486336,0.008668,14.481623,11.686916,2.794541,0.023666,0.006459,0.951416,660,1991138,138503,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,15.215375,15.110382,14.963153,0.001000,0.703417,0.698306,0.005028,0.022833,0.178417,0.444458,661,7532503,177016,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,18.185000,18.016986,3.430044,0.008991,14.549834,11.713166,2.836501,0.022958,0.010083,0.592375,659,1919548,134571,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,15.158750,15.042959,14.975096,0.000955,0.791708,0.785473,0.006152,0.021125,0.218125,0.462667,658,7503544,171761,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,319,16.684333,16.577248,3.776005,0.008947,13.158667,11.904166,1.254501,0.028417,0.200791,0.759917,649,1959973,140375,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
