frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.785875,0.021125,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3233.338209,2987.227271,2032.596556,0.542262,1008.589284,963.714562,44.867434,0.321166,0.022750,153.998125,124737,1320387906,101387576,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,17.828125,17.739363,2.296172,0.010626,15.279917,12.805667,2.474084,0.062708,0.034417,0.979833,632,971206,61043,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.513708,1640.662058,1074.397577,0.009171,602.155333,593.621225,8.533233,0.061167,0.020083,87.045661,62914,796565176,50950177,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.957583,16.845033,4.135954,0.008538,12.690875,10.474874,2.215834,0.038084,0.009916,0.947459,652,2139737,155818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,16.424250,16.311550,16.241873,0.001710,0.000417,0.000000,0.000000,0.037042,0.053083,1.364583,662,6993987,176757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,16.963125,16.812675,3.777169,0.008913,13.014167,10.701834,2.312250,0.085167,0.054417,0.690792,657,2030328,141823,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,16.173834,16.105259,16.043615,0.001287,0.000418,0.000000,0.000000,0.042458,0.026542,1.120917,660,7270262,181066,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,16.996333,16.892382,3.536582,0.008916,13.346917,10.899166,2.447626,0.029250,0.007083,0.302250,652,2014244,145060,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,16.028625,15.914291,15.887629,0.001169,0.000333,0.000000,0.000000,0.036375,0.018042,0.898958,669,7331886,170409,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,17.176125,17.076249,3.582543,0.009373,13.496999,11.052166,2.444709,0.020417,0.007041,0.291333,650,2054980,148578,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,15.830250,15.717770,15.716399,0.001124,0.000334,0.000000,0.000000,0.027292,0.012166,0.590625,669,7417089,175270,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,17.504958,17.393135,3.448357,0.009624,13.929458,11.316709,2.612625,0.019125,0.019125,0.596209,659,2017258,140754,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,16.169625,16.069961,16.048839,0.000709,0.000293,0.000000,0.000000,0.029500,0.012250,0.364375,660,7569902,180474,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,17.400625,17.287340,3.510122,0.008707,13.777917,11.323249,2.454542,0.023209,0.007958,0.708749,651,1966448,140949,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,15.770292,15.666842,15.660036,0.000836,0.000250,0.000000,0.000000,0.029083,0.009917,0.364958,669,7551776,173772,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,17.445750,17.342155,3.606300,0.009282,13.749291,11.166166,2.583042,0.024417,0.008083,0.926375,649,2032391,146647,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,15.615792,15.502099,15.503846,0.000959,0.000333,0.000000,0.000000,0.021625,0.006791,0.370375,660,7479542,171996,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,17.503916,17.399839,3.367756,0.008873,14.039208,11.389209,2.649833,0.022042,0.008250,0.728791,660,1991132,138503,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,316,15.648917,15.540736,15.542809,0.000874,0.000251,0.000000,0.000000,0.027542,0.007291,0.348958,661,7532497,177016,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,317,18.318292,18.212833,4.120335,0.008825,14.888167,12.675416,2.212625,0.022333,0.006042,0.754042,659,1919578,134571,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,318,15.532208,15.420604,15.420762,0.001041,0.000250,0.000000,0.000000,0.030958,0.018000,0.910208,659,7503574,171761,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
