frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.867375,0.034708,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,35.611708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.178042,0.060375,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,44.325292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.381708,0.027542,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,34.180958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.201458,0.182000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,43.519167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.368250,0.027000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,43.675875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.210291,0.013375,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,43.628625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.174666,0.022917,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,40.631166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.385875,0.031167,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,34.177625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.184209,0.035083,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,34.986292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218917,0.036791,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,38.346208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.205584,0.015250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,40.261709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.388791,0.029709,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,42.741666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094417,0.053750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,38.153000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095792,0.041292,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,43.229459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.172125,0.023208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,43.733041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.167500,0.032959,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,41.551917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103458,0.019042,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,43.168292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202666,0.045834,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,35.346125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.099041,0.020292,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,33.675791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.193917,0.038333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,35.831834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.201583,0.034208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,43.327958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.177250,0.040208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,37.619583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097250,0.019500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,39.452959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156583,0.030500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,39.899333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100792,0.080541,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,43.258958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090209,0.141541,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,43.981792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.175667,0.034500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,37.817875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104250,0.112833,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,42.629042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.194625,0.032333,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,34.312666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.171709,0.037708,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
