frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.688917,0.027417,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3205.904917,2982.857234,2180.397306,0.386273,908.565871,871.802089,36.757950,0.699750,0.020333,151.949385,124728,1320253362,101378285,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,16.441250,16.335749,2.658999,0.011577,13.156874,12.949207,0.207459,0.046458,0.022917,0.901958,632,971248,61037,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1651.832542,1641.254684,1162.548057,0.011161,529.463616,528.149429,1.313480,0.073125,0.018250,83.043619,62924,796565362,50948659,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,16.483125,16.373171,4.391826,0.008668,11.977333,11.201832,0.775377,0.030583,0.012042,1.160584,652,2139773,155818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,18.504833,18.385254,18.290960,0.001921,0.000541,0.000000,0.000000,0.032667,0.019250,1.006459,662,6994071,176757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.803500,14.704425,4.231830,0.009341,10.513334,10.293749,0.219418,0.031750,0.016042,0.356166,657,2030360,141823,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,17.814208,17.700424,17.686464,0.001668,0.000376,0.000000,0.000000,0.039250,0.015834,0.704417,660,7270298,181066,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,15.372209,15.266230,3.968294,0.009334,11.368791,10.957957,0.410793,0.022083,0.097750,0.459209,652,2014286,145060,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.170791,18.059873,18.024907,0.001289,0.000334,0.000000,0.000000,0.029834,0.025250,0.980501,668,7331923,170409,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,17.071000,16.968556,4.002643,0.008292,12.959084,10.669582,2.289335,0.022792,0.008042,0.481834,651,2055022,148578,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,17.944959,17.833063,17.835269,0.000956,0.000249,0.000000,0.000000,0.021875,0.010708,0.755333,667,7432665,176744,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
