frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.721500,0.019584,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3220.859959,2975.888880,2192.956362,0.460982,849.630413,808.131315,41.491347,0.638791,0.023084,154.681495,124738,1320220563,101382865,0,346,14,332,0,0,0,0,0,0,1085181,512,634705,449879,85
2,201,18.292083,18.212226,2.455544,0.011345,14.886875,12.254207,2.632584,0.035833,0.046000,1.220084,632,971336,61037,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.527958,1639.971653,1173.067672,0.008835,517.441997,516.684157,0.757339,0.075500,0.020750,86.141001,62920,796565374,50953013,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,18.453542,18.336129,4.669536,0.009922,13.660917,11.138289,2.522419,0.047125,0.013042,0.888249,652,2139773,155818,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.586208,19.470078,19.388844,0.001833,0.000334,0.000000,0.000000,0.027959,0.014291,0.838124,662,6994071,176757,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.286500,14.164250,4.537870,0.008915,10.016083,7.823374,2.192543,0.023334,0.008333,0.453416,657,2030360,141823,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,19.164417,19.059114,19.062504,0.001872,0.000583,0.000000,0.000000,0.035375,0.014458,0.910208,660,7270298,181066,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,14.094375,13.980876,4.385292,0.009253,9.882584,7.698832,2.183585,0.024708,0.009042,0.451750,652,2014290,145060,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,19.131292,19.017786,19.023035,0.001448,0.000292,0.000000,0.000000,0.023625,0.011458,0.660541,668,7331923,170409,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,14.089125,13.979047,4.619798,0.008630,9.926543,7.823165,2.103210,0.022833,0.008625,0.359166,651,2055022,148578,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,19.310791,19.191206,19.197956,0.001123,0.000374,0.000000,0.000000,0.031500,0.013417,0.648292,668,7417100,175310,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,12.048417,11.937746,4.880616,0.009712,7.828914,7.828623,0.000209,0.021667,0.008125,0.301333,659,2008366,140000,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,18.954458,18.836574,18.842960,0.001084,0.000250,0.000000,0.000000,0.026459,0.035916,0.737541,660,7569896,180474,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,16.602000,16.491546,4.173921,0.009667,12.432458,10.239248,2.193085,0.023584,0.019458,0.899958,651,1966448,140949,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,19.409750,19.293186,19.293770,0.001082,0.000250,0.000000,0.000000,0.024959,0.008375,0.892750,669,7551731,173814,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,11.660834,11.550592,4.968107,0.009123,7.705834,7.705414,0.000378,0.020750,0.088833,0.446208,649,2007258,144475,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,18.564666,18.451896,18.440085,0.000833,0.000250,0.000000,0.000000,0.025334,0.008791,0.448542,660,7479554,171996,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
