frame,emulated_frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599041,0.033959,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200,3210.087375,2980.419021,2263.632465,0.000000,793.764459,771.919338,21.835161,0.151250,0.033458,150.028036,124697,1463293737,101932040,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,201,18.063791,17.975292,6.418631,0.000000,11.387708,10.085417,1.302125,0.039125,0.020875,0.915125,631,8107252,89936,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,300,1650.342709,1639.665726,1188.993913,0.000000,506.673836,506.029725,0.643361,0.059583,0.017500,83.385662,62925,802614635,50974536,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,301,17.938750,17.826993,7.794077,0.000000,10.280958,9.078583,1.202250,0.030583,0.011083,0.978209,651,8107230,177583,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,302,19.067166,18.957213,18.817821,0.000000,0.000333,0.000000,0.000000,0.038709,0.017500,1.026500,663,8102628,184817,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,303,14.314084,14.207519,7.385427,0.000000,6.897624,5.634917,1.262583,0.029375,0.014666,0.360084,656,8107068,166496,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,304,19.066500,18.949056,18.904879,0.000000,0.000292,0.000000,0.000000,0.032541,0.018959,0.731083,659,8102603,186585,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,305,13.880250,13.774221,7.379491,0.000000,6.413084,5.602500,0.810375,0.037541,0.018917,0.378000,650,8107191,169781,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,306,18.799166,18.687851,18.683094,0.000000,0.000416,0.000000,0.000000,0.048750,0.017000,0.962000,669,8102443,175920,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,307,14.917667,14.811476,8.077984,0.000000,7.400208,6.230124,1.169917,0.038583,0.038375,0.309250,650,8107243,173147,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,308,18.508208,18.396169,18.381464,0.000000,0.000250,0.000000,0.000000,0.031834,0.022708,0.766251,670,8102641,179126,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,309,14.931125,14.823114,7.756194,0.000000,7.678375,6.417209,1.261042,0.020167,0.007292,0.321333,659,8107077,166682,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,310,18.370250,18.255539,18.257126,0.000000,0.000333,0.000000,0.000000,0.027084,0.010750,0.834667,659,8102607,183546,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,311,14.971084,14.865705,7.929742,0.000000,7.833333,6.557291,1.275876,0.031083,0.011083,0.963542,651,8107215,165863,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,312,18.500041,18.388665,18.378580,0.000000,0.000292,0.000000,0.000000,0.022250,0.007917,0.476250,671,8102443,177153,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,313,14.804542,14.699682,7.873164,0.000000,7.717875,6.498791,1.218959,0.024750,0.009625,0.768792,649,8107249,169233,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,314,18.155000,18.037972,18.014590,0.000000,0.000208,0.000000,0.000000,0.030000,0.007792,0.477416,660,8102630,175881,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,315,15.164292,15.062410,7.688493,0.000000,8.095750,6.875292,1.220333,0.027458,0.019833,0.779042,661,8107063,163332,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
