frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.560625,0.023833,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3206.205541,2981.990755,2316.748786,0.000000,742.717462,717.519635,25.186744,0.100167,0.030625,151.403535,124684,1463293756,101908442,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,17.191417,17.090918,6.557660,0.000000,10.352375,8.918041,1.434168,0.041125,0.015667,0.928708,632,8107251,89945,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,1650.874292,1640.369185,1209.413287,0.000000,490.174450,489.535024,0.638469,0.072333,0.042667,84.865876,62913,802614634,50975972,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,17.928291,17.811638,8.087915,0.000000,9.643169,8.459416,1.183502,0.048167,0.027917,0.766625,651,8107220,180067,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,19.216334,19.098836,18.979004,0.000000,0.000458,0.000000,0.000000,0.043166,0.016917,1.056458,662,8102630,184818,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,13.799000,13.691547,7.391281,0.000000,6.204625,5.152514,1.051403,0.035541,0.009750,0.304416,656,8107067,166506,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,18.280375,18.162815,18.160394,0.000000,0.000709,0.000000,0.000000,0.027500,0.015166,0.713708,660,8102566,189076,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,15.260583,15.154882,7.974638,0.000000,7.970042,6.711666,1.258210,0.027417,0.008250,0.314542,652,8107237,169788,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,18.663167,18.553921,18.541572,0.000000,0.000292,0.000000,0.000000,0.025583,0.012750,0.786292,668,8102463,174565,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,14.666500,14.555799,7.801801,0.000000,7.224915,6.023540,1.201209,0.025750,0.008250,0.290875,651,8107218,173148,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,18.360500,18.246319,18.214904,0.000000,0.000333,0.000000,0.000000,0.037208,0.018042,0.906500,668,8102653,180558,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,15.074583,14.962497,8.138744,0.000000,7.635749,6.394541,1.241042,0.031792,0.008791,0.935208,659,8107058,165959,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,18.554958,18.438490,18.443466,0.000000,0.000209,0.000000,0.000000,0.027000,0.014375,0.607834,660,8102604,183693,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,14.904584,14.787672,7.959704,0.000000,7.434833,6.184208,1.250459,0.031375,0.014250,1.424792,652,8107229,165868,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,18.494291,18.382256,18.379568,0.000000,0.000375,0.000000,0.000000,0.028750,0.010584,0.466125,670,8102438,180019,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,14.857042,14.749717,7.935576,0.000000,7.321210,6.119291,1.201752,0.033750,0.010625,0.660917,649,8107235,171300,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,18.847333,18.729319,18.697001,0.000000,0.000333,0.000000,0.000000,0.048709,0.019708,0.944625,660,8102639,175884,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,14.270209,14.138135,7.601760,0.000000,6.606292,5.466208,1.139959,0.060250,0.026291,0.695208,660,8107066,164207,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,18.582875,18.484003,18.427687,0.000000,0.000332,0.000000,0.000000,0.031000,0.022416,1.138749,661,8102659,179598,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,13.733041,13.621951,7.951833,0.000000,6.334291,6.320124,0.014001,0.027750,0.023917,0.500334,659,8107291,159662,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,18.515917,18.407514,18.391161,0.000000,0.000333,0.000000,0.000000,0.030042,0.009666,1.135542,661,8102319,175308,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,14.748208,14.643291,7.817158,0.000000,7.570584,7.526832,0.043627,0.025834,0.130541,0.291792,649,8107247,165315,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,18.285917,18.168459,18.133647,0.000000,0.000208,0.000000,0.000000,0.023125,0.008458,1.329416,665,8102489,166748,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,16.274333,16.168623,7.168994,0.000000,9.180041,7.968874,1.211001,0.025084,0.044625,0.486250,651,8107219,164002,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,17.767834,17.656170,17.621763,0.000000,0.000251,0.000000,0.000000,0.022083,0.013708,0.784500,661,8102615,176906,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,15.701375,15.595245,7.712216,0.000000,8.492584,7.235624,1.256876,0.020083,0.013708,0.291000,657,8107047,153424,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
