frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.559334,0.023291,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3222.106875,2988.937351,2329.259684,0.000000,755.511488,728.412370,27.089965,0.111209,5.776916,155.166450,124733,1463293755,101948000,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,16.641709,16.548040,11.904584,0.000000,4.549916,4.034972,0.514528,0.061041,0.035917,0.352041,629,8107269,89928,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,1651.141250,1640.683987,1202.443892,0.000000,495.189758,494.228959,0.960258,0.063250,0.035375,82.599043,62919,802614640,50976594,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,17.673208,17.563790,7.786091,0.000000,9.726167,8.495457,1.230585,0.038375,0.011417,0.929209,649,8107242,177113,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,18.918042,18.803124,18.738443,0.000000,0.000375,0.000000,0.000000,0.035708,0.052167,0.998042,661,8102614,182132,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,13.352166,13.242746,8.305835,0.000000,5.471751,5.471097,0.000236,0.036334,0.007791,0.640084,659,8107069,166482,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,18.298417,18.185377,18.186164,0.000000,0.000499,0.000000,0.000000,0.025500,0.023125,0.647875,661,8102593,185400,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,16.318583,16.216114,7.607277,0.000000,9.009375,7.740166,1.269043,0.027959,0.009000,0.290083,652,8107213,169802,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,18.954125,18.828542,18.711075,0.000000,0.000709,0.000000,0.000000,0.036792,0.024125,0.761167,667,8102421,174562,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,13.117834,13.011621,8.282516,0.000000,5.734460,5.727707,0.006669,0.025750,0.026875,0.287500,650,8107253,173150,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,18.234666,18.127661,18.101392,0.000000,0.000582,0.000000,0.000000,0.032334,0.012166,0.916375,667,8102638,179231,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,16.426334,16.319796,7.767220,0.000000,8.967792,7.721749,1.245918,0.025791,0.022792,0.900291,659,8107043,165950,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,18.235333,18.124705,18.105346,0.000000,0.000417,0.000000,0.000000,0.028083,0.012834,0.445958,659,8102643,183555,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,13.817875,13.708004,8.051917,0.000000,6.686166,6.668248,0.017752,0.020917,0.074500,0.754417,651,8107227,165866,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
15,18.106833,17.999530,17.941878,0.000000,0.000293,0.000000,0.000000,0.039042,0.011292,0.467292,670,8102416,177092,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
16,15.288334,15.181420,7.644451,0.000000,7.959041,7.951373,0.004668,0.030166,0.017250,0.931417,649,8107259,169234,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
17,17.870750,17.756901,17.727008,0.000000,0.000750,0.000000,0.000000,0.064041,0.015250,0.611917,659,8102661,175684,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
18,15.512250,15.406245,8.217598,0.000000,7.995001,7.994583,0.000251,0.037708,0.017708,1.189250,660,8107039,164205,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
19,17.972125,17.858206,17.851495,0.000000,0.000417,0.000000,0.000000,0.027625,0.011125,1.288291,661,8102665,179598,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
20,15.990291,15.879120,7.253956,0.000000,8.824541,8.212874,0.611543,0.022792,0.015458,0.624417,660,8107319,159662,0,2,0,2,0,0,0,0,0,0,7004,0,4536,2468,0
21,17.822834,17.715953,17.717215,0.000000,0.000332,0.000000,0.000000,0.030625,0.012500,0.961250,660,8102289,175515,0,302,0,302,0,0,0,0,0,0,21250,14400,3654,3196,0
22,15.519416,15.413957,7.587560,0.000000,8.200041,7.611540,0.588376,0.025709,0.008541,0.636750,649,8107250,165318,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
23,17.811500,17.698321,17.706677,0.000000,0.000376,0.000000,0.000000,0.029084,0.018583,0.909500,665,8102485,166744,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
24,16.187292,16.077719,7.532209,0.000000,8.888877,7.670458,1.218293,0.031417,0.010166,0.291417,654,8107213,168702,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
25,17.686375,17.577080,17.570117,0.000000,0.000249,0.000000,0.000000,0.024042,0.008916,1.247125,661,8102628,175099,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
26,15.745542,15.638616,7.437912,0.000000,8.712042,7.432207,1.279668,0.026125,0.014333,0.291042,658,8107044,153419,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
27,17.996041,17.885715,17.806846,0.000000,0.000333,0.000000,0.000000,0.039334,0.014916,1.082292,661,8102633,173746,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
28,14.066625,13.960128,8.280390,0.000000,6.805126,6.800499,0.004543,0.024084,0.035000,0.610000,651,8107236,161388,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
29,17.747459,17.638543,17.604507,0.000000,0.000417,0.000000,0.000000,0.027125,0.010125,0.916626,666,8102462,163132,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
30,15.645125,15.531798,7.407576,0.000000,8.548250,8.547916,0.000251,0.029541,0.011125,1.313500,653,8107251,160082,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
31,18.305541,18.198204,18.185666,0.000000,0.000292,0.000000,0.000000,0.028250,0.009375,0.609958,659,8102598,170753,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
32,16.339250,16.231669,7.302518,0.000000,9.186041,7.932124,1.253751,0.026584,0.007958,0.975209,658,8107053,149573,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
33,17.722584,17.608890,17.596646,0.000000,0.000333,0.000000,0.000000,0.023291,0.008500,0.638417,663,8102618,168881,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
34,14.381166,14.273093,7.921875,0.000000,7.248501,7.244790,0.003585,0.023792,0.013583,1.285250,652,8107247,159637,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
35,17.592084,17.484341,17.488212,0.000000,0.000293,0.000000,0.000000,0.021041,0.008459,0.654542,665,8102450,158197,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
36,16.878666,16.771144,6.820981,0.000000,9.960209,8.641333,1.318750,0.025334,0.006916,1.247584,652,8107259,156152,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
37,17.579000,17.465506,17.468800,0.000000,0.000583,0.000000,0.000000,0.020542,0.008458,1.216417,661,8102609,166892,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
