frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.646542,0.032750,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3210.147750,2985.615261,2381.832767,0.000000,750.826614,745.924604,4.891098,0.116167,0.027667,155.975829,124703,1463293698,101946041,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
2,12.717959,12.623571,6.897564,0.000000,6.519542,6.429708,0.089709,0.043458,0.012958,0.921375,630,8107291,89939,0,2,0,2,0,0,0,0,0,0,6686,0,3510,3176,0
3,1651.709250,1641.187200,1275.735930,0.000000,484.284378,483.790307,0.493111,0.064583,0.042625,82.744951,62927,802614636,50972789,0,500,0,500,0,0,0,0,0,0,679424,15424,387270,276730,0
4,16.633916,16.525032,8.491893,0.000000,8.386042,8.316165,0.069751,0.035667,0.017625,1.013624,651,8107233,177119,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
5,19.307792,19.191629,19.093276,0.000000,0.000333,0.000000,0.000000,0.425875,0.031667,1.008208,662,8102629,184818,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
6,14.034583,13.925174,8.069366,0.000000,5.866374,5.751416,0.114834,0.033834,0.012166,0.714917,659,8107062,166488,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
7,18.330250,18.221589,18.217672,0.000000,0.000292,0.000000,0.000000,0.031792,0.020333,0.713709,663,8102580,185406,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
8,15.083250,14.969550,8.751493,0.000000,7.042583,6.926083,0.116376,0.039000,0.009584,0.290583,650,8107235,169786,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
9,18.566875,18.460915,18.419088,0.000000,0.000290,0.000000,0.000000,0.030834,0.028875,0.966458,668,8102418,175246,0,302,0,302,0,0,0,0,0,0,22848,14400,4680,3768,0
10,14.572375,14.462545,8.794891,0.000000,7.156874,7.156373,0.000418,0.028167,0.044458,0.306375,651,8107250,173798,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
11,18.708584,18.596954,18.589200,0.000000,0.000291,0.000000,0.000000,0.031375,0.018833,0.730917,666,8102634,179233,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
12,14.724541,14.612388,8.201470,0.000000,7.250375,7.246166,0.004001,0.024375,0.040459,0.363375,659,8107052,166670,0,2,0,2,0,0,0,0,0,0,7208,0,4680,2528,0
13,18.374334,18.264298,18.247748,0.000000,0.000209,0.000000,0.000000,0.034625,0.014750,0.724958,659,8102636,183694,0,302,0,302,0,0,0,0,0,0,21046,14400,3510,3136,0
14,15.205500,15.091358,8.470114,0.000000,7.181874,7.100915,0.080543,0.054166,0.013750,0.692625,652,8107216,165870,0,2,0,2,0,0,0,0,0,0,5406,0,3510,1896,0
