frame,total_ms,cpu_wall_ms,cpu_thread_ms,cpu_idle_ms,cpu_throttle_sleep_ms,cpu_throttle_requested_ms,cpu_throttle_lateness_ms,video_build_ms,present_ms,audio_mix_ms,static_bursts,static_cycles,static_native_dispatches,static_fallback_steps,static_hook_fallbacks,fallback_mfspr,fallback_mtspr,fallback_cache,fallback_dcbst,fallback_dcbf,fallback_dcbi,fallback_icbi,fallback_other,cache_controls,cache_control_dcbst,cache_control_dcbf,cache_control_dcbi,cache_control_icbi
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.231667,0.029708,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40.527500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148625,0.117959,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,33.844084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128208,0.031458,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,38.744875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.743708,0.022500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,36.611125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.122041,0.020250,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,39.758166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518959,0.037875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,35.997709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107125,0.120166,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,34.136208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107667,0.021500,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38.198917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.177000,0.036083,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,34.812500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.389666,0.030417,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,34.674333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.184375,0.038167,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,36.370167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.729666,0.030667,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,34.222833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136000,0.052208,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,38.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.179667,0.040291,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,38.167458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104000,0.020625,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,38.180084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088666,0.025459,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,109.228250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076916,0.017875,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3267.012458,3022.312843,2324.904873,0.000000,684.974496,680.053639,4.908189,0.088458,0.025834,86.188041,124718,1463293685,101930882,0,346,14,332,0,0,0,0,0,0,1084941,512,634585,449759,85
